benchmark_name,benchmark_role,benchmark_index,id,prompt,answer,family,family_short,template_subtype,selection_tier,teacher_solver_candidate,answer_type,num_examples,prompt_len_chars,hard_score,group_signature,query_raw,v1_focus_bucket,v1_exposure_band,v1_bucket_note,bit_structured_formula_name,bit_structured_formula_abstract_family,bit_not_structured_formula_name,bit_structured_formula_safe_support,bit_structured_formula_abstract_support,bit_not_structured_formula_safe_support,bit_no_candidate_positions,bit_multi_candidate_positions,query_hamming_bin,audit_priority_score,_source_name,_source_split,proxy_role,leaderboard_proxy_bucket,leaderboard_proxy_note,v3f_prediction,current_prediction,v3f_is_correct,current_is_correct
leaderboard_proxy_v1_set,leaderboard_proxy,11,a6192d29,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
00101010 -> 00010100
10011011 -> 01100110
00110001 -> 01001000
11100011 -> 11110000
00011001 -> 00000110
10100111 -> 01001011
10000000 -> 00000000
01101100 -> 00011010
10001110 -> 00000111
11011001 -> 01110110

Now, determine the output for: 00110000",00001000,bit_manipulation,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula_abstract,binary8,10,510,6.0,unknown__ex10__qhwlow,00110000,dominant_structured_abstract,dominant,v1で厚い structured-byte abstract family 寄り slice。,"majority(ror2,shl1,shr1)","majority(ror,shl,shr)","majority(ror2,shl1,shr1)",1,52,1,8,0,-1,0.0,binary_bias_specialized_set,specialized,v3f_only,dominant_structured_abstract,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,00001000,00001100,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,12,01e09228,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
01000111 -> 01110000
00100010 -> 00101010
10101100 -> 01101010
10000110 -> 01100000
01100010 -> 00101110
00100011 -> 00111010
00001011 -> 10010000
11100110 -> 01111110

Now, determine the output for: 01011001",10010101,bit_manipulation,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula_abstract,binary8,8,468,3.0,unknown__ex8__qhwmid,01011001,dominant_structured_abstract,dominant,v1で厚い structured-byte abstract family 寄り slice。,"choose(shl2,shr2,nibble_swap)","choose(shl,shr,nibble_swap)","choose(not(shl2),nibble_swap,shr2)",1,21,1,4,0,-1,0.0,binary_bias_specialized_set,specialized,v3f_only,dominant_structured_abstract,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,10010101,11000101,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,13,885c8b51,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
11111011 -> 00001001
10000110 -> 00110000
00101000 -> 00000001
00101001 -> 00001001
11010010 -> 00010010
00000111 -> 00110000
01010000 -> 00000010
10111111 -> 10000001
10110100 -> 10000101
01100010 -> 00010011

Now, determine the output for: 11111111",00000001,bit_manipulation,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula,binary8,10,510,8.0,unknown__ex10__qhwhigh,11111111,dominant_structured_safe,dominant,v1で最も厚い structured-byte exact formula 寄り slice。,"choose(shl1,shr7,rol3)","choose(shl,shr,rol)","and(not(shl1),rol3)",2,59,2,7,0,-1,0.0,binary_bias_specialized_set,specialized,v3f_only,dominant_structured_safe,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,00000001,00000011,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,14,3fdc3de7,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
10100110 -> 00100000
00101111 -> 01110000
11110010 -> 00000001
10111000 -> 10000001
11011101 -> 11001001
11001011 -> 00011000
11010001 -> 00001001
01011101 -> 11000000
11001110 -> 01100000
10110101 -> 00001001

Now, determine the output for: 11111110",11100001,bit_manipulation,binary,bit_structured_byte_formula,answer_only_keep,,binary8,10,510,6.0,unknown__ex10__qhwhigh,11111110,dominant_structured_safe,dominant,v1で最も厚い structured-byte exact formula 寄り slice。,"majority(nibble_swap,shl3,shr7)","majority(nibble_swap,shl,shr)","majority(nibble_swap,shl3,shr7)",2,12,2,8,0,-1,0.0,binary_bias_specialized_set,specialized,v3f_only,dominant_structured_safe,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,11100001,00000001,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,15,86b727ff,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
10100011 -> 00000000
00100101 -> 00100000
11010100 -> 10000010
01100011 -> 00000001
00100000 -> 00000000
00100100 -> 00000000
10100000 -> 00000000
10110111 -> 10100000
01111000 -> 00000001
00011010 -> 01000000

Now, determine the output for: 10011011",01000000,bit_manipulation,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula,binary8,10,510,6.0,unknown__ex10__qhwmid,10011011,dominant_structured_safe,dominant,v1で最も厚い structured-byte exact formula 寄り slice。,"majority(rol3,shl5,shr6)","majority(rol,shl,shr)","majority(rol3,shl5,shr6)",2,41,2,8,0,-1,0.0,binary_bias_specialized_set,specialized,v3f_only,dominant_structured_safe,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,01000000,00000000,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,16,8e5d6fe6,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
11101110 -> 10011101
01100111 -> 10001100
10010110 -> 01010010
11111110 -> 11011111
11111011 -> 01111111
10000101 -> 00010000
10101111 -> 10110101
00001001 -> 00100001
00010000 -> 00000010
11011100 -> 00011011

Now, determine the output for: 00111100",10000111,bit_manipulation,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula,binary8,10,510,6.0,unknown__ex10__qhwmid,00111100,dominant_structured_safe,dominant,v1で最も厚い structured-byte exact formula 寄り slice。,"choose(rol2,ror3,shr3)","choose(rol,ror,shr)","choose(not(rol2),shr3,ror3)",3,5,3,3,0,-1,0.0,binary_bias_specialized_set,specialized,v3f_only,dominant_structured_safe,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,10000111,00000111,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,17,1c671acc,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
10110010 -> 11011101
10010011 -> 11011100
00100000 -> 10000001
01101100 -> 11110011
11110000 -> 11000111
00000111 -> 00111100
00011011 -> 11111100
11011101 -> 11111110
11111000 -> 11100111

Now, determine the output for: 00101011",11111101,bit_manipulation,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula,binary8,9,489,5.0,unknown__ex9__qhwmid,00101011,dominant_structured_safe,dominant,v1で最も厚い structured-byte exact formula 寄り slice。,"or(rol3,shl2)","or(rol,shl)",,2,20,0,6,1,-1,0.0,binary_bias_specialized_set,specialized,v3f_only,dominant_structured_safe,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,11111101,11111100,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,18,3bdb85cf,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
10101110 -> 01110101
10000011 -> 00011100
10110100 -> 10100101
00011101 -> 10101000
11001100 -> 01100110
11101101 -> 00101111
00100010 -> 00010001
10010110 -> 00110100
11011110 -> 01110110

Now, determine the output for: 10001000",01000100,bit_manipulation,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula,binary8,9,489,5.0,unknown__ex9__qhwlow,10001000,dominant_structured_safe,dominant,v1で最も厚い structured-byte exact formula 寄り slice。,"choose(shl6,shr2,rol3)","choose(shl,shr,rol)","and(not(shl6),rol3)",3,59,3,2,0,-1,0.0,binary_bias_specialized_set,specialized,v3f_only,dominant_structured_safe,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,01000100,00100100,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,19,4195699e,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
10000001 -> 00000000
01000100 -> 00000000
01010011 -> 00100000
11111110 -> 11000000
11110001 -> 00000000
01001000 -> 00000000
11000010 -> 00000000
01001101 -> 10000000
10111001 -> 00000000
00010111 -> 01100000

Now, determine the output for: 11000111",01100000,bit_manipulation,binary,bit_other,answer_only_keep,,binary8,10,510,6.0,unknown__ex10__qhwmid,11000111,no_solver_answer_only,underrepresented,teacher solver が空で answer_only_keep に寄る、v1分布の外縁 slice。,"and(nibble_swap,shl5)","and(nibble_swap,shl)","and(nibble_swap,shl5)",1,5,1,8,0,-1,0.0,binary_bias_specialized_set,specialized,v3f_only,no_solver_answer_only,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,01100000,00000000,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,20,59c78e51,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
10100001 -> 00010000
01100001 -> 00010100
11011110 -> 11101001
11111011 -> 10111111
10011111 -> 11110001
01001001 -> 10010000
11011011 -> 10111001
11011111 -> 11111001

Now, determine the output for: 10010000",00000000,bit_manipulation,binary,bit_structured_byte_formula,answer_only_keep,,binary8,8,468,3.0,unknown__ex8__qhwlow,10010000,no_solver_answer_only,underrepresented,teacher solver が空で answer_only_keep に寄る、v1分布の外縁 slice。,"choose(ror3,nibble_swap,shl4)","choose(ror,nibble_swap,shl)","choose(not(ror3),shl4,nibble_swap)",1,2,1,3,2,-1,0.0,binary_bias_specialized_set,specialized,v3f_only,no_solver_answer_only,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,00000000,00000001,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,21,5b68563d,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
11100111 -> 10011111
01010001 -> 01000100
01110001 -> 11000101
00000101 -> 00010100
10010001 -> 01000100
10100011 -> 10001100
00100110 -> 10011000

Now, determine the output for: 00011001",01100100,bit_manipulation,binary,bit_structured_byte_formula,answer_only_keep,,binary8,7,447,3.0,unknown__ex7__qhwmid,00011001,no_solver_answer_only,underrepresented,teacher solver が空で answer_only_keep に寄る、v1分布の外縁 slice。,"choose(rol3,rol2,shl2)","choose(rol,rol,shl)","choose(not(rol3),shl2,rol2)",1,1,1,2,0,-1,0.0,binary_bias_specialized_set,specialized,v3f_only,no_solver_answer_only,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,01100100,00100100,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,22,004ef7c7,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
11101001 -> 01111101
11010100 -> 11111110
00110011 -> 00000111
00111000 -> 01001111
00101011 -> 11110101
00100010 -> 10101111
10000010 -> 11111010
00001010 -> 10111011

Now, determine the output for: 01010101",11111111,bit_manipulation,binary,bit_other,manual_audit_priority,,binary8,8,468,5.0,unknown__ex8__qhwmid,01010101,no_solver_manual,underrepresented,teacher solver が空で manual hard に偏る、最も壊れやすい slice。,,,,0,0,0,8,0,-1,13.0,binary_bias_specialized_set,specialized,v3f_only,no_solver_manual,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,11111111,11111101,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,23,3feeabea,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
10000001 -> 00010010
11010000 -> 00000011
10110011 -> 00110010
11111011 -> 10110011
01001111 -> 11110001
00100101 -> 01010000
01001000 -> 10000001
10010000 -> 00000010
01010010 -> 00100001

Now, determine the output for: 10101001",10010010,bit_manipulation,binary,bit_other,verified_trace_ready,binary_affine_xor,binary8,9,489,5.0,unknown__ex9__qhwmid,10101001,supported_affine_xor,supported,v1で明示的に学習量を確保した affine_xor slice。,"xor(shl4,shr6)","xor(shl,shr)","xor(not(shl4),not(shr6))",11,322,10,2,0,-1,8.5,binary_bias_specialized_set,specialized,v3f_only,supported_affine_xor,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,10010010,01000010,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,24,783a1317,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
00101001 -> 01001010
11101111 -> 11111011
01001010 -> 10010010
10010101 -> 00100101
11100000 -> 00111000
10111101 -> 01101111
11110000 -> 00111100
00111010 -> 00001110
11011111 -> 10110111

Now, determine the output for: 11111000",00111110,bit_manipulation,binary,bit_other,verified_trace_ready,binary_affine_xor,binary8,9,489,5.0,unknown__ex9__qhwmid,11111000,supported_affine_xor,supported,v1で明示的に学習量を確保した affine_xor slice。,"choose(rol1,ror2,shr2)","choose(rol,ror,shr)","choose(not(rol1),shr2,ror2)",1,5,1,2,0,-1,8.5,binary_bias_specialized_set,specialized,v3f_only,supported_affine_xor,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,00111110,11111100,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,25,bf98d26a,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
00010100 -> 10000101
10110000 -> 00101100
10001111 -> 00000011
10000000 -> 00100000
11010011 -> 10010100
10110111 -> 00001101
01011000 -> 00010110
00101001 -> 01101010
01100011 -> 10111000

Now, determine the output for: 10111000",00101110,bit_manipulation,binary,bit_other,verified_trace_ready,binary_affine_xor,binary8,9,489,5.0,unknown__ex9__qhwmid,10111000,supported_affine_xor,supported,v1で明示的に学習量を確保した affine_xor slice。,"xor(ror2,shl5)","xor(ror,shl)","xor(not(ror2),not(shl5))",3,33,3,3,0,-1,8.5,binary_bias_specialized_set,specialized,v3f_only,supported_affine_xor,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,00101110,00010110,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,26,1e677e2c,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
11110100 -> 01001111
00100111 -> 10110010
01000011 -> 11110100
01110011 -> 11110111
11100011 -> 11111110
00000100 -> 01000000
10101111 -> 00111010
00111101 -> 10010011

Now, determine the output for: 11011000",10001101,bit_manipulation,binary,bit_other,verified_trace_ready,binary_affine_xor,binary8,8,468,3.0,unknown__ex8__qhwmid,11011000,supported_affine_xor,supported,v1で明示的に学習量を確保した affine_xor slice。,"xor(nibble_swap,shl6)","xor(nibble_swap,shl)","xor(nibble_swap,shl6)",1,9,1,2,0,-1,6.5,binary_bias_specialized_set,specialized,v3f_only,supported_affine_xor,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,10001101,00011101,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,27,0031df9c,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
00000000 -> 00000000
11001011 -> 11110010
11110010 -> 10111100
01001000 -> 00010010
01101000 -> 00011010
01011101 -> 01010111
10111001 -> 01101110
11011111 -> 11110111
11110101 -> 01111101
01111001 -> 01011110

Now, determine the output for: 11010000",00110100,bit_manipulation,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,binary8,10,510,6.0,unknown__ex10__qhwmid,11010000,supported_bijection,supported,v1の rotation / bijection 系 teacher を代表する slice。,ror2,ror,ror2,5,18,4,0,0,-1,7.5,binary_bias_specialized_set,specialized,v3f_only,supported_bijection,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,00110100,10110100,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,28,6a578940,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
11100001 -> 00001111
10011110 -> 11110100
01111111 -> 11111011
10101010 -> 01010101
11110001 -> 10001111
11011110 -> 11110110
01111000 -> 11000011
10001110 -> 01110100
01110110 -> 10110011
00111000 -> 11000001

Now, determine the output for: 00010010",10010000,bit_manipulation,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,binary8,10,510,6.0,unknown__ex10__qhwlow,00010010,supported_bijection,supported,v1の rotation / bijection 系 teacher を代表する slice。,rol3,rol,,6,11,0,0,0,-1,8.0,binary_bias_specialized_set,specialized,v3f_only,supported_bijection,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,10010000,01001000,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,29,dff2a315,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
11101100 -> 00111011
00000000 -> 00000000
00010100 -> 00000101
11101001 -> 01111010
10000001 -> 01100000
00110101 -> 01001101
11010100 -> 00110101
01000110 -> 10010001
11111011 -> 11111110
10110100 -> 00101101

Now, determine the output for: 11111010",10111110,bit_manipulation,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,binary8,10,510,6.0,unknown__ex10__qhwhigh,11111010,supported_bijection,supported,v1の rotation / bijection 系 teacher を代表する slice。,ror2,ror,,5,18,0,0,0,-1,7.5,binary_bias_specialized_set,specialized,v3f_only,supported_bijection,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,10111110,01111110,True,False
