benchmark_index,id,source_split,proxy_role,leaderboard_proxy_bucket,family_short,template_subtype,selection_tier,teacher_solver_candidate,gold_answer,v3f_prediction,v3f_is_correct,current_prediction,current_is_correct
52,0b34281a,phase0,both_correct,roman:roman_standard,roman,roman_standard,verified_trace_ready,roman_standard,XCV,XCV,True,XCV,True
53,16cec7b7,phase0,both_correct,roman:roman_standard,roman,roman_standard,verified_trace_ready,roman_standard,XCVI,XCVI,True,XCVI,True
54,16e7c742,phase0,both_correct,roman:roman_standard,roman,roman_standard,verified_trace_ready,roman_standard,XII,XII,True,XII,True
55,20d62620,phase0,both_correct,roman:roman_standard,roman,roman_standard,verified_trace_ready,roman_standard,XXI,XXI,True,XXI,True
56,21d9de4c,phase0,both_correct,roman:roman_standard,roman,roman_standard,verified_trace_ready,roman_standard,XLV,XLV,True,XLV,True
57,2782750e,phase0,both_correct,roman:roman_standard,roman,roman_standard,verified_trace_ready,roman_standard,XCII,XCII,True,XCII,True
58,2b859c47,phase0,both_correct,roman:roman_standard,roman,roman_standard,verified_trace_ready,roman_standard,XIII,XIII,True,XIII,True
59,3388581c,phase0,both_correct,roman:roman_standard,roman,roman_standard,verified_trace_ready,roman_standard,XXVI,XXVI,True,XXVI,True
60,487528d5,phase0,both_correct,roman:roman_standard,roman,roman_standard,verified_trace_ready,roman_standard,LVIII,LVIII,True,LVIII,True
61,4ac1279b,phase0,both_correct,roman:roman_standard,roman,roman_standard,verified_trace_ready,roman_standard,LXXI,LXXI,True,LXXI,True
62,4c8fbdda,phase0,both_correct,roman:roman_standard,roman,roman_standard,verified_trace_ready,roman_standard,LXII,LXII,True,LXII,True
63,539bfe7c,phase0,both_correct,roman:roman_standard,roman,roman_standard,verified_trace_ready,roman_standard,XLVII,XLVII,True,XLVII,True
64,74f5e4b9,phase0,both_correct,roman:roman_standard,roman,roman_standard,verified_trace_ready,roman_standard,XCII,XCII,True,XCII,True
65,858921f6,phase0,both_correct,roman:roman_standard,roman,roman_standard,verified_trace_ready,roman_standard,XLVI,XLVI,True,XLVI,True
66,874285f9,phase0,both_correct,roman:roman_standard,roman,roman_standard,verified_trace_ready,roman_standard,LXXV,LXXV,True,LXXV,True
67,8848a9cd,phase0,both_correct,roman:roman_standard,roman,roman_standard,verified_trace_ready,roman_standard,LXI,LXI,True,LXI,True
68,9b4f2f8b,phase0,both_correct,roman:roman_standard,roman,roman_standard,verified_trace_ready,roman_standard,LIII,LIII,True,LIII,True
69,a6ced392,phase0,both_correct,roman:roman_standard,roman,roman_standard,verified_trace_ready,roman_standard,XVI,XVI,True,XVI,True
70,aca1d581,phase0,both_correct,roman:roman_standard,roman,roman_standard,verified_trace_ready,roman_standard,XVII,XVII,True,XVII,True
71,db6a5663,phase0,both_correct,symbol:numeric_2x2,symbol,numeric_2x2,verified_trace_ready,symbol_numeric_operator_formula,2945,2945,True,2945,True
72,2f485a40,phase0,both_correct,symbol:numeric_2x2,symbol,numeric_2x2,verified_trace_ready,symbol_numeric_operator_formula,1867,1867,True,1867,True
73,54c9bde5,phase0,both_correct,symbol:numeric_2x2,symbol,numeric_2x2,verified_trace_ready,symbol_numeric_operator_formula,3064,3064,True,3064,True
74,27cec7a9,phase0,both_correct,symbol:numeric_2x2,symbol,numeric_2x2,verified_trace_ready,symbol_numeric_operator_formula,3341,3341,True,3341,True
75,5b06502f,phase0,both_correct,symbol:numeric_2x2,symbol,numeric_2x2,verified_trace_ready,symbol_numeric_operator_formula,1768,1768,True,1768,True
76,5c743e8a,phase0,both_correct,symbol:numeric_2x2,symbol,numeric_2x2,verified_trace_ready,symbol_numeric_operator_formula,1755,1755,True,1755,True
77,79f29eb5,phase0,both_correct,symbol:numeric_2x2,symbol,numeric_2x2,verified_trace_ready,symbol_numeric_operator_formula,2370,2370,True,2370,True
78,e952f61f,phase0,both_correct,symbol:numeric_2x2,symbol,numeric_2x2,verified_trace_ready,symbol_numeric_operator_formula,4699,4699,True,4699,True
79,f28681ad,phase0,both_correct,symbol:numeric_2x2,symbol,numeric_2x2,answer_only_keep,symbol_numeric_operator_formula,4314,4314,True,4314,True
80,18268687,phase0,both_correct,symbol:numeric_2x2,symbol,numeric_2x2,verified_trace_ready,symbol_numeric_operator_formula,0,0,True,0,True
81,2e9639de,phase0,both_correct,symbol:numeric_2x2,symbol,numeric_2x2,answer_only_keep,symbol_numeric_operator_formula,3585,3585,True,3585,True
82,372bb422,phase0,both_correct,symbol:numeric_2x2,symbol,numeric_2x2,answer_only_keep,symbol_numeric_operator_formula,7560,7560,True,7560,True
83,878c843c,phase0,both_correct,symbol:numeric_2x2,symbol,numeric_2x2,verified_trace_ready,symbol_numeric_operator_formula,35,35,True,35,True
84,9c8eef89,phase0,both_correct,symbol:numeric_2x2,symbol,numeric_2x2,answer_only_keep,symbol_numeric_operator_formula,1728,1728,True,1728,True
85,a19a75ba,phase0,both_correct,symbol:numeric_2x2,symbol,numeric_2x2,answer_only_keep,symbol_numeric_operator_formula,2655,2655,True,2655,True
86,aa251ec4,phase0,both_correct,symbol:numeric_2x2,symbol,numeric_2x2,verified_trace_ready,symbol_numeric_operator_formula,%20,%20,True,%20,True
87,b7b1d1a8,phase0,both_correct,symbol:numeric_2x2,symbol,numeric_2x2,answer_only_keep,,57,57,True,57,True
88,ff8409cd,phase0,both_correct,symbol:numeric_2x2,symbol,numeric_2x2,verified_trace_ready,symbol_numeric_operator_formula,9,9,True,9,True
89,cfa59b38,phase0,both_correct,symbol:numeric_2x2,symbol,numeric_2x2,verified_trace_ready,symbol_numeric_operator_formula,233,233,True,233,True
90,03e2bedc,phase0,both_correct,text:text_monoalphabetic,text,text_monoalphabetic,verified_trace_ready,text_char_substitution,rabbit dreams in castle,rabbit dreams in castle,True,rabbit dreams in castle,True
91,46951896,phase0,both_correct,text:text_monoalphabetic,text,text_monoalphabetic,verified_trace_ready,text_char_substitution,mouse found under cave,mouse found under cave,True,mouse found under cave,True
92,4dad0858,phase0,both_correct,text:text_monoalphabetic,text,text_monoalphabetic,verified_trace_ready,text_char_substitution,the ancient cat found,the ancient cat found,True,the ancient cat found,True
93,4f8f23d6,phase0,both_correct,text:text_monoalphabetic,text,text_monoalphabetic,verified_trace_ready,text_char_substitution,the ancient dragon studies,the ancient dragon studies,True,the ancient dragon studies,True
94,557f9a4a,phase0,both_correct,text:text_monoalphabetic,text,text_monoalphabetic,verified_trace_ready,text_char_substitution,teacher writes mirror,teacher writes mirror,True,teacher writes mirror,True
95,74da6cbe,phase0,both_correct,text:text_monoalphabetic,text,text_monoalphabetic,verified_trace_ready,text_char_substitution,hatter chases in ocean,hatter chases in ocean,True,hatter chases in ocean,True
96,7c8dd1ee,phase0,both_correct,text:text_monoalphabetic,text,text_monoalphabetic,verified_trace_ready,text_char_substitution,the secret dragon draws,the secret dragon draws,True,the secret dragon draws,True
97,9443e78b,phase0,both_correct,text:text_monoalphabetic,text,text_monoalphabetic,verified_trace_ready,text_char_substitution,the strange dragon chases,the strange dragon chases,True,the strange dragon chases,True
98,9c1533c4,phase0,both_correct,text:text_monoalphabetic,text,text_monoalphabetic,verified_trace_ready,text_char_substitution,rabbit reads near tower,rabbit reads near tower,True,rabbit reads near tower,True
99,a092cafd,phase0,both_correct,text:text_monoalphabetic,text,text_monoalphabetic,verified_trace_ready,text_char_substitution,the clever cat dreams,the clever cat dreams,True,the clever cat dreams,True
100,a28a4dff,phase0,both_correct,text:text_monoalphabetic,text,text_monoalphabetic,verified_trace_ready,text_char_substitution,mouse dreams through island,mouse dreams through island,True,mouse dreams through island,True
101,af7b42d2,phase0,both_correct,text:text_monoalphabetic,text,text_monoalphabetic,verified_trace_ready,text_char_substitution,cat reads inside island,cat reads inside island,True,cat reads inside island,True
102,ba14f4a1,phase0,both_correct,text:text_monoalphabetic,text,text_monoalphabetic,verified_trace_ready,text_char_substitution,the ancient alice reads,the ancient alice reads,True,the ancient alice reads,True
103,c943ba5b,phase0,both_correct,text:text_monoalphabetic,text,text_monoalphabetic,verified_trace_ready,text_char_substitution,the secret hatter sees,the secret hatter sees,True,the secret hatter sees,True
104,ec60620b,phase0,both_correct,text:text_monoalphabetic,text,text_monoalphabetic,verified_trace_ready,text_char_substitution,cat writes around school,cat writes around school,True,cat writes around school,True
105,f66415c0,phase0,both_correct,text:text_monoalphabetic,text,text_monoalphabetic,verified_trace_ready,text_char_substitution,dragon creates around cave,dragon creates around cave,True,dragon creates around cave,True
106,f7ab60d6,phase0,both_correct,text:text_monoalphabetic,text,text_monoalphabetic,verified_trace_ready,text_char_substitution,the curious rabbit studies,the curious rabbit studies,True,the curious rabbit studies,True
107,fad3219a,phase0,both_correct,text:text_monoalphabetic,text,text_monoalphabetic,verified_trace_ready,text_char_substitution,student creates door,student creates door,True,student creates door,True
108,0047365c,phase0,both_correct,unit:unit_fixed_ratio,unit,unit_fixed_ratio,verified_trace_ready,unit_numeric_rule,10.62,10.61,True,10.61,True
109,014c4f83,phase0,both_correct,unit:unit_fixed_ratio,unit,unit_fixed_ratio,verified_trace_ready,unit_numeric_rule,54.28,54.29,True,54.29,True
110,03a04492,phase0,both_correct,unit:unit_fixed_ratio,unit,unit_fixed_ratio,verified_trace_ready,unit_numeric_rule,10.12,10.13,True,10.12,True
111,04b818d2,phase0,both_correct,unit:unit_fixed_ratio,unit,unit_fixed_ratio,verified_trace_ready,unit_numeric_rule,41.70,41.69,True,41.71,True
112,0e19e1bb,phase0,both_correct,unit:unit_fixed_ratio,unit,unit_fixed_ratio,verified_trace_ready,unit_numeric_rule,48.92,48.92,True,48.93,True
113,0fd8b43e,phase0,both_correct,unit:unit_fixed_ratio,unit,unit_fixed_ratio,verified_trace_ready,unit_numeric_rule,30.22,30.22,True,30.22,True
114,1061a824,phase0,both_correct,unit:unit_fixed_ratio,unit,unit_fixed_ratio,verified_trace_ready,unit_numeric_rule,11.79,11.79,True,11.79,True
115,259dc76d,phase0,both_correct,unit:unit_fixed_ratio,unit,unit_fixed_ratio,verified_trace_ready,unit_numeric_rule,34.68,34.68,True,34.68,True
116,3572a253,phase0,both_correct,unit:unit_fixed_ratio,unit,unit_fixed_ratio,verified_trace_ready,unit_numeric_rule,13.18,13.18,True,13.18,True
117,3936fa34,phase0,both_correct,unit:unit_fixed_ratio,unit,unit_fixed_ratio,verified_trace_ready,unit_numeric_rule,18.04,18.04,True,18.04,True
118,41281e41,phase0,both_correct,unit:unit_fixed_ratio,unit,unit_fixed_ratio,verified_trace_ready,unit_numeric_rule,22.18,22.17,True,22.17,True
119,4b9500ec,phase0,both_correct,unit:unit_fixed_ratio,unit,unit_fixed_ratio,verified_trace_ready,unit_numeric_rule,36.13,36.11,True,36.11,True
120,4e0c6eef,phase0,both_correct,unit:unit_fixed_ratio,unit,unit_fixed_ratio,verified_trace_ready,unit_numeric_rule,11.11,11.12,True,11.12,True
121,58bb875e,phase0,both_correct,unit:unit_fixed_ratio,unit,unit_fixed_ratio,verified_trace_ready,unit_numeric_rule,27.37,27.38,True,27.38,True
122,62432d65,phase0,both_correct,unit:unit_fixed_ratio,unit,unit_fixed_ratio,verified_trace_ready,unit_numeric_rule,51.41,51.41,True,51.41,True
123,626d6c5f,phase0,both_correct,unit:unit_fixed_ratio,unit,unit_fixed_ratio,verified_trace_ready,unit_numeric_rule,19.02,19.01,True,19.02,True
124,6eab52eb,phase0,both_correct,unit:unit_fixed_ratio,unit,unit_fixed_ratio,verified_trace_ready,unit_numeric_rule,63.62,63.61,True,63.61,True
125,6eec7374,phase0,both_correct,unit:unit_fixed_ratio,unit,unit_fixed_ratio,verified_trace_ready,unit_numeric_rule,10.85,10.85,True,10.84,True
126,1054486f,specialized,both_correct,supported_bijection,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,10011110,10011110,True,10011110,True
127,b9500f41,specialized,both_correct,supported_bijection,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,11110000,11110000,True,11110000,True
128,bfee75d5,specialized,both_correct,supported_bijection,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,01000010,01000010,True,01000010,True
129,d062642e,specialized,both_correct,supported_bijection,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,00010010,00010010,True,00010010,True
130,fa67da07,specialized,both_correct,supported_bijection,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,11101011,11101011,True,11101011,True
131,0201e198,specialized,both_correct,supported_bijection,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,11110101,11110101,True,11110101,True
132,034930e2,specialized,both_correct,supported_bijection,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,00010111,00010111,True,00010111,True
133,046e8532,specialized,both_correct,supported_bijection,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,00011100,00011100,True,00011100,True
134,06412918,specialized,both_correct,supported_bijection,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,00010010,00010010,True,00010010,True
135,8ad0116e,specialized,both_correct,supported_bijection,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,01000100,01000100,True,01000100,True
136,a00fe76a,specialized,both_correct,supported_bijection,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,10111011,10111011,True,10111011,True
137,d50683b4,specialized,both_correct,supported_bijection,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,00100110,00100110,True,00100110,True
138,0c7acd69,specialized,both_correct,supported_bijection,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,11110101,11110101,True,11110101,True
139,2dcfc1a3,specialized,both_correct,supported_bijection,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,00101000,00101000,True,00101000,True
140,629b09d1,specialized,both_correct,supported_bijection,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,00111010,00111010,True,00111010,True
141,a4970d02,specialized,both_correct,supported_bijection,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,00000101,00000101,True,00000101,True
142,b5b9c138,specialized,both_correct,supported_bijection,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,00100001,00100001,True,00100001,True
143,c24e1a48,specialized,both_correct,supported_bijection,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,00010001,00010001,True,00010001,True
144,12fd5b6c,phase0,both_wrong,binary:bit_other,binary,bit_other,manual_audit_priority,,11001111,11001001,False,11000010,False
145,a85864a9,phase0,both_wrong,symbol:glyph_len5,symbol,glyph_len5,manual_audit_priority,,(\}:,(\\,False,(\\:,False
146,b13d511a,phase0,both_wrong,symbol:glyph_len5,symbol,glyph_len5,manual_audit_priority,,\&[[,\\[[,False,\\[,False
147,be7101dc,phase0,both_wrong,symbol:glyph_len5,symbol,glyph_len5,manual_audit_priority,,\:%#,%/^,False,#+^/%,False
148,d7e5414c,phase0,both_wrong,symbol:glyph_len5,symbol,glyph_len5,manual_audit_priority,,|%\\,5,False,1,False
149,dc240ebd,phase0,both_wrong,symbol:glyph_len5,symbol,glyph_len5,manual_audit_priority,,`}:},:)<,False,:)<<),False
150,e8de8b47,phase0,both_wrong,symbol:numeric_2x2,symbol,numeric_2x2,answer_only_keep,symbol_numeric_operator_formula,1,-3,False,0,False
151,3acfa7a4,phase0,both_wrong,symbol:numeric_2x2,symbol,numeric_2x2,manual_audit_priority,,6651,6721,False,911,False
152,5f5a73ff,phase0,both_wrong,symbol:numeric_2x2,symbol,numeric_2x2,manual_audit_priority,,0897,3,False,82,False
153,9f2fae58,phase0,both_wrong,symbol:numeric_2x2,symbol,numeric_2x2,manual_audit_priority,,7272,7421,False,23,False
154,d9bedb64,phase0,both_wrong,symbol:numeric_2x2,symbol,numeric_2x2,manual_audit_priority,,(1,(10),False,10,False
155,0abfab8b,specialized,both_wrong,boolean_family,binary,bit_other,verified_trace_ready,binary_two_bit_boolean,01100101,11100111,False,00001111,False
156,0f7ddd75,specialized,both_wrong,boolean_family,binary,bit_other,verified_trace_ready,binary_three_bit_boolean,11110110,11111110,False,11111110,False
157,14a72508,specialized,both_wrong,boolean_family,binary,bit_other,verified_trace_ready,binary_two_bit_boolean,11010110,11110110,False,10101010,False
158,48ae04f6,specialized,both_wrong,boolean_family,binary,bit_other,verified_trace_ready,binary_two_bit_boolean,00000010,00000000,False,00000000,False
159,4ada9150,specialized,both_wrong,boolean_family,binary,bit_other,verified_trace_ready,binary_two_bit_boolean,01111011,00111011,False,00111010,False
160,57b03b2b,specialized,both_wrong,boolean_family,binary,bit_other,verified_trace_ready,binary_two_bit_boolean,10000011,01000010,False,10000111,False
161,1532c0d1,specialized,both_wrong,dominant_structured_abstract,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula_abstract,01001100,00011100,False,00011100,False
162,25a8aeb1,specialized,both_wrong,dominant_structured_abstract,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula_abstract,00111111,00010110,False,00101101,False
163,26a70ae0,specialized,both_wrong,dominant_structured_abstract,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula_abstract,10010101,00010010,False,00010101,False
164,37664f79,specialized,both_wrong,dominant_structured_abstract,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula_abstract,10111010,10101000,False,10100000,False
165,37d81990,specialized,both_wrong,dominant_structured_abstract,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula_abstract,01111011,01111010,False,01110101,False
166,57e57b3c,specialized,both_wrong,dominant_structured_abstract,binary,bit_structured_byte_formula,answer_only_keep,,00001000,00000000,False,00000000,False
167,012fb81b,specialized,both_wrong,dominant_structured_safe,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula,10000100,01000010,False,00000000,False
168,0520a6ec,specialized,both_wrong,dominant_structured_safe,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula,10100001,00100001,False,00100001,False
169,0a50c4a8,specialized,both_wrong,dominant_structured_safe,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula,00001101,00000100,False,00000011,False
170,13009e35,specialized,both_wrong,dominant_structured_safe,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula,11111011,00111011,False,01111011,False
171,1f1292d6,specialized,both_wrong,dominant_structured_safe,binary,bit_structured_byte_formula,answer_only_keep,,10001000,00001000,False,10001010,False
172,2817d770,specialized,both_wrong,dominant_structured_safe,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula,01100110,00110000,False,00110011,False
173,10dfe5c5,specialized,both_wrong,no_solver_answer_only,binary,bit_structured_byte_formula,answer_only_keep,,10100000,01000000,False,01000000,False
174,111296b0,specialized,both_wrong,no_solver_answer_only,binary,bit_other,answer_only_keep,,01001101,01100101,False,00100101,False
175,22e28f23,specialized,both_wrong,no_solver_answer_only,binary,bit_structured_byte_formula,answer_only_keep,,01010101,00000101,False,00000101,False
176,2630aaf8,specialized,both_wrong,no_solver_answer_only,binary,bit_structured_byte_formula,answer_only_keep,,10111110,11111111,False,11111111,False
177,2d790c98,specialized,both_wrong,no_solver_answer_only,binary,bit_other,answer_only_keep,,01111011,00001000,False,00101001,False
178,3dc918eb,specialized,both_wrong,no_solver_answer_only,binary,bit_other,answer_only_keep,,01101111,11111110,False,11111110,False
179,069dbaab,specialized,both_wrong,no_solver_manual,binary,bit_other,manual_audit_priority,,00010000,00000000,False,10000000,False
180,101410e4,specialized,both_wrong,no_solver_manual,binary,bit_other,manual_audit_priority,,10001101,00111011,False,10111011,False
181,12154247,specialized,both_wrong,no_solver_manual,binary,bit_other,manual_audit_priority,,10111101,00001000,False,00011111,False
