id,selection_tier,status,query_operator,same_operator_example_count,query_raw,answer,predicted_answer,prediction_count,candidate_predictions,gold_in_candidates,query_unseen_digits,group_combo_count,feasible_group_combo_count
3424f037,manual_audit_priority,ok,*,2,"{|*""&",{{|:,,0,,False,,570,0
1c2e9814,manual_audit_priority,ok,:,2,"""%:^/",'?},,0,,False,,576,4
65a61279,manual_audit_priority,ok,*,2,]/*<],?]$/,,0,,False,,648,0
7b3d06f7,manual_audit_priority,ok,-,2,$[-/^,|,,0,,False,,783,6
642c84f0,manual_audit_priority,ok,*,2,`}*|},{(}%,,0,,False,,1152,0
9f9b0251,manual_audit_priority,ok,*,2,^}*!\,'!?/,,0,,False,,1188,0
00c032a8,manual_audit_priority,ok,!,2,))!\),\^?,,0,,False,,1452,2
baab28bb,manual_audit_priority,ok,+,2,>/+\!,#!,,0,,False,,2640,0
9346686a,manual_audit_priority,ok,-,2,%(-[(,:(,,0,,False,,3264,0
536d9cca,manual_audit_priority,ok,-,2,<|-]<,&',,0,,False,,4224,3
012cab1f,manual_audit_priority,ok,',2,{`'(&,|@{,,0,,False,,6912,2
4b7c076e,manual_audit_priority,ok,),2,#]){$,#{$,,0,,False,,8712,6
df3262bc,manual_audit_priority,ok,-,2,]$-]?,]/,,0,,False,,21384,37
d0b1e41a,manual_audit_priority,ok,*,1,"#{*""!","#{""!",,0,,False,,4,4
90feb0c5,manual_audit_priority,ok,',1,?>'>>,:<],,0,,False,,9,9
8a15edaa,manual_audit_priority,ok,-,1,#(-\!,%\,,0,,False,,20,0
d98d85c0,manual_audit_priority,ok,+,1,(@+@?,?(&@,,0,,False,,20,4
e776562e,manual_audit_priority,ok,+,1,%#+:\,@\%,,0,,False,,22,1
6548d382,manual_audit_priority,ok,',1,\@'((,/\,,0,,False,,24,24
d546fd90,manual_audit_priority,ok,\,1,]?\:<,\]@,,0,,False,,33,2
599e922a,manual_audit_priority,ok,+,1,@<+:{,>@,,0,,False,,34,34
10a94678,manual_audit_priority,ok,*,1,""">*)\","""""\}",,0,,False,,72,52
19968602,manual_audit_priority,ok,*,1,&/*[/,"""!`|",,0,,False,,72,1
cd5e23c7,manual_audit_priority,ok,},1,<%}{#,]{&,,0,,False,,72,0
d7aec90d,manual_audit_priority,ok,+,1,:!+\%,^>\,,0,,False,,80,1
65add53a,manual_audit_priority,ok,*,1,}^*%],]}%,,0,,False,,96,1
75c8715e,manual_audit_priority,ok,*,1,\\*>#,`^$),,0,,False,,96,3
948e5474,manual_audit_priority,ok,-,1,?%-^%,-&,,0,,False,,96,12
1d15b7e6,manual_audit_priority,ok,),1,|[)$[,|['{,,0,,False,,144,1
a362e44a,manual_audit_priority,ok,-,1,>[-\{,'%,,0,,False,,144,5
edb43422,manual_audit_priority,ok,+,1,'@+/`,@^$,,0,,False,,152,1
edf364da,manual_audit_priority,ok,*,1,::*{[,$(%,,0,,False,,189,1
a98d4d53,manual_audit_priority,ok,-,1,!$-$[,-),,0,,False,,216,48
cf2a4028,manual_audit_priority,ok,*,1,([*&:,"!""{{",,0,,False,,216,2
d23f4166,manual_audit_priority,ok,*,1,'}*{@,{|)@,,0,,False,,216,3
0a94b2de,manual_audit_priority,ok,#,1,]}#@],@}`@,,0,,False,,240,1
eabc719f,manual_audit_priority,ok,-,1,"`""-%""","/$""""",,0,,False,,240,1
2a204590,manual_audit_priority,ok,*,1,#^*&#,&<^#,,0,,False,,288,114
212e792d,manual_audit_priority,ok,),1,%\):!,)//,,0,,False,,396,6
6183bab7,manual_audit_priority,ok,-,1,"""{-:/",@@,,0,,False,,399,7
5b673564,manual_audit_priority,ok,/,1,?)/%},],,0,,False,,456,0
56efc838,manual_audit_priority,ok,*,1,()*?},}$?(,,0,,False,,484,0
7a17137f,manual_audit_priority,ok,*,1,%>*`\,{{&,,0,,False,,576,1
a9aa6c6e,manual_audit_priority,ok,^,1,<(^{(,^</,,0,,False,,608,116
8e56a42e,manual_audit_priority,ok,[,1,%/[<>,%/<>,,0,,False,,704,414
6a5cd9ec,manual_audit_priority,ok,#,1,<$#|?,<[<\,,0,,False,,720,2
65b13ba2,manual_audit_priority,ok,{,1,"#@{]""","]/""}",,0,,False,,756,2
50ba5396,manual_audit_priority,ok,(,1,"}&(\""",\]]@,,0,,False,,816,0
91a0e345,manual_audit_priority,ok,*,1,!]*$],(`]',,0,,False,,864,0
2e1b9d84,manual_audit_priority,ok,+,1,[`+'},"]>""",,0,,False,,912,10
420d5352,manual_audit_priority,ok,*,1,]]*?),&?,,0,,False,,1056,3
042f1e53,manual_audit_priority,ok,-,1,&&-&?,-},,0,,False,,1122,800
7138d71a,manual_audit_priority,ok,-,1,^]-'%,\,,0,,False,,1122,688
d2fe9d04,manual_audit_priority,ok,:,1,">%:<""",)}),,0,,False,,1188,65
867d9b19,manual_audit_priority,ok,-,1,\\-{:,$#,,0,,False,,1224,540
3a6286e9,manual_audit_priority,ok,*,1,!|*||,!{!$,,0,,False,,1292,0
de036bbf,manual_audit_priority,ok,*,1,''*#(,''#,,0,,False,,1920,0
4e28b132,manual_audit_priority,ok,%,1,//%>:,:},,0,,False,,2112,0
7cb0f4c4,manual_audit_priority,ok,/,1,$>/|[,$>@!,,0,,False,,2112,2
82c9f137,manual_audit_priority,ok,-,1,{&-?#,&%,,0,,False,,3072,57
193c21d5,manual_audit_priority,ok,*,1,>|*%{,}>[[,,0,,False,,4320,0
852a6f48,manual_audit_priority,ok,{,1,]){&$,\\,,0,,False,,5852,27
5bcb572e,manual_audit_priority,ok,-,1,"""{-{!",-!#,,0,,False,,7344,3
67995540,manual_audit_priority,ok,|,1,"""&|@'",|%@,,0,,False,,8208,40
50a694de,manual_audit_priority,ok,(,1,]`(!!,%],,0,,False,,10098,6
5d786524,manual_audit_priority,ok,*,1,[@*`%,[{%',,0,,False,,12342,25
f36fe07e,manual_audit_priority,ok,+,1,>?+%%,"?""}",,0,,False,,13464,3
dc240ebd,manual_audit_priority,ok,-,5,>|-}|,`}:},`}:},1,`}:},True,,2,1
6f8261d9,manual_audit_priority,ok,-,5,|(-|(,\,\,1,\,True,,4,1
99d6a3b5,manual_audit_priority,ok,%,4,(<%)),?()<,?()<,1,?()<,True,,6,1
d63c1fb0,manual_audit_priority,ok,+,4,"""|+""%","""|""%","""|""%",1,"""|""%",True,,22,22
96e8be73,manual_audit_priority,ok,(,4,/@(//,(!],(!],1,(!],True,,24,1
ec92f091,manual_audit_priority,ok,+,4,![+/[,</,</,1,</,True,,28,2
6e56b39a,manual_audit_priority,ok,-,4,&#-!],-/#,-/#,1,-/#,True,,32,2
289602f1,manual_audit_priority,ok,+,4,&(+^^,?!,?!,1,?!,True,,44,1
6e6c2ce8,manual_audit_priority,ok,*,4,([*#{,[#{,[#{,1,[#{,True,,44,1
efa7edc3,manual_audit_priority,ok,|,4,[]|/),//:},//:},1,//:},True,,128,1
b4eab219,manual_audit_priority,ok,+,4,\#+`>,(#<,(#<,1,(#<,True,,297,5
ae4aef23,manual_audit_priority,ok,+,4,`|+&?,%<<,%<<,1,%<<,True,,374,5
92135360,manual_audit_priority,ok,\,3,$!\?%,$!$?,$!$?,1,$!$?,True,,4,1
6046d372,manual_audit_priority,ok,-,3,)|-[\,[/,[/,1,[/,True,,7,1
be7101dc,manual_audit_priority,ok,+,3,%/+^#,\:%#,\:%#,1,\:%#,True,,8,2
36557a2e,manual_audit_priority,ok,*,3,]%*)?,!{}?,!{}?,1,!{}?,True,,9,1
b1b10e83,manual_audit_priority,ok,+,3,"|""+#$","|""#$","|""#$",1,"|""#$",True,,9,1
21b90d9f,manual_audit_priority,ok,*,3,){*?{,){?{,){?{,1,){?{,True,,12,7
5186f2d7,manual_audit_priority,ok,),3,}>)\?,\?!$,\?!$,1,\?!$,True,,12,2
d6c03e21,manual_audit_priority,ok,+,3,&(+`#,&(`#,&(`#,1,&(`#,True,,12,12
9cc02bc1,manual_audit_priority,ok,+,3,:#+:',:#:',:#:',1,:#:',True,,15,12
6c7231ac,manual_audit_priority,ok,+,3,&}+#},:/#,:/#,1,:/#,True,,20,1
2d7edafd,manual_audit_priority,ok,$,3,|($:{,:{&,:{&,1,:{&,True,,24,1
3b206148,manual_audit_priority,ok,+,3,#%+&(,!>?,!>?,1,!>?,True,,24,1
524cb5c6,manual_audit_priority,ok,:,3,$>:>\,$>>\,$>>\,1,$>>\,True,,33,33
de3ea27c,manual_audit_priority,ok,*,3,/@*|<,!|%],!|%],1,!|%],True,,42,1
6296c317,manual_audit_priority,ok,:,3,##:[\,:#<,:#<,1,:#<,True,,48,1
af34964a,manual_audit_priority,ok,*,3,&]*](,]:[:,]:[:,1,]:[:,True,,48,4
657bcae9,manual_audit_priority,ok,#,3,>|#>},'}[,'}[,1,'}[,True,,76,1
dafd11de,manual_audit_priority,ok,+,3,??+:',(',(',1,(',True,,88,2
b9f1d959,manual_audit_priority,ok,+,3,"$\+""[",:>,:>,1,:>,True,,92,2
9d20c8a7,manual_audit_priority,ok,\,3,[}\!),]]]},]]]},1,]]]},True,,96,1
b56d38be,manual_audit_priority,ok,+,3,&#+^^,[/),[/),1,[/),True,,96,1
9ceba70a,manual_audit_priority,ok,&,3,((&#%,##%,##%,1,##%,True,,102,4
544f0433,manual_audit_priority,ok,`,3,|'`//,/>)&,/>)&,1,/>)&,True,,108,2
db1e0603,manual_audit_priority,ok,\,3,}}\!},![},![},1,![},True,,128,6
2995c179,manual_audit_priority,ok,-,3,)#->>,(^,(^,1,(^,True,,132,3
6eb85496,manual_audit_priority,ok,+,3,%'+/>,>^],>^],1,>^],True,,140,4
9a19fc2d,manual_audit_priority,ok,+,3,!&+)#,#>[,#>[,1,#>[,True,,156,3
31028506,manual_audit_priority,ok,+,3,?)+``,!\,!\,1,!\,True,,168,1
3e5c7d9b,manual_audit_priority,ok,-,3,(<-[],-(|,-(|,1,-(|,True,,168,1
dea42835,manual_audit_priority,ok,*,3,[/*[',['[/,['[/,1,['[/,True,,170,151
acf8c11f,manual_audit_priority,ok,\,3,'!\[(,"""'","""'",1,"""'",True,,192,1
41a8a9f0,manual_audit_priority,ok,*,3,"#>*`""","|""`>","|""`>",1,"|""`>",True,,216,2
61557701,manual_audit_priority,ok,+,3,'{+{),|&,|&,1,|&,True,,216,6
0d2e94ff,manual_audit_priority,ok,],3,^&]%@,}}^,}}^,1,}}^,True,,252,2
747dd795,manual_audit_priority,ok,`,3,>!`!$,?}{,?}{,1,?}{,True,,264,1
8b1af00e,manual_audit_priority,ok,`,3,%@`{\,%%%&,%%%&,1,%%%&,True,,276,1
2a25de27,manual_audit_priority,ok,+,3,{!+!`,^^',^^',1,^^',True,,360,1
80c4ae05,manual_audit_priority,ok,},3,"><}"">","}$""","}$""",1,"}$""",True,,360,2
bc83b0a1,manual_audit_priority,ok,*,3,(/*&{,(/&{,(/&{,1,(/&{,True,,432,168
1c7a0091,manual_audit_priority,ok,#,3,)`#<@,)`<@,)`<@,1,)`<@,True,,572,319
f2a25cf9,manual_audit_priority,ok,>,3,#?>{&,:!,:!,1,:!,True,,576,3
f01f112b,manual_audit_priority,ok,+,3,"{""+\|",$^>,$^>,1,$^>,True,,1140,1
e82ed6be,manual_audit_priority,ok,+,3,"$""+$/",/'?,/'?,1,/'?,True,,2508,1
7993452d,manual_audit_priority,ok,-,3,:<-]!,-^],-^],1,-^],True,,3456,2
4e7d1773,manual_audit_priority,ok,+,3,^\+$:,^:?:,^:?:,1,^:?:,True,,3564,5
5f9f0ed7,manual_audit_priority,ok,*,3,|!*@[,}/!},}/!},1,}/!},True,,4284,2
16cf827a,manual_audit_priority,ok,-,3,[|-/`,"""[``","""[``",1,"""[``",True,,5184,2
a52aabb6,manual_audit_priority,ok,+,3,)^+<%,!%,!%,1,!%,True,,7040,6
85dc976c,manual_audit_priority,ok,+,3,|\+\},}:,}:,1,}:,True,,9936,3
a08fbb68,manual_audit_priority,ok,+,2,\$+'<,\$'<,\$'<,1,\$'<,True,,4,4
a85864a9,manual_audit_priority,ok,*,2,(\*}:,(\}:,(\}:,1,(\}:,True,,4,3
dc0f5e5e,manual_audit_priority,ok,+,2,%%+}#,%%}#,%%}#,1,%%}#,True,,4,2
eb354353,manual_audit_priority,ok,},2,%%}||,\%<%,\%<%,1,\%<%,True,,4,1
b13d511a,manual_audit_priority,ok,+,2,\&+[[,\&[[,\&[[,1,\&[[,True,,7,1
39c237c7,manual_audit_priority,ok,+,2,{]+``,{]``,{]``,1,{]``,True,,11,11
0cdb0aae,manual_audit_priority,ok,+,2,:(+/$,:::,:::,1,:::,True,,12,1
97d6db7a,manual_audit_priority,ok,*,2,\[*%^,\[%^,\[%^,1,\[%^,True,,12,7
ec2099f5,manual_audit_priority,ok,*,2,}[*][,:]'\,:]'\,1,:]'\,True,,14,1
a4e4ec1d,manual_audit_priority,ok,-,2,"}""-\$",>!,>!,1,>!,True,,22,1
24750c4a,manual_audit_priority,ok,*,2,|/*||,?)/{,?)/{,1,?)/{,True,,24,1
46fcfa9c,manual_audit_priority,ok,-,2,>(-&@,-@?,-@?,1,-@?,True,,24,1
321ef6ba,manual_audit_priority,ok,*,2,(&*&&,"""""::","""""::",1,"""""::",True,,28,1
47c1d8f5,manual_audit_priority,ok,#,2,/`#%`,]%],]%],1,]%],True,,36,1
9aa8dc92,manual_audit_priority,ok,+,2,/#+</,/#</,/#</,1,/#</,True,,36,36
9d71fece,manual_audit_priority,ok,%,2,":&%""""","""\","""\",1,"""\",True,,40,2
cdec898a,manual_audit_priority,ok,+,2,>}+]?,<?/,<?/,1,<?/,True,,44,1
4de466bf,manual_audit_priority,ok,&,2,@>&</,^[,^[,1,^[,True,,48,1
60f55291,manual_audit_priority,ok,*,2,|/*/!,/\|?,/\|?,1,/\|?,True,,48,1
d72d8c1c,manual_audit_priority,ok,`,2,&@`&%,&@&%,&@&%,1,&@&%,True,,48,2
8193e7e0,manual_audit_priority,ok,*,2,#?*&`,??{`,??{`,1,??{`,True,,52,3
3d40a271,manual_audit_priority,ok,*,2,/:*[{,:/>{,:/>{,1,:/>{,True,,55,1
da61dedc,manual_audit_priority,ok,`,2,}}`|#,/|{#,/|{#,1,/|{#,True,,60,2
226cbdf8,manual_audit_priority,ok,},2,)|})#,#[`,#[`,1,#[`,True,,64,1
0fe53bac,manual_audit_priority,ok,+,2,^?+(|,"(""","(""",1,"(""",True,,69,1
8b7c2ea4,manual_audit_priority,ok,\,2,{@\}@,][@,][@,1,][@,True,,75,1
9f8fda8a,manual_audit_priority,ok,),2,<\)!\,\#,\#,1,\#,True,,76,1
a88f9fe3,manual_audit_priority,ok,+,2,{}+><,<],<],1,<],True,,90,1
96115336,manual_audit_priority,ok,{,2,&@{><,@!<<,@!<<,1,@!<<,True,,92,1
51181706,manual_audit_priority,ok,*,2,/\*//,'[)\,'[)\,1,'[)\,True,,110,4
2f46a715,manual_audit_priority,ok,*,2,!/*|[,]]&|,]]&|,1,]]&|,True,,126,4
9afe43b4,manual_audit_priority,ok,!,2,%}!#<,//(},//(},1,//(},True,,132,1
f9a33aa1,manual_audit_priority,ok,\,2,@(\$/,/((`,/((`,1,/((`,True,,135,4
b391ffe1,manual_audit_priority,ok,+,2,@/+[`,#!,#!,1,#!,True,,144,1
da353dee,manual_audit_priority,ok,*,2,"|@*""&","@@@""","@@@""",1,"@@@""",True,,153,1
d9575f79,manual_audit_priority,ok,{,2,|`{/},|`/},|`/},1,|`/},True,,165,8
d0e1010b,manual_audit_priority,ok,*,2,|&*$|,!&&},!&&},1,!&&},True,,168,1
a021ca5d,manual_audit_priority,ok,@,2,}`@)`,)'&/,)'&/,1,)'&/,True,,182,3
0e009c6d,manual_audit_priority,ok,',2,@?'`?,`?\!,`?\!,1,`?\!,True,,192,4
6beb3a1f,manual_audit_priority,ok,-,2,`)-/[,??,??,1,??,True,,192,2
c32e1c7b,manual_audit_priority,ok,|,2,\&|$`,[$[,[$[,1,[$[,True,,200,1
2fc5ef5b,manual_audit_priority,ok,*,2,&/*:',/&\%,/&\%,1,/&\%,True,,220,1
a3da3c48,manual_audit_priority,ok,(,2,:](>>,\$,\$,1,\$,True,,220,1
ae3d84e7,manual_audit_priority,ok,*,2,`]*@>,<<<,<<<,1,<<<,True,,220,1
1785b35e,manual_audit_priority,ok,*,2,(!*?!,:^:/,:^:/,1,:^:/,True,,240,1
26e48e98,manual_audit_priority,ok,),2,"""])%{",){|,){|,1,){|,True,,240,1
e977d0b7,manual_audit_priority,ok,+,2,&[+/{,&[/{,&[/{,1,&[/{,True,,260,6
58eadc55,manual_audit_priority,ok,|,2,@@|@`,!#,!#,1,!#,True,,264,1
d129b085,manual_audit_priority,ok,+,2,"!>+`""",##$,##$,1,##$,True,,276,1
36d2d728,manual_audit_priority,ok,*,2,"$""*](","""(](","""(](",1,"""(](",True,,280,1
7137d73a,manual_audit_priority,ok,*,2,/<*?{,"<""{","<""{",1,"<""{",True,,288,1
b8955624,manual_audit_priority,ok,:,2,^':'},))?,))?,1,))?,True,,288,1
05c36467,manual_audit_priority,ok,/,2,"""&/($",%%\,%%\,1,%%\,True,,300,3
2ff200fb,manual_audit_priority,ok,-,2,^%-[],)^,)^,1,)^,True,,350,4
2b1a109a,manual_audit_priority,ok,-,2,/>-?!,-/),-/),1,-/),True,,352,2
4dcd1b40,manual_audit_priority,ok,`,2,"}:`]""",`:{,`:{,1,`:{,True,,352,1
823c8278,manual_audit_priority,ok,<,2,::<{^,|:,|:,1,|:,True,,352,3
cfd312b1,manual_audit_priority,ok,*,2,?(*{?,{[\?,{[\?,1,{[\?,True,,360,4
f7d26b8d,manual_audit_priority,ok,-,2,[}-}\,/@,/@,1,/@,True,,374,2
865eab39,manual_audit_priority,ok,-,2,">'-:""",#$,#$,1,#$,True,,384,2
52395e9a,manual_audit_priority,ok,|,2,'#|</,#!%\,#!%\,1,#!%\,True,,408,1
bebb9447,manual_audit_priority,ok,-,2,>(-$>,%#,%#,1,%#,True,,420,3
0dcfd566,manual_audit_priority,ok,+,2,)@+\{,)@\{,)@\{,1,)@\{,True,,432,144
e5b65a4c,manual_audit_priority,ok,@,2,|%@#),``#,``#,1,``#,True,,437,1
abe83078,manual_audit_priority,ok,},2,$$}<$,`<,`<,1,`<,True,,528,1
be0a10de,manual_audit_priority,ok,?,2,$!?]!,""">",""">",1,""">",True,,528,2
5ce7c6b4,manual_audit_priority,ok,@,2,\\@>>,'>&,'>&,1,'>&,True,,576,2
a3e72f6d,manual_audit_priority,ok,*,2,]]*!],/!,/!,1,/!,True,,576,2
f8731f21,manual_audit_priority,ok,>,2,{^>[$,<)$<,<)$<,1,<)$<,True,,576,1
ed61a9d6,manual_audit_priority,ok,+,2,"!""+""!","!""""!","!""""!",1,"!""""!",True,,595,21
ac96e25c,manual_audit_priority,ok,-,2,'!->?,-'/,-'/,1,-'/,True,,612,1
3f67321d,manual_audit_priority,ok,/,2,^`/:[,"}""[}","}""[}",1,"}""[}",True,,624,2
0babcba2,manual_audit_priority,ok,%,2,((%\!,"?""""","?""""",1,"?""""",True,,640,6
12734c90,manual_audit_priority,ok,%,2,#'%@],]@>[,]@>[,1,]@>[,True,,640,2
47524987,manual_audit_priority,ok,+,2,</+|{,]?:,]?:,1,]?:,True,,648,2
34b4cf96,manual_audit_priority,ok,+,2,"""""+^^","""""^^","""""^^",1,"""""^^",True,,680,6
3cb3fd89,manual_audit_priority,ok,*,2,]$*$),[[&],[[&],1,[[&],True,,720,2
ba76c1d2,manual_audit_priority,ok,},2,"[""}""""",{`>!,{`>!,1,{`>!,True,,756,4
053b4c86,manual_audit_priority,ok,*,2,(@*]&,(@(],(@(],1,(@(],True,,792,1
db4f43ef,manual_audit_priority,ok,*,2,?`*]%,"%""|@","%""|@",1,"%""|@",True,,792,1
fbd5fe63,manual_audit_priority,ok,+,2,"{""+^\",$[>,$[>,1,$[>,True,,792,2
466ad340,manual_audit_priority,ok,-,2,`^-$#,-#$,-#$,1,-#$,True,,864,3
826bf843,manual_audit_priority,ok,-,2,[#-$[,-$),-$),1,-$),True,,864,1
ff86cd34,manual_audit_priority,ok,*,2,&(*^),)|((,)|((,1,)|((,True,,1024,3
5a35e698,manual_audit_priority,ok,+,2,\\+%|,[\),[\),1,[\),True,,1092,1
0e375364,manual_audit_priority,ok,{,2,}${/@,}/@,}/@,1,}/@,True,,1152,2
d73ef5bf,manual_audit_priority,ok,%,2,/$%]/,\(|,\(|,1,\(|,True,,1408,6
424b50d1,manual_audit_priority,ok,*,2,%/*@@,/]|&,/]|&,1,/]|&,True,,1584,3
fa714b83,manual_audit_priority,ok,?,2,^{?#{,/,/,1,/,True,,1584,1
234e5b9e,manual_audit_priority,ok,"""",2,")(""(#",$]|&,$]|&,1,$]|&,True,,1632,6
7db72717,manual_audit_priority,ok,-,2,@{-&!,%),%),1,%),True,,1782,3
9a0daca9,manual_audit_priority,ok,*,2,"`""*`(","/"">|","/"">|",1,"/"">|",True,,1782,4
db66c42c,manual_audit_priority,ok,-,2,[!-:^,'},'},1,'},True,,1936,1
9a4f2f47,manual_audit_priority,ok,+,2,!?+)',('^,('^,1,('^,True,,2160,3
7edceb37,manual_audit_priority,ok,+,2,\\+&],<$,<$,1,<$,True,,2640,3
2a5e45a4,manual_audit_priority,ok,\,2,<@\@$,`@},`@},1,`@},True,,3168,2
dc6c0d49,manual_audit_priority,ok,*,2,@#*!@,:>?#,:>?#,1,:>?#,True,,3456,2
dcb9e01d,manual_audit_priority,ok,\,2,$<\@>,}@`,}@`,1,}@`,True,,4320,2
b0206bb7,manual_audit_priority,ok,*,2,${*)},]$!,]$!,1,]$!,True,,4536,2
4ed6b56f,manual_audit_priority,ok,*,2,!:*`(,"(""/""","(""/""",1,"(""/""",True,,4608,6
787a1344,manual_audit_priority,ok,-,2,!)-&[,-[\,-[\,1,-[\,True,,4752,3
e4aeed67,manual_audit_priority,ok,:,2,"'"":'{",@`,@`,1,@`,True,,5016,6
48ae115d,manual_audit_priority,ok,',2,]>']|,\[@`,\[@`,1,\[@`,True,,5040,3
a52c726c,manual_audit_priority,ok,*,2,"<?*""$",])?$,])?$,1,])?$,True,,5120,4
