query_operator,formula_name,format_name,support_rows,gold_match_rows,error_rows,safe_operator_spec
$,x_mul_y__rev_in1_rev_out1,plain,2,2,0,True
$,x_mul_y__rev_in1_rev_out1,prefix_if_negative,2,2,0,True
$,x_mul_y_minus1__rev_in1_rev_out1,abs_plain,2,2,0,True
$,x_mul_y_minus1__rev_in1_rev_out1,plain,2,2,0,True
$,x_mul_y_minus1__rev_in1_rev_out1,prefix_if_negative,2,2,0,True
',x_minus_y__rev_in1_rev_out1,prefix_if_negative,2,2,0,True
(,concat_yx__rev_in1_rev_out1,string_template,2,2,0,True
),x_minus_y__rev_in1_rev_out1,prefix_if_negative,2,2,0,True
),x_mul_y__rev_in1_rev_out1,abs_plain,2,2,0,True
),x_mul_y__rev_in1_rev_out1,plain,2,2,0,True
),x_mul_y__rev_in1_rev_out1,prefix_if_negative,2,2,0,True
/,concat_yx__rev_in1_rev_out1,string_template,2,2,0,True
/,x_mul_y__rev_in1_rev_out1,abs_plain,2,2,0,True
/,x_mul_y__rev_in1_rev_out1,plain,2,2,0,True
/,x_mul_y__rev_in1_rev_out1,prefix_if_negative,2,2,0,True
:,concat_yx__rev_in1_rev_out1,string_template,2,2,0,True
:,x_mul_y__rev_in1_rev_out1,abs_plain,2,2,0,True
:,x_mul_y__rev_in1_rev_out1,plain,2,2,0,True
:,x_mul_y__rev_in1_rev_out1,prefix_if_negative,2,2,0,True
<,x_mul_y__rev_in1_rev_out1,abs_plain,2,2,0,True
<,x_mul_y__rev_in1_rev_out1,plain,2,2,0,True
<,x_mul_y__rev_in1_rev_out1,prefix_if_negative,2,2,0,True
>,x_mul_y__rev_in1_rev_out1,abs_plain,2,2,0,True
>,x_mul_y__rev_in1_rev_out1,plain,2,2,0,True
>,x_mul_y__rev_in1_rev_out1,prefix_if_negative,2,2,0,True
>,x_plus_y__rev_in1_rev_out1,abs_plain,2,2,0,True
>,x_plus_y__rev_in1_rev_out1,plain,2,2,0,True
>,x_plus_y__rev_in1_rev_out1,prefix_if_negative,2,2,0,True
@,x_plus_y__rev_in1_rev_out1,abs_plain,2,2,0,True
@,x_plus_y__rev_in1_rev_out1,plain,2,2,0,True
@,x_plus_y__rev_in1_rev_out1,prefix_if_negative,2,2,0,True
[,abs_diff_2d__rev_in1_rev_out1,string_template,2,2,0,True
[,abs_diff__rev_in1_rev_out1,abs_plain,2,2,0,True
[,abs_diff__rev_in1_rev_out1,plain,2,2,0,True
[,abs_diff__rev_in1_rev_out1,prefix_if_negative,2,2,0,True
[,x_minus_y__rev_in1_rev_out1,abs_plain,2,2,0,True
[,x_mul_y__rev_in1_rev_out1,abs_plain,2,2,0,True
[,x_mul_y__rev_in1_rev_out1,plain,2,2,0,True
[,x_mul_y__rev_in1_rev_out1,prefix_if_negative,2,2,0,True
[,y_minus_x__rev_in1_rev_out1,abs_plain,2,2,0,True
^,abs_diff__rev_in1_rev_out1,abs_plain,2,2,0,True
^,abs_diff__rev_in1_rev_out1,plain,2,2,0,True
^,abs_diff__rev_in1_rev_out1,prefix_if_negative,2,2,0,True
^,x_minus_y__rev_in1_rev_out1,abs_plain,2,2,0,True
^,x_mul_y__rev_in1_rev_out1,abs_plain,2,2,0,True
^,x_mul_y__rev_in1_rev_out1,plain,2,2,0,True
^,x_mul_y__rev_in1_rev_out1,prefix_if_negative,2,2,0,True
^,y_minus_x__rev_in1_rev_out1,abs_plain,2,2,0,True
`,x_mul_y__rev_in1_rev_out1,abs_plain,2,2,0,True
`,x_mul_y__rev_in1_rev_out1,plain,2,2,0,True
`,x_mul_y__rev_in1_rev_out1,prefix_if_negative,2,2,0,True
`,x_plus_y__rev_in1_rev_out1,abs_plain,2,2,0,True
`,x_plus_y__rev_in1_rev_out1,plain,2,2,0,True
`,x_plus_y__rev_in1_rev_out1,prefix_if_negative,2,2,0,True
{,x_mul_y__rev_in1_rev_out1,abs_plain,2,2,0,True
{,x_mul_y__rev_in1_rev_out1,plain,2,2,0,True
{,x_mul_y__rev_in1_rev_out1,prefix_if_negative,2,2,0,True
{,x_mul_y_minus1__rev_in1_rev_out1,abs_plain,2,2,0,True
{,x_mul_y_minus1__rev_in1_rev_out1,plain,2,2,0,True
{,x_mul_y_minus1__rev_in1_rev_out1,prefix_if_negative,2,2,0,True
{,x_plus_y__rev_in1_rev_out1,abs_plain,2,2,0,True
{,x_plus_y__rev_in1_rev_out1,plain,2,2,0,True
{,x_plus_y__rev_in1_rev_out1,prefix_if_negative,2,2,0,True
|,x_plus_y__rev_in1_rev_out1,abs_plain,2,2,0,True
|,x_plus_y__rev_in1_rev_out1,plain,2,2,0,True
|,x_plus_y__rev_in1_rev_out1,prefix_if_negative,2,2,0,True
-,x_minus_y__rev_in1_rev_out1,plain,55,47,8,False
-,x_minus_y__rev_in1_rev_out1,prefix_if_negative,55,47,8,False
-,abs_diff__rev_in1_rev_out1,abs_plain,37,25,12,False
-,abs_diff__rev_in1_rev_out1,plain,37,25,12,False
-,abs_diff__rev_in1_rev_out1,prefix_if_negative,37,25,12,False
-,x_minus_y__rev_in1_rev_out1,abs_plain,37,25,12,False
-,y_minus_x__rev_in1_rev_out1,abs_plain,37,25,12,False
-,max_mod_min__rev_in1_rev_out1,abs_plain,30,18,12,False
-,max_mod_min__rev_in1_rev_out1,plain,30,18,12,False
-,max_mod_min__rev_in1_rev_out1,prefix_if_negative,30,18,12,False
-,abs_diff__rev_in1_rev_out1,prefix_always_abs,29,20,9,False
-,x_minus_y__rev_in1_rev_out1,prefix_always_abs,29,20,9,False
-,y_minus_x__rev_in1_rev_out1,prefix_always_abs,29,20,9,False
-,x_mod_y__rev_in1_rev_out1,abs_plain,22,4,18,False
-,x_mod_y__rev_in1_rev_out1,plain,22,4,18,False
-,x_mod_y__rev_in1_rev_out1,prefix_if_negative,22,4,18,False
-,abs_diff__rev_in1_rev_out1,prefix_abs_zpad2,21,13,8,False
-,x_minus_y__rev_in1_rev_out1,prefix_abs_zpad2,21,13,8,False
-,y_minus_x__rev_in1_rev_out1,prefix_abs_zpad2,21,13,8,False
-,abs_diff_2d__rev_in1_rev_out1,string_template,15,14,1,False
-,max_mod_min__rev_in1_rev_out1,prefix_always_abs,13,4,9,False
-,abs_diff__rev_in1_rev_out0,abs_plain,12,1,11,False
-,abs_diff__rev_in1_rev_out0,plain,12,1,11,False
-,abs_diff__rev_in1_rev_out0,prefix_if_negative,12,1,11,False
-,x_minus_y__rev_in1_rev_out0,abs_plain,12,1,11,False
-,x_minus_y__rev_in1_rev_out0,plain,12,1,11,False
-,x_minus_y__rev_in1_rev_out0,prefix_if_negative,12,1,11,False
-,y_minus_x__rev_in1_rev_out0,abs_plain,12,1,11,False
-,max_mod_min__rev_in1_rev_out0,abs_plain,11,1,10,False
-,max_mod_min__rev_in1_rev_out0,plain,11,1,10,False
-,max_mod_min__rev_in1_rev_out0,prefix_if_negative,11,1,10,False
-,max_mod_min__rev_in1_rev_out1,prefix_abs_zpad2,10,2,8,False
-,y_mod_x__rev_in1_rev_out1,prefix_always_abs,10,2,8,False
-,x_mod_y__rev_in1_rev_out0,abs_plain,9,1,8,False
-,x_mod_y__rev_in1_rev_out0,plain,9,1,8,False
-,x_mod_y__rev_in1_rev_out0,prefix_if_negative,9,1,8,False
-,y_mod_x__rev_in1_rev_out1,prefix_abs_zpad2,9,1,8,False
-,y_minus_x__rev_in1_rev_out1,plain,8,5,3,False
-,y_minus_x__rev_in1_rev_out1,prefix_if_negative,8,5,3,False
*,x_minus_y__rev_in1_rev_out1,prefix_if_negative,6,5,1,False
"""",max_mod_min__rev_in1_rev_out1,abs_plain,4,3,1,False
"""",max_mod_min__rev_in1_rev_out1,plain,4,3,1,False
"""",max_mod_min__rev_in1_rev_out1,prefix_if_negative,4,3,1,False
),x_plus_y__rev_in1_rev_out1,abs_plain,4,3,1,False
),x_plus_y__rev_in1_rev_out1,plain,4,3,1,False
),x_plus_y__rev_in1_rev_out1,prefix_if_negative,4,3,1,False
*,max_mod_min__rev_in1_rev_out1,abs_plain,4,3,1,False
*,max_mod_min__rev_in1_rev_out1,plain,4,3,1,False
*,max_mod_min__rev_in1_rev_out1,prefix_if_negative,4,3,1,False
^,x_plus_y__rev_in1_rev_out1,abs_plain,4,3,1,False
^,x_plus_y__rev_in1_rev_out1,plain,4,3,1,False
^,x_plus_y__rev_in1_rev_out1,prefix_if_negative,4,3,1,False
*,x_mod_y__rev_in1_rev_out1,abs_plain,4,2,2,False
*,x_mod_y__rev_in1_rev_out1,plain,4,2,2,False
*,x_mod_y__rev_in1_rev_out1,prefix_if_negative,4,2,2,False
-,abs_diff__rev_in0_rev_out1,abs_plain,4,0,4,False
-,abs_diff__rev_in0_rev_out1,plain,4,0,4,False
-,abs_diff__rev_in0_rev_out1,prefix_if_negative,4,0,4,False
-,comp99_abs_diff_2d__rev_in1_rev_out0,zpad2,4,0,4,False
-,max_mod_min__rev_in0_rev_out1,abs_plain,4,0,4,False
-,max_mod_min__rev_in0_rev_out1,plain,4,0,4,False
-,max_mod_min__rev_in0_rev_out1,prefix_if_negative,4,0,4,False
-,x_minus_y__rev_in0_rev_out1,abs_plain,4,0,4,False
-,y_minus_x__rev_in0_rev_out1,abs_plain,4,0,4,False
/,abs_diff__rev_in1_rev_out1,abs_plain,4,0,4,False
/,abs_diff__rev_in1_rev_out1,plain,4,0,4,False
/,abs_diff__rev_in1_rev_out1,prefix_if_negative,4,0,4,False
/,x_minus_y__rev_in1_rev_out1,abs_plain,4,0,4,False
/,y_minus_x__rev_in1_rev_out1,abs_plain,4,0,4,False
!,abs_diff_2d__rev_in1_rev_out1,string_template,3,2,1,False
!,abs_diff__rev_in1_rev_out1,abs_plain,3,2,1,False
!,abs_diff__rev_in1_rev_out1,plain,3,2,1,False
!,abs_diff__rev_in1_rev_out1,prefix_if_negative,3,2,1,False
!,x_minus_y__rev_in1_rev_out1,abs_plain,3,2,1,False
!,y_minus_x__rev_in1_rev_out1,abs_plain,3,2,1,False
"""",x_minus_y__rev_in1_rev_out1,prefix_if_negative,3,2,1,False
*,abs_diff__rev_in1_rev_out1,abs_plain,3,2,1,False
*,abs_diff__rev_in1_rev_out1,plain,3,2,1,False
*,abs_diff__rev_in1_rev_out1,prefix_if_negative,3,2,1,False
*,x_minus_y__rev_in1_rev_out1,abs_plain,3,2,1,False
*,x_minus_y__rev_in1_rev_out1,plain,3,2,1,False
*,y_minus_x__rev_in1_rev_out1,abs_plain,3,2,1,False
:,max_mod_min__rev_in0_rev_out1,abs_plain,3,2,1,False
:,max_mod_min__rev_in0_rev_out1,plain,3,2,1,False
:,max_mod_min__rev_in0_rev_out1,prefix_if_negative,3,2,1,False
?,x_plus_y__rev_in1_rev_out1,abs_plain,3,2,1,False
?,x_plus_y__rev_in1_rev_out1,plain,3,2,1,False
?,x_plus_y__rev_in1_rev_out1,prefix_if_negative,3,2,1,False
#,abs_diff__rev_in1_rev_out1,prefix_abs_zpad2,3,1,2,False
#,abs_diff__rev_in1_rev_out1,prefix_always_abs,3,1,2,False
#,x_minus_y__rev_in1_rev_out1,prefix_abs_zpad2,3,1,2,False
#,x_minus_y__rev_in1_rev_out1,prefix_always_abs,3,1,2,False
#,y_minus_x__rev_in1_rev_out1,prefix_abs_zpad2,3,1,2,False
#,y_minus_x__rev_in1_rev_out1,prefix_always_abs,3,1,2,False
/,x_minus_y__rev_in1_rev_out1,prefix_if_negative,3,1,2,False
-,comp99_abs_diff_2d__rev_in0_rev_out1,prefix_abs_zpad2,3,0,3,False
-,comp99_abs_diff_2d__rev_in0_rev_out1,zpad2,3,0,3,False
-,comp99_abs_diff_2d__rev_in1_rev_out0,prefix_abs_zpad2,3,0,3,False
-,y_mod_x__rev_in0_rev_out1,abs_plain,3,0,3,False
-,y_mod_x__rev_in0_rev_out1,plain,3,0,3,False
-,y_mod_x__rev_in0_rev_out1,prefix_if_negative,3,0,3,False
!,max_mod_min__rev_in1_rev_out1,abs_plain,2,1,1,False
!,max_mod_min__rev_in1_rev_out1,plain,2,1,1,False
!,max_mod_min__rev_in1_rev_out1,prefix_if_negative,2,1,1,False
"""",abs_diff__rev_in1_rev_out1,abs_plain,2,1,1,False
"""",abs_diff__rev_in1_rev_out1,plain,2,1,1,False
"""",abs_diff__rev_in1_rev_out1,prefix_if_negative,2,1,1,False
"""",x_minus_y__rev_in1_rev_out1,abs_plain,2,1,1,False
"""",y_minus_x__rev_in1_rev_out1,abs_plain,2,1,1,False
&,abs_diff__rev_in0_rev_out1,abs_plain,2,1,1,False
&,abs_diff__rev_in0_rev_out1,plain,2,1,1,False
&,abs_diff__rev_in0_rev_out1,prefix_if_negative,2,1,1,False
&,max_mod_min__rev_in0_rev_out1,abs_plain,2,1,1,False
&,max_mod_min__rev_in0_rev_out1,plain,2,1,1,False
&,max_mod_min__rev_in0_rev_out1,prefix_if_negative,2,1,1,False
&,x_minus_y__rev_in0_rev_out1,abs_plain,2,1,1,False
&,y_minus_x__rev_in0_rev_out1,abs_plain,2,1,1,False
*,abs_diff__rev_in1_rev_out1,prefix_always_abs,2,1,1,False
*,x_minus_y__rev_in1_rev_out1,prefix_always_abs,2,1,1,False
*,y_minus_x__rev_in1_rev_out1,prefix_always_abs,2,1,1,False
+,x_minus_y__rev_in1_rev_out1,prefix_if_negative,2,1,1,False
-,x_mod_y__rev_in1_rev_out0,prefix_always_abs,2,1,1,False
-,y_mod_x__rev_in1_rev_out1,abs_plain,2,1,1,False
-,y_mod_x__rev_in1_rev_out1,plain,2,1,1,False
-,y_mod_x__rev_in1_rev_out1,prefix_if_negative,2,1,1,False
:,x_mod_y__rev_in0_rev_out1,abs_plain,2,1,1,False
:,x_mod_y__rev_in0_rev_out1,plain,2,1,1,False
:,x_mod_y__rev_in0_rev_out1,prefix_if_negative,2,1,1,False
:,y_minus_x__rev_in1_rev_out1,prefix_if_negative,2,1,1,False
@,x_minus_y__rev_in1_rev_out1,prefix_if_negative,2,1,1,False
!,x_minus_y__rev_in1_rev_out1,plain,2,0,2,False
!,x_minus_y__rev_in1_rev_out1,prefix_if_negative,2,0,2,False
*,abs_diff__rev_in1_rev_out1,prefix_abs_zpad2,2,0,2,False
*,max_mod_min__rev_in0_rev_out1,abs_plain,2,0,2,False
*,max_mod_min__rev_in0_rev_out1,plain,2,0,2,False
*,max_mod_min__rev_in0_rev_out1,prefix_if_negative,2,0,2,False
*,max_mod_min__rev_in1_rev_out0,abs_plain,2,0,2,False
*,max_mod_min__rev_in1_rev_out0,plain,2,0,2,False
*,max_mod_min__rev_in1_rev_out0,prefix_if_negative,2,0,2,False
*,x_minus_y__rev_in1_rev_out1,prefix_abs_zpad2,2,0,2,False
*,x_mod_y__rev_in0_rev_out1,abs_plain,2,0,2,False
*,x_mod_y__rev_in0_rev_out1,plain,2,0,2,False
*,x_mod_y__rev_in0_rev_out1,prefix_if_negative,2,0,2,False
*,x_mod_y__rev_in1_rev_out0,abs_plain,2,0,2,False
*,x_mod_y__rev_in1_rev_out0,plain,2,0,2,False
*,x_mod_y__rev_in1_rev_out0,prefix_if_negative,2,0,2,False
*,y_minus_x__rev_in1_rev_out1,prefix_abs_zpad2,2,0,2,False
-,abs_diff_2d__rev_in0_rev_out1,string_template,2,0,2,False
-,abs_diff__rev_in1_rev_out0,prefix_always_abs,2,0,2,False
-,max_mod_min__rev_in1_rev_out0,prefix_always_abs,2,0,2,False
-,x_minus_y__rev_in0_rev_out1,plain,2,0,2,False
-,x_minus_y__rev_in0_rev_out1,prefix_if_negative,2,0,2,False
-,x_minus_y__rev_in1_rev_out0,prefix_always_abs,2,0,2,False
-,x_mod_y__rev_in1_rev_out1,prefix_always_abs,2,0,2,False
-,y_minus_x__rev_in0_rev_out1,plain,2,0,2,False
-,y_minus_x__rev_in0_rev_out1,prefix_if_negative,2,0,2,False
-,y_minus_x__rev_in1_rev_out0,prefix_always_abs,2,0,2,False
/,abs_diff_2d__rev_in1_rev_out1,string_template,2,0,2,False
/,max_mod_min__rev_in1_rev_out1,abs_plain,2,0,2,False
/,max_mod_min__rev_in1_rev_out1,plain,2,0,2,False
/,max_mod_min__rev_in1_rev_out1,prefix_if_negative,2,0,2,False
/,x_minus_y__rev_in1_rev_out1,plain,2,0,2,False
/,y_minus_x__rev_in1_rev_out1,plain,2,0,2,False
/,y_minus_x__rev_in1_rev_out1,prefix_if_negative,2,0,2,False
:,abs_diff__rev_in0_rev_out1,abs_plain,2,0,2,False
:,abs_diff__rev_in0_rev_out1,plain,2,0,2,False
:,abs_diff__rev_in0_rev_out1,prefix_if_negative,2,0,2,False
:,abs_diff__rev_in1_rev_out0,abs_plain,2,0,2,False
:,abs_diff__rev_in1_rev_out0,plain,2,0,2,False
:,abs_diff__rev_in1_rev_out0,prefix_if_negative,2,0,2,False
:,abs_diff__rev_in1_rev_out1,abs_plain,2,0,2,False
:,abs_diff__rev_in1_rev_out1,plain,2,0,2,False
:,abs_diff__rev_in1_rev_out1,prefix_if_negative,2,0,2,False
:,max_mod_min__rev_in1_rev_out0,abs_plain,2,0,2,False
:,max_mod_min__rev_in1_rev_out0,plain,2,0,2,False
:,max_mod_min__rev_in1_rev_out0,prefix_if_negative,2,0,2,False
:,max_mod_min__rev_in1_rev_out1,abs_plain,2,0,2,False
:,max_mod_min__rev_in1_rev_out1,plain,2,0,2,False
:,max_mod_min__rev_in1_rev_out1,prefix_if_negative,2,0,2,False
:,x_minus_y__rev_in0_rev_out1,abs_plain,2,0,2,False
:,x_minus_y__rev_in0_rev_out1,plain,2,0,2,False
:,x_minus_y__rev_in0_rev_out1,prefix_if_negative,2,0,2,False
:,x_minus_y__rev_in1_rev_out0,abs_plain,2,0,2,False
:,x_minus_y__rev_in1_rev_out0,plain,2,0,2,False
:,x_minus_y__rev_in1_rev_out0,prefix_if_negative,2,0,2,False
:,x_minus_y__rev_in1_rev_out1,abs_plain,2,0,2,False
:,x_minus_y__rev_in1_rev_out1,plain,2,0,2,False
:,x_minus_y__rev_in1_rev_out1,prefix_if_negative,2,0,2,False
:,x_mod_y__rev_in1_rev_out0,abs_plain,2,0,2,False
:,x_mod_y__rev_in1_rev_out0,plain,2,0,2,False
:,x_mod_y__rev_in1_rev_out0,prefix_if_negative,2,0,2,False
:,x_mod_y__rev_in1_rev_out1,abs_plain,2,0,2,False
:,x_mod_y__rev_in1_rev_out1,plain,2,0,2,False
:,x_mod_y__rev_in1_rev_out1,prefix_if_negative,2,0,2,False
:,y_minus_x__rev_in0_rev_out1,abs_plain,2,0,2,False
:,y_minus_x__rev_in1_rev_out0,abs_plain,2,0,2,False
:,y_minus_x__rev_in1_rev_out1,abs_plain,2,0,2,False
:,y_mod_x__rev_in0_rev_out1,abs_plain,2,0,2,False
:,y_mod_x__rev_in0_rev_out1,plain,2,0,2,False
:,y_mod_x__rev_in0_rev_out1,prefix_if_negative,2,0,2,False
?,x_plus_y__rev_in0_rev_out1,abs_plain,2,0,2,False
?,x_plus_y__rev_in0_rev_out1,plain,2,0,2,False
?,x_plus_y__rev_in0_rev_out1,prefix_if_negative,2,0,2,False
?,x_plus_y__rev_in1_rev_out0,abs_plain,2,0,2,False
?,x_plus_y__rev_in1_rev_out0,plain,2,0,2,False
?,x_plus_y__rev_in1_rev_out0,prefix_if_negative,2,0,2,False
^,y_minus_x__rev_in0_rev_out1,prefix_if_negative,2,0,2,False
`,abs_diff__rev_in1_rev_out1,abs_plain,2,0,2,False
`,abs_diff__rev_in1_rev_out1,plain,2,0,2,False
`,abs_diff__rev_in1_rev_out1,prefix_if_negative,2,0,2,False
`,max_mod_min__rev_in1_rev_out1,abs_plain,2,0,2,False
`,max_mod_min__rev_in1_rev_out1,plain,2,0,2,False
`,max_mod_min__rev_in1_rev_out1,prefix_if_negative,2,0,2,False
`,x_minus_y__rev_in1_rev_out1,abs_plain,2,0,2,False
`,x_minus_y__rev_in1_rev_out1,plain,2,0,2,False
`,x_minus_y__rev_in1_rev_out1,prefix_if_negative,2,0,2,False
`,x_mod_y__rev_in1_rev_out1,abs_plain,2,0,2,False
`,x_mod_y__rev_in1_rev_out1,plain,2,0,2,False
`,x_mod_y__rev_in1_rev_out1,prefix_if_negative,2,0,2,False
`,y_minus_x__rev_in1_rev_out1,abs_plain,2,0,2,False
{,abs_diff__rev_in0_rev_out1,abs_plain,2,0,2,False
{,abs_diff__rev_in0_rev_out1,plain,2,0,2,False
{,abs_diff__rev_in0_rev_out1,prefix_if_negative,2,0,2,False
{,max_mod_min__rev_in0_rev_out1,abs_plain,2,0,2,False
{,max_mod_min__rev_in0_rev_out1,plain,2,0,2,False
{,max_mod_min__rev_in0_rev_out1,prefix_if_negative,2,0,2,False
{,x_minus_y__rev_in0_rev_out1,abs_plain,2,0,2,False
{,x_minus_y__rev_in0_rev_out1,plain,2,0,2,False
{,x_minus_y__rev_in0_rev_out1,prefix_if_negative,2,0,2,False
{,x_mod_y__rev_in0_rev_out1,abs_plain,2,0,2,False
{,x_mod_y__rev_in0_rev_out1,plain,2,0,2,False
{,x_mod_y__rev_in0_rev_out1,prefix_if_negative,2,0,2,False
{,y_minus_x__rev_in0_rev_out1,abs_plain,2,0,2,False
!,x_mod_y__rev_in1_rev_out1,abs_plain,1,1,0,False
!,x_mod_y__rev_in1_rev_out1,plain,1,1,0,False
!,x_mod_y__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
!,x_plus_y_minus1__rev_in1_rev_out1,abs_plain,1,1,0,False
!,x_plus_y_minus1__rev_in1_rev_out1,plain,1,1,0,False
!,x_plus_y_minus1__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
!,x_plus_y_plus1__rev_in1_rev_out1,abs_plain,1,1,0,False
!,x_plus_y_plus1__rev_in1_rev_out1,plain,1,1,0,False
!,x_plus_y_plus1__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
!,y_minus_x__rev_in1_rev_out1,plain,1,1,0,False
!,y_minus_x__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
"""",abs_diff_2d__rev_in1_rev_out1,string_template,1,1,0,False
"""",concat_xy__rev_in1_rev_out1,string_template,1,1,0,False
"""",concat_yx__rev_in1_rev_out1,string_template,1,1,0,False
"""",x_minus_y__rev_in1_rev_out1,plain,1,1,0,False
"""",x_plus_y_minus1__rev_in1_rev_out1,abs_plain,1,1,0,False
