bit_structured_formula_name,support_rows,gold_match_rows,error_rows,safe_formula
"and(rol1,shl4)",3,3,0,True
"and(rol1,shl5)",3,3,0,True
"and(rol2,ror2)",3,3,0,True
"and(ror1,shr5)",3,3,0,True
"and(ror3,shl1)",3,3,0,True
"choose(rol2,ror3,shr3)",3,3,0,True
"choose(shl3,shr5,nibble_swap)",3,3,0,True
"choose(shl4,shr1,rol2)",3,3,0,True
"choose(shl5,shr3,nibble_swap)",3,3,0,True
"choose(shl5,shr3,ror1)",3,3,0,True
"choose(shl6,shr2,rol1)",3,3,0,True
"choose(shl6,shr2,rol3)",3,3,0,True
"choose(shl7,shr1,rol1)",3,3,0,True
"or(nibble_swap,shl2)",3,3,0,True
"or(nibble_swap,shr2)",3,3,0,True
"or(nibble_swap,shr3)",3,3,0,True
"or(nibble_swap,shr5)",3,3,0,True
"or(rol1,shr6)",3,3,0,True
"or(rol2,shl1)",3,3,0,True
"or(rol2,shl4)",3,3,0,True
"or(rol2,shr2)",3,3,0,True
"or(rol2,shr4)",3,3,0,True
"or(rol3,shr1)",3,3,0,True
"or(rol3,shr4)",3,3,0,True
"or(rol3,shr6)",3,3,0,True
"or(ror1,shr3)",3,3,0,True
"or(ror1,shr4)",3,3,0,True
"or(ror3,shr2)",3,3,0,True
rol1,3,3,0,True
shl4,3,3,0,True
"xor(nibble_swap,shl1)",3,3,0,True
"xor(nibble_swap,shr6)",3,3,0,True
"xor(rol3,shl5)",3,3,0,True
"xor(ror1,shl5)",3,3,0,True
"xor(ror1,shl6)",3,3,0,True
"xor(ror2,shl1)",3,3,0,True
"xor(ror2,shl3)",3,3,0,True
"xor(ror2,shl5)",3,3,0,True
"xor(ror2,shr1)",3,3,0,True
"xor(ror3,shr1)",3,3,0,True
"xor(ror3,shr5)",3,3,0,True
"xor(shl4,shr7)",3,3,0,True
"xor(shl6,shr7)",3,3,0,True
"and(rol1,shr1)",2,2,0,True
"and(rol2,shr3)",2,2,0,True
"and(rol3,shl4)",2,2,0,True
"and(rol3,shr2)",2,2,0,True
"and(ror1,shr2)",2,2,0,True
"and(ror3,shr7)",2,2,0,True
"choose(nibble_swap,rol3,shl3)",2,2,0,True
"choose(rol1,shr5,rol3)",2,2,0,True
"choose(rol2,shr4,nibble_swap)",2,2,0,True
"choose(rol3,nibble_swap,shr4)",2,2,0,True
"choose(rol3,shr2,ror2)",2,2,0,True
"choose(ror1,rol2,shl2)",2,2,0,True
"choose(shl1,shl5,rol1)",2,2,0,True
"choose(shl1,shr3,ror1)",2,2,0,True
"choose(shl1,shr5,nibble_swap)",2,2,0,True
"choose(shl1,shr5,ror1)",2,2,0,True
"choose(shl1,shr6,rol1)",2,2,0,True
"choose(shl1,shr7,rol3)",2,2,0,True
"choose(shl1,shr7,ror3)",2,2,0,True
"choose(shl2,shl6,rol2)",2,2,0,True
"choose(shl2,shr3,rol1)",2,2,0,True
"choose(shl2,shr3,rol2)",2,2,0,True
"choose(shl2,shr4,ror1)",2,2,0,True
"choose(shl3,shr5,ror2)",2,2,0,True
"choose(shl4,shl7,nibble_swap)",2,2,0,True
"choose(shl4,shr2,ror3)",2,2,0,True
"choose(shl4,shr4,rol1)",2,2,0,True
"choose(shl4,shr4,rol2)",2,2,0,True
"choose(shl4,shr4,rol3)",2,2,0,True
"choose(shl4,shr4,ror1)",2,2,0,True
"choose(shl5,shl7,ror3)",2,2,0,True
"choose(shl5,shr3,rol3)",2,2,0,True
"choose(shl6,shr2,ror1)",2,2,0,True
"choose(shl6,shr2,ror3)",2,2,0,True
"choose(shl7,shr1,rol3)",2,2,0,True
"choose(shr1,shr4,ror1)",2,2,0,True
"choose(shr1,shr7,ror1)",2,2,0,True
"choose(shr4,shr6,nibble_swap)",2,2,0,True
"majority(nibble_swap,shl2,shr5)",2,2,0,True
"majority(nibble_swap,shl3,shr6)",2,2,0,True
"majority(nibble_swap,shl3,shr7)",2,2,0,True
"majority(rol1,shl2,shr1)",2,2,0,True
"majority(rol1,shl2,shr3)",2,2,0,True
"majority(rol1,shl3,shr3)",2,2,0,True
"majority(rol1,shl6,shr5)",2,2,0,True
"majority(rol2,shl3,shr2)",2,2,0,True
"majority(rol2,shl7,shr3)",2,2,0,True
"majority(rol3,shl1,shr6)",2,2,0,True
"majority(rol3,shl4,shr3)",2,2,0,True
"majority(rol3,shl5,shr6)",2,2,0,True
"majority(ror1,shl4,shr6)",2,2,0,True
"majority(ror1,shl5,shr5)",2,2,0,True
"majority(ror1,shl6,shr6)",2,2,0,True
"majority(ror2,shl5,shr1)",2,2,0,True
"majority(ror3,shl3,shr4)",2,2,0,True
"majority(ror3,shl3,shr7)",2,2,0,True
"majority(ror3,shl4,shr6)",2,2,0,True
"majority(ror3,shl6,shr7)",2,2,0,True
"or(rol1,shl6)",2,2,0,True
"or(rol1,shr1)",2,2,0,True
"or(rol1,shr2)",2,2,0,True
"or(rol2,shr1)",2,2,0,True
"or(rol3,shl2)",2,2,0,True
"or(rol3,shl4)",2,2,0,True
"or(rol3,shl7)",2,2,0,True
"or(ror1,shl5)",2,2,0,True
"or(ror1,shr2)",2,2,0,True
"or(ror2,shl1)",2,2,0,True
"or(ror2,shl4)",2,2,0,True
"or(ror2,shr5)",2,2,0,True
"or(ror3,shl1)",2,2,0,True
"or(ror3,shl6)",2,2,0,True
"or(ror3,shr4)",2,2,0,True
rol2,2,2,0,True
shr1,2,2,0,True
shr2,2,2,0,True
shr3,2,2,0,True
shr5,2,2,0,True
shr6,2,2,0,True
"xor(nibble_swap,shl5)",2,2,0,True
"xor(rol1,shl4)",2,2,0,True
"xor(rol1,shl5)",2,2,0,True
"xor(rol1,shr4)",2,2,0,True
"xor(rol2,shl1)",2,2,0,True
"xor(rol2,shl5)",2,2,0,True
"xor(rol2,shl6)",2,2,0,True
"xor(rol2,shr1)",2,2,0,True
"xor(rol2,shr3)",2,2,0,True
"xor(rol3,shl1)",2,2,0,True
"xor(rol3,shl2)",2,2,0,True
"xor(rol3,shr1)",2,2,0,True
"xor(rol3,shr6)",2,2,0,True
"xor(ror1,shl4)",2,2,0,True
"xor(ror1,shr2)",2,2,0,True
"xor(ror1,shr6)",2,2,0,True
"xor(ror2,shl2)",2,2,0,True
"xor(ror3,shl3)",2,2,0,True
"xor(ror3,shl6)",2,2,0,True
"xor(shl3,shr7)",2,2,0,True
"and(nibble_swap,rol1)",1,1,0,False
"and(nibble_swap,rol2)",1,1,0,False
"and(nibble_swap,ror2)",1,1,0,False
"and(nibble_swap,shl5)",1,1,0,False
"and(nibble_swap,shl6)",1,1,0,False
"and(nibble_swap,shr2)",1,1,0,False
"and(nibble_swap,shr3)",1,1,0,False
"and(nibble_swap,shr7)",1,1,0,False
"and(rol1,rol2)",1,1,0,False
"and(rol1,shl7)",1,1,0,False
"and(rol1,shr3)",1,1,0,False
"and(rol1,shr5)",1,1,0,False
"and(rol2,rol3)",1,1,0,False
"and(rol2,ror3)",1,1,0,False
"and(rol2,shl4)",1,1,0,False
"and(rol2,shr1)",1,1,0,False
"and(rol2,shr5)",1,1,0,False
"and(rol3,ror2)",1,1,0,False
"and(rol3,shl2)",1,1,0,False
"and(rol3,shl5)",1,1,0,False
"and(rol3,shl7)",1,1,0,False
"and(rol3,shr7)",1,1,0,False
"and(ror1,shl1)",1,1,0,False
"and(ror1,shl3)",1,1,0,False
"and(ror1,shl5)",1,1,0,False
"and(ror1,shr3)",1,1,0,False
"and(ror1,shr4)",1,1,0,False
"and(ror2,shl2)",1,1,0,False
"and(ror2,shl3)",1,1,0,False
"and(ror2,shr1)",1,1,0,False
"and(ror2,shr5)",1,1,0,False
"and(ror3,shl3)",1,1,0,False
"and(ror3,shl4)",1,1,0,False
"and(ror3,shl6)",1,1,0,False
"and(ror3,shl7)",1,1,0,False
"and(ror3,shr1)",1,1,0,False
"and(ror3,shr4)",1,1,0,False
"and(ror3,shr5)",1,1,0,False
"and(ror3,shr6)",1,1,0,False
"choose(nibble_swap,rol2,shl2)",1,1,0,False
"choose(nibble_swap,shr3,ror3)",1,1,0,False
"choose(rol1,nibble_swap,shr4)",1,1,0,False
"choose(rol1,rol2,shr6)",1,1,0,False
"choose(rol1,ror2,shr2)",1,1,0,False
"choose(rol1,shr4,nibble_swap)",1,1,0,False
"choose(rol1,shr6,rol2)",1,1,0,False
"choose(rol3,rol2,shl2)",1,1,0,False
"choose(rol3,ror3,shr3)",1,1,0,False
"choose(ror1,nibble_swap,shl4)",1,1,0,False
"choose(ror1,ror2,shl6)",1,1,0,False
"choose(ror2,rol1,shl1)",1,1,0,False
"choose(ror3,nibble_swap,shl4)",1,1,0,False
"choose(ror3,ror1,shr1)",1,1,0,False
"choose(ror3,ror2,shr2)",1,1,0,False
"choose(shl1,shl3,rol1)",1,1,0,False
"choose(shl1,shr1,nibble_swap)",1,1,0,False
"choose(shl1,shr1,rol1)",1,1,0,False
"choose(shl1,shr1,rol2)",1,1,0,False
"choose(shl1,shr2,nibble_swap)",1,1,0,False
"choose(shl1,shr2,rol1)",1,1,0,False
"choose(shl1,shr3,nibble_swap)",1,1,0,False
"choose(shl1,shr3,rol2)",1,1,0,False
"choose(shl1,shr3,rol3)",1,1,0,False
"choose(shl1,shr4,rol1)",1,1,0,False
"choose(shl1,shr4,rol3)",1,1,0,False
"choose(shl1,shr5,ror2)",1,1,0,False
"choose(shl1,shr6,rol3)",1,1,0,False
"choose(shl1,shr6,ror3)",1,1,0,False
"choose(shl1,shr7,rol2)",1,1,0,False
"choose(shl1,shr7,ror1)",1,1,0,False
"choose(shl2,shl3,rol2)",1,1,0,False
"choose(shl2,shl4,rol2)",1,1,0,False
"choose(shl2,shl5,rol2)",1,1,0,False
"choose(shl2,shr1,nibble_swap)",1,1,0,False
"choose(shl2,shr1,rol3)",1,1,0,False
"choose(shl2,shr1,ror3)",1,1,0,False
"choose(shl2,shr2,nibble_swap)",1,1,0,False
"choose(shl2,shr2,rol3)",1,1,0,False
"choose(shl2,shr2,ror3)",1,1,0,False
"choose(shl2,shr3,ror1)",1,1,0,False
"choose(shl2,shr4,rol1)",1,1,0,False
"choose(shl2,shr4,rol3)",1,1,0,False
"choose(shl2,shr4,ror3)",1,1,0,False
"choose(shl2,shr5,nibble_swap)",1,1,0,False
"choose(shl2,shr5,rol2)",1,1,0,False
"choose(shl2,shr6,rol1)",1,1,0,False
"choose(shl2,shr6,ror3)",1,1,0,False
"choose(shl3,shl6,rol3)",1,1,0,False
"choose(shl3,shr1,nibble_swap)",1,1,0,False
"choose(shl3,shr1,ror3)",1,1,0,False
"choose(shl3,shr2,rol2)",1,1,0,False
"choose(shl3,shr2,rol3)",1,1,0,False
"choose(shl3,shr2,ror1)",1,1,0,False
"choose(shl3,shr2,ror3)",1,1,0,False
"choose(shl3,shr3,nibble_swap)",1,1,0,False
"choose(shl3,shr3,rol1)",1,1,0,False
"choose(shl3,shr3,rol3)",1,1,0,False
"choose(shl3,shr3,ror2)",1,1,0,False
"choose(shl3,shr5,rol2)",1,1,0,False
"choose(shl3,shr5,ror1)",1,1,0,False
"choose(shl4,shr1,nibble_swap)",1,1,0,False
"choose(shl4,shr1,rol3)",1,1,0,False
"choose(shl4,shr2,nibble_swap)",1,1,0,False
"choose(shl4,shr2,rol1)",1,1,0,False
"choose(shl4,shr2,rol3)",1,1,0,False
"choose(shl4,shr3,nibble_swap)",1,1,0,False
"choose(shl4,shr4,ror2)",1,1,0,False
"choose(shl4,shr4,ror3)",1,1,0,False
"choose(shl5,shl6,ror3)",1,1,0,False
"choose(shl5,shr3,rol2)",1,1,0,False
"choose(shl5,shr3,ror2)",1,1,0,False
"choose(shl6,shr1,rol1)",1,1,0,False
"choose(shl6,shr2,nibble_swap)",1,1,0,False
"choose(shl7,shr1,nibble_swap)",1,1,0,False
"choose(shl7,shr1,ror3)",1,1,0,False
"choose(shr1,shr6,ror1)",1,1,0,False
"choose(shr2,shr3,ror2)",1,1,0,False
"choose(shr2,shr6,ror2)",1,1,0,False
"choose(shr3,shr4,ror3)",1,1,0,False
"choose(shr3,shr5,ror3)",1,1,0,False
"choose(shr4,shr5,nibble_swap)",1,1,0,False
"choose(shr4,shr7,nibble_swap)",1,1,0,False
"choose(shr5,shr6,rol3)",1,1,0,False
"choose(shr5,shr7,rol3)",1,1,0,False
"majority(nibble_swap,shl1,shr2)",1,1,0,False
"majority(nibble_swap,shl1,shr5)",1,1,0,False
"majority(nibble_swap,shl1,shr6)",1,1,0,False
"majority(nibble_swap,shl2,shr3)",1,1,0,False
"majority(nibble_swap,shl3,shr1)",1,1,0,False
"majority(nibble_swap,shl7,shr7)",1,1,0,False
"majority(rol1,shl2,shr5)",1,1,0,False
"majority(rol1,shl3,shr2)",1,1,0,False
"majority(rol1,shl3,shr4)",1,1,0,False
"majority(rol1,shl4,shr1)",1,1,0,False
"majority(rol1,shl4,shr5)",1,1,0,False
"majority(rol1,shl5,shr5)",1,1,0,False
"majority(rol1,shl6,shr3)",1,1,0,False
"majority(rol1,shl7,shr2)",1,1,0,False
"majority(rol1,shl7,shr5)",1,1,0,False
"majority(rol2,shl1,shr1)",1,1,0,False
"majority(rol2,shl1,shr5)",1,1,0,False
"majority(rol2,shl4,shr5)",1,1,0,False
"majority(rol2,shl5,shr1)",1,1,0,False
"majority(rol2,shl5,shr7)",1,1,0,False
"majority(rol2,shl6,shr4)",1,1,0,False
"majority(rol3,shl1,shr3)",1,1,0,False
"majority(rol3,shl4,shr7)",1,1,0,False
"majority(rol3,shl5,shr1)",1,1,0,False
"majority(rol3,shl6,shr4)",1,1,0,False
"majority(rol3,shl6,shr7)",1,1,0,False
"majority(rol3,shl7,shr2)",1,1,0,False
"majority(rol3,shl7,shr4)",1,1,0,False
"majority(rol3,shl7,shr7)",1,1,0,False
"majority(ror1,shl1,shr3)",1,1,0,False
"majority(ror1,shl1,shr5)",1,1,0,False
"majority(ror1,shl2,shr3)",1,1,0,False
"majority(ror1,shl3,shr3)",1,1,0,False
"majority(ror1,shl3,shr4)",1,1,0,False
"majority(ror1,shl4,shr3)",1,1,0,False
"majority(ror1,shl4,shr5)",1,1,0,False
"majority(ror1,shl5,shr6)",1,1,0,False
"majority(ror1,shl6,shr4)",1,1,0,False
"majority(ror1,shl6,shr7)",1,1,0,False
"majority(ror2,shl1,shr1)",1,1,0,False
"majority(ror2,shl1,shr3)",1,1,0,False
"majority(ror2,shl1,shr6)",1,1,0,False
"majority(ror2,shl2,shr1)",1,1,0,False
"majority(ror2,shl2,shr4)",1,1,0,False
"majority(ror2,shl2,shr5)",1,1,0,False
"majority(ror2,shl2,shr7)",1,1,0,False
"majority(ror2,shl3,shr4)",1,1,0,False
"majority(ror2,shl3,shr7)",1,1,0,False
"majority(ror2,shl4,shr1)",1,1,0,False
"majority(ror2,shl4,shr7)",1,1,0,False
"majority(ror2,shl5,shr6)",1,1,0,False
"majority(ror2,shl5,shr7)",1,1,0,False
"majority(ror2,shl7,shr5)",1,1,0,False
"majority(ror2,shl7,shr7)",1,1,0,False
"majority(ror3,shl1,shr1)",1,1,0,False
"majority(ror3,shl1,shr4)",1,1,0,False
"majority(ror3,shl1,shr5)",1,1,0,False
"majority(ror3,shl1,shr6)",1,1,0,False
"majority(ror3,shl2,shr4)",1,1,0,False
"majority(ror3,shl3,shr2)",1,1,0,False
"majority(ror3,shl3,shr6)",1,1,0,False
"majority(ror3,shl4,shr2)",1,1,0,False
"majority(ror3,shl4,shr5)",1,1,0,False
"majority(ror3,shl6,shr1)",1,1,0,False
"majority(ror3,shl7,shr4)",1,1,0,False
"or(nibble_swap,shl5)",1,1,0,False
"or(nibble_swap,shl6)",1,1,0,False
"or(nibble_swap,shl7)",1,1,0,False
"or(nibble_swap,shr1)",1,1,0,False
"or(nibble_swap,shr6)",1,1,0,False
"or(rol1,shl2)",1,1,0,False
"or(rol1,shl4)",1,1,0,False
"or(rol1,shl7)",1,1,0,False
"or(rol2,shl5)",1,1,0,False
"or(rol2,shl6)",1,1,0,False
"or(rol2,shr7)",1,1,0,False
"or(rol3,shl1)",1,1,0,False
"or(rol3,shr2)",1,1,0,False
"or(rol3,shr7)",1,1,0,False
"or(ror1,shl2)",1,1,0,False
"or(ror1,shl3)",1,1,0,False
"or(ror1,shl4)",1,1,0,False
"or(ror1,shl6)",1,1,0,False
"or(ror1,shr7)",1,1,0,False
"or(ror2,shl2)",1,1,0,False
"or(ror2,shl5)",1,1,0,False
"or(ror2,shr4)",1,1,0,False
"or(ror2,shr6)",1,1,0,False
"or(ror2,shr7)",1,1,0,False
"or(ror3,shl3)",1,1,0,False
"or(ror3,shl4)",1,1,0,False
"or(ror3,shl7)",1,1,0,False
"or(ror3,shr1)",1,1,0,False
"or(ror3,shr6)",1,1,0,False
"or(ror3,shr7)",1,1,0,False
shl1,1,1,0,False
shl3,1,1,0,False
shl6,1,1,0,False
shr4,1,1,0,False
shr7,1,1,0,False
"xor(nibble_swap,shl2)",1,1,0,False
"xor(nibble_swap,shl3)",1,1,0,False
"xor(nibble_swap,shl6)",1,1,0,False
"xor(nibble_swap,shl7)",1,1,0,False
"xor(nibble_swap,shr1)",1,1,0,False
"xor(rol1,shl2)",1,1,0,False
"xor(rol1,shl3)",1,1,0,False
"xor(rol1,shl6)",1,1,0,False
"xor(rol1,shr1)",1,1,0,False
"xor(rol1,shr3)",1,1,0,False
"xor(rol2,shl4)",1,1,0,False
"xor(rol2,shr2)",1,1,0,False
"xor(rol3,shr2)",1,1,0,False
"xor(rol3,shr3)",1,1,0,False
"xor(rol3,shr4)",1,1,0,False
"xor(rol3,shr7)",1,1,0,False
"xor(ror1,shl1)",1,1,0,False
"xor(ror1,shr3)",1,1,0,False
"xor(ror1,shr4)",1,1,0,False
"xor(ror1,shr5)",1,1,0,False
"xor(ror2,shl4)",1,1,0,False
"xor(ror2,shl7)",1,1,0,False
"xor(ror2,shr5)",1,1,0,False
"xor(ror2,shr6)",1,1,0,False
"xor(ror3,shl1)",1,1,0,False
"xor(ror3,shl4)",1,1,0,False
"xor(ror3,shl7)",1,1,0,False
"xor(ror3,shr2)",1,1,0,False
"xor(ror3,shr7)",1,1,0,False
