id,previous_selection_tier,query_raw,answer,library_name,formula_name,predicted_answer,decision_note
ea5def07,answer_only_keep,01010101,11111111,not_structured,"choose(not(ror2),not(shl4),nibble_swap)",11111111,manual_prompt_exact_verified
5dfea8b0,answer_only_keep,11011100,01011011,not_structured,"choose(not(ror2),not(shl5),ror3)",01011011,manual_prompt_exact_verified
4f80d363,answer_only_keep,11001101,01101110,not_structured,"choose(not(ror2),not(shl7),ror1)",01101110,manual_prompt_exact_verified
46dd0f22,answer_only_keep,00101000,01010000,not_structured,"choose(not(ror2),shl1,rol1)",01010000,manual_prompt_exact_verified
e98106b7,answer_only_keep,01100100,11100011,not_structured,"choose(not(ror3),not(shl2),rol2)",11100011,manual_prompt_exact_verified
722b605b,answer_only_keep,01111011,00111101,not_structured,"choose(not(ror3),not(shl7),ror1)",00111101,manual_prompt_exact_verified
2e5e7fe7,answer_only_keep,10110001,01101101,not_structured,"choose(not(ror3),not(shl7),shr2)",01101101,manual_prompt_exact_verified
59c78e51,answer_only_keep,10010000,00000000,not_structured,"choose(not(ror3),shl4,nibble_swap)",00000000,manual_prompt_exact_verified
855b5480,answer_only_keep,11101011,01111010,not_structured,"choose(not(ror3),shr2,ror2)",01111010,manual_prompt_exact_verified
7b107eec,answer_only_keep,10100001,10110101,not_structured,"choose(not(shl1),not(shl3),rol3)",10110101,manual_prompt_exact_verified
3e953bd6,answer_only_keep,10011111,00100111,not_structured,"choose(not(shl1),not(shl6),ror2)",00100111,manual_prompt_exact_verified
947c23f0,answer_only_keep,11001001,10111011,not_structured,"choose(not(shl2),not(shl6),ror2)",10111011,manual_prompt_exact_verified
fd13b7fd,answer_only_keep,11001101,00011001,not_structured,"choose(not(shl5),ror3,shl6)",00011001,manual_prompt_exact_verified
37cbea46,answer_only_keep,00111010,11111101,not_structured,"choose(not(shr1),not(shr2),not(shl6))",11111101,manual_prompt_exact_verified
5fead1a1,answer_only_keep,10100000,11111010,not_structured,"choose(not(shr1),not(shr5),not(shl3))",11111010,manual_prompt_exact_verified
b4229b4a,answer_only_keep,00001101,11111011,not_structured,"choose(not(shr1),not(shr6),not(shl2))",11111011,manual_prompt_exact_verified
dd9ee40c,answer_only_keep,11001001,11111011,not_structured,"choose(not(shr2),not(shr5),not(shl3))",11111011,manual_prompt_exact_verified
b8e5057a,answer_only_keep,01100101,11111010,not_structured,"choose(not(shr3),not(shr6),not(shl2))",11111010,manual_prompt_exact_verified
7f2e1469,answer_only_keep,10110110,11111010,not_structured,"choose(not(shr3),not(shr7),not(shl1))",11111010,manual_prompt_exact_verified
021ed764,answer_only_keep,10000100,11111101,not_structured,"choose(not(shr4),not(shr6),not(shl2))",11111101,manual_prompt_exact_verified
e1f3ffbb,answer_only_keep,11000010,11111010,not_structured,"choose(not(shr4),not(shr7),not(shl1))",11111010,manual_prompt_exact_verified
1c3f2ff9,answer_only_keep,10010101,11111011,not_structured,"or(nibble_swap,not(shr5))",11111011,manual_prompt_exact_verified
fd7920d3,answer_only_keep,00010010,11111011,not_structured,"or(not(shr2),ror1)",11111011,manual_prompt_exact_verified
bd214050,answer_only_keep,00001100,11111110,not_structured,"or(not(shr3),shr4)",11111110,manual_prompt_exact_verified
ac7ed6cf,answer_only_keep,11011000,11100111,not_structured,"or(not(shr3),shr6)",11100111,manual_prompt_exact_verified
e124d12a,answer_only_keep,11111010,11111101,not_structured,"or(not(shr4),ror1)",11111101,manual_prompt_exact_verified
35364e9a,answer_only_keep,01111001,11111110,not_structured,"or(not(shr5),ror2)",11111110,manual_prompt_exact_verified
8b85ff03,answer_only_keep,00001010,11111111,not_structured,"or(not(shr5),shr7)",11111111,manual_prompt_exact_verified
d1c3ed77,answer_only_keep,01000010,11111110,not_structured,"or(not(shr6),ror3)",11111110,manual_prompt_exact_verified
4510a429,answer_only_keep,00000010,11111111,not_structured,"or(not(shr7),ror1)",11111111,manual_prompt_exact_verified
161667cd,answer_only_keep,00111101,11000100,not_structured,"xor(nibble_swap,not(shl3))",11000100,manual_prompt_exact_verified
ee4f1423,answer_only_keep,00001110,01101111,not_structured,"xor(not(rol3),shl4)",01101111,manual_prompt_exact_verified
562cfc29,answer_only_keep,01100101,11011001,not_structured,"xor(not(ror1),shl2)",11011001,manual_prompt_exact_verified
be01af6b,answer_only_keep,01001001,10011111,not_structured,"xor(not(shl5),shl6)",10011111,manual_prompt_exact_verified
1bf84ce3,answer_only_keep,10011001,00000000,structured,"and(nibble_swap,ror2)",00000000,manual_prompt_exact_verified
d5a28743,manual_audit_priority,00101110,00000011,structured,"and(ror1,ror2)",00000011,manual_prompt_exact_verified
5791e7c4,manual_audit_priority,01110111,01000001,structured,"majority(nibble_swap,shl6,shr6)",01000001,late_manual_prompt_exact_verified
ea10e59c,manual_audit_priority,00011101,00101010,structured,"majority(rol1,shl5,shr1)",00101010,late_manual_prompt_exact_verified
9bfb1cc6,manual_audit_priority,00110110,10001101,structured,ror2,10001101,manual_prompt_exact_verified
