id,selection_tier,query_operator,same_operator_example_count,query_raw,answer,decision_note
1b019515,manual_audit_priority,&,0,57&77,134,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
48c25e0e,manual_audit_priority,&,0,43&11,53,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
23f98595,manual_audit_priority,',0,33'69,03,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
386b6d03,manual_audit_priority,',0,79'97,671,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
5f6b6ea3,manual_audit_priority,(,0,51(63,6,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
f2ff37b2,manual_audit_priority,(,0,91(29,2639,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
a87565bb,manual_audit_priority,),0,81)85,67,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
bba186c3,manual_audit_priority,),0,71)42,704,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
f9bd3119,manual_audit_priority,),0,53)73,)2,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
065f9dea,manual_audit_priority,*,0,43*96,*53,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
078df00e,manual_audit_priority,*,0,56*02,1031,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
1c4861e6,manual_audit_priority,*,0,12*91,993,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
1eaf6228,manual_audit_priority,*,0,42*61,483,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
549f5220,manual_audit_priority,*,0,48*55,5548,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
5541d35c,manual_audit_priority,*,0,97*93,2803,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
603ad93b,manual_audit_priority,*,0,32*05,9411,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
c2945f2c,manual_audit_priority,*,0,07*79,1976,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
c885e697,manual_audit_priority,*,0,34*82,8234,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
d6baf5e6,manual_audit_priority,*,0,87*69,7847,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
dcaf44c4,manual_audit_priority,*,0,24*95,8742,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
df92aa6a,manual_audit_priority,*,0,82*76,7682,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
e2f2bea4,manual_audit_priority,*,0,29*26,3075,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
e4cc7639,manual_audit_priority,*,0,48*64,113,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
e7b87b82,manual_audit_priority,*,0,29*39,10,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
ed80cf3e,manual_audit_priority,*,0,31*14,1431,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
fdd9ff2b,manual_audit_priority,*,0,21*44,825,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
272bde97,manual_audit_priority,+,0,14+31,55,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
27661a37,manual_audit_priority,+,0,96+77,741,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
28f7012c,manual_audit_priority,+,0,41+75,7541,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
3bf05c35,manual_audit_priority,+,0,86+87,641,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
4e840a1a,manual_audit_priority,+,0,15+53,38,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
4f06e1c0,manual_audit_priority,+,0,07+38,351,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
5039d1a0,manual_audit_priority,+,0,06+08,041,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
5a0d5d2a,manual_audit_priority,+,0,39+94,341,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
6385674a,manual_audit_priority,+,0,41+28,69,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
648e2da2,manual_audit_priority,+,0,34+88,031,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
656cfb5f,manual_audit_priority,+,0,72+44,17,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
6ac4d8c2,manual_audit_priority,+,0,17+76,831,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
6be00ae9,manual_audit_priority,+,0,29+11,401,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
707fd23a,manual_audit_priority,+,0,77+42,3235,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
7475f2bf,manual_audit_priority,+,0,26+86,111,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
7d9f6c40,manual_audit_priority,+,0,98+47,461,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
945c151e,manual_audit_priority,+,0,38+08,461,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
966c1f9f,manual_audit_priority,+,0,31+45,66,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
9aa48392,manual_audit_priority,+,0,58+66,151,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
b075e716,manual_audit_priority,+,0,30+80,2400,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
c561264c,manual_audit_priority,+,0,79+02,0279,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
dc178d1c,manual_audit_priority,+,0,65+69,04,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
e7dfe7d3,manual_audit_priority,+,0,21+84,0,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
e9e6b620,manual_audit_priority,+,0,91+66,25,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
ea6d926a,manual_audit_priority,+,0,25+62,87,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
ef1b13ac,manual_audit_priority,+,0,74+66,8,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
07aef27f,manual_audit_priority,-,0,22-84,-62,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
2f7e0e78,manual_audit_priority,-,0,98-99,01,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
4684abe0,manual_audit_priority,-,0,74-86,-12,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
528ec0d8,manual_audit_priority,-,0,11-50,-39,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
5d89a09c,manual_audit_priority,-,0,78-78,0,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
672029b2,manual_audit_priority,-,0,98-83,31,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
68903918,manual_audit_priority,-,0,59-69,4072,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
69fe4b0d,manual_audit_priority,-,0,70-11,59,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
6bef7413,manual_audit_priority,-,0,01-29,-28,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
6c402bb7,manual_audit_priority,-,0,81-52,44,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
7c0c5227,manual_audit_priority,-,0,69-55,14,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
8ae8e12a,manual_audit_priority,-,0,08-17,9,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
aca5c614,manual_audit_priority,-,0,14-63,-5,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
afcac7af,manual_audit_priority,-,0,01-91,-9,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
bce10d97,manual_audit_priority,-,0,31-45,2,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
be5971d7,manual_audit_priority,-,0,18-32,-85,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
be877da5,manual_audit_priority,-,0,93-91,02,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
c763054a,manual_audit_priority,-,0,97-12,85,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
d096a492,manual_audit_priority,-,0,98-33,-65,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
ec37a5e7,manual_audit_priority,-,0,42-59,-17,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
f642e7b5,manual_audit_priority,-,0,73-48,-74,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
fb4bc935,manual_audit_priority,-,0,64-25,-6,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
228bd26b,manual_audit_priority,/,0,40/12,4012,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
38489191,manual_audit_priority,/,0,70/51,/19,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
592107c3,manual_audit_priority,/,0,75/62,/13,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
92e320c9,manual_audit_priority,/,0,45/78,3511,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
d809394c,manual_audit_priority,/,0,90/99,9099,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
e1728524,manual_audit_priority,/,0,99/99,1089,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
ead0e1dd,manual_audit_priority,/,0,63/38,911,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
eeae398e,manual_audit_priority,/,0,65/58,3770,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
0f8452df,manual_audit_priority,:,0,90:68,159,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
275db7d4,manual_audit_priority,:,0,62:21,6221,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
a361a1b7,manual_audit_priority,:,0,53:99,:46,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
b7ad0671,manual_audit_priority,:,0,28:12,16,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
cc735e46,manual_audit_priority,:,0,44:82,4482,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
f971f8dd,manual_audit_priority,:,0,88:34,131,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
6f88e240,manual_audit_priority,<,0,43<61,445,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
83f2724b,manual_audit_priority,>,0,35>13,22,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
9c91b226,manual_audit_priority,?,0,29?26,03,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
dde06528,manual_audit_priority,?,0,84?52,8452,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
053f4545,manual_audit_priority,@,0,06@77,731,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
21dff465,manual_audit_priority,@,0,73@82,@9,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
5a9fcf68,manual_audit_priority,@,0,24@28,4443,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
5f5227b5,manual_audit_priority,@,0,06@52,53@,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
899e7ce8,manual_audit_priority,@,0,33@23,1@,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
209d28ca,manual_audit_priority,[,0,84[87,171,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
32a31236,manual_audit_priority,[,0,52[96,44,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
44a57762,manual_audit_priority,[,0,56[71,5011,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
66a0856f,manual_audit_priority,[,0,74[36,38,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
e307429d,manual_audit_priority,[,0,47[44,6523,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
260f20c1,manual_audit_priority,\,0,22\65,43,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
688c807b,manual_audit_priority,\,0,28\64,1793,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
6e6401d7,manual_audit_priority,\,0,94\93,1,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
b8f00ea7,manual_audit_priority,\,0,36\28,5615,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
d17632d2,manual_audit_priority,\,0,38\29,571,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
662fd21c,manual_audit_priority,],0,70]53,17,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
9ef98294,manual_audit_priority,],0,89]25,64],"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
c6961082,manual_audit_priority,],0,69]99,6831,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
9fa9ecdc,manual_audit_priority,^,0,50^86,36,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
b2e5c467,manual_audit_priority,^,0,61^07,9111,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
e33f1695,manual_audit_priority,^,0,55^54,5554,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
32e9a308,manual_audit_priority,`,0,94`31,124,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
35e12b34,manual_audit_priority,`,0,65`48,041,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
3687bc41,manual_audit_priority,`,0,08`14,121,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
8154fbdc,manual_audit_priority,`,0,66`82,8481,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
124db55f,manual_audit_priority,{,0,44{47,4447,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
abbb5d43,manual_audit_priority,{,0,86{99,8513,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
1b3beb8f,manual_audit_priority,|,0,87|22,108,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
8df3daad,manual_audit_priority,|,0,45|11,34,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
ea829b32,manual_audit_priority,|,0,54|97,151,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
7a9711b1,manual_audit_priority,},0,18}38,1838,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
c6da25af,manual_audit_priority,},0,16}95,121,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
ea9f3811,manual_audit_priority,},0,46}59,}13,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
