abstract_family,support_rows,gold_match_rows,distinct_exact_formula_count,error_rows,safe_abstract_family
"xor(not(shr),or(not(shl),rol))",8,4,5,4,False
"or(and(ror,shl),rol)",7,6,7,1,False
"or(and(shl,shr),rol)",7,6,7,1,False
"xor(not(shr),or(not(ror),not(shl)))",7,4,6,3,False
"or(and(not(ror),shl),shl)",7,5,5,2,False
"or(and(const_mask,rol),shr)",7,1,5,6,False
"and(or(not(ror),not(shr)),shr)",6,5,6,1,False
"or(and(not(rol),shl),rol)",6,5,6,1,False
"and(or(const_not_mask,rol),shl)",6,4,6,2,False
"or(and(const_mask,rol),shl)",6,4,6,2,False
"and(or(rol,ror),shl)",6,3,6,3,False
"or(and(not(rol),shr),shr)",6,3,6,3,False
"and(not(shl),ror)",6,5,5,1,False
"and(or(not(rol),not(shl)),shr)",6,5,5,1,False
"and(or(not(shl),ror),shl)",6,5,5,1,False
"and(or(const_not_mask,reverse),shl)",6,5,4,1,False
"and(or(not(shl),ror),shr)",6,3,4,3,False
"xor(and(not(rol),shl),not(shl))",6,3,4,3,False
"and(or(not(rol),not(ror)),shr)",5,4,5,1,False
"and(or(not(rol),not(shl)),shl)",5,4,5,1,False
"and(or(not(ror),not(shl)),shr)",5,4,5,1,False
"and(or(not(shl),shr),ror)",5,4,5,1,False
"and(or(not(shl),ror),rol)",5,1,5,4,False
"xor(not(shr),or(not(rol),not(shl)))",5,1,5,4,False
"and(or(not(rol),ror),shr)",5,0,5,5,False
"and(or(not(shl),x),shr)",5,3,4,2,False
"and(or(not(shl),rol),ror)",5,2,4,3,False
"xor(not(shl),or(not(shr),ror))",5,1,4,4,False
shl,5,4,3,1,False
"or(and(shl,shr),shr)",5,2,3,3,False
"and(or(const_not_mask,ror),rol)",4,3,4,1,False
"and(or(not(rol),not(ror)),shl)",4,3,4,1,False
"and(rol,shl)",4,3,4,1,False
"or(not(ror),xor(not(shl),not(shr)))",4,3,4,1,False
"xor(not(shl),or(not(rol),not(shr)))",4,3,4,1,False
"and(not(shl),or(not(shl),rol))",4,2,4,2,False
"and(or(nibble_swap,ror),shl)",4,2,4,2,False
"and(or(rol,rol),shl)",4,2,4,2,False
"or(and(not(shr),shr),not(shr))",4,2,4,2,False
"xor(not(ror),or(not(shl),rol))",4,2,4,2,False
"and(and(ror,shl),rol)",4,1,4,3,False
"and(or(nibble_swap,not(rol)),shl)",4,1,4,3,False
"and(or(nibble_swap,rol),shl)",4,1,4,3,False
"and(or(not(ror),rol),shl)",4,1,4,3,False
"or(and(const_mask,not(x)),shr)",4,1,4,3,False
"and(or(const_not_mask,not(ror)),rol)",4,0,4,4,False
"and(shr,xor(not(rol),ror))",4,0,4,4,False
"xor(not(shr),or(not(shl),not(shr)))",4,0,4,4,False
"and(or(not(shr),x),shl)",4,3,3,1,False
"or(and(const_mask,reverse),shl)",4,3,3,1,False
"or(and(not(x),shl),shl)",4,3,3,1,False
"xor(and(not(ror),shl),not(shl))",4,3,3,1,False
"and(or(ror,shr),shl)",4,2,3,2,False
"or(and(const_mask,not(nibble_swap)),shl)",4,1,3,3,False
"and(or(const_not_mask,not(rol)),shl)",3,3,3,0,False
"and(or(not(rol),rol),shl)",3,3,3,0,False
"and(or(not(ror),not(shl)),rol)",3,3,3,0,False
"or(and(const_mask,ror),rol)",3,3,3,0,False
"or(and(const_mask,x),shr)",3,3,3,0,False
"or(and(rol,shl),rol)",3,3,3,0,False
"and(and(not(rol),shr),nibble_swap)",3,2,3,1,False
"and(or(const_not_mask,not(x)),rol)",3,2,3,1,False
"and(or(nibble_swap,not(rol)),shr)",3,2,3,1,False
"and(or(not(rol),not(shr)),shr)",3,2,3,1,False
"and(or(not(rol),reverse),shr)",3,2,3,1,False
"and(or(not(rol),ror),shl)",3,2,3,1,False
"and(or(not(ror),not(ror)),shl)",3,2,3,1,False
"and(or(not(shl),not(x)),rol)",3,2,3,1,False
"and(or(not(shl),rol),rol)",3,2,3,1,False
"or(and(const_mask,ror),shl)",3,2,3,1,False
"or(and(not(ror),shr),not(shr))",3,2,3,1,False
"xor(and(not(shr),shl),not(shl))",3,2,3,1,False
"xor(not(shr),or(not(shl),reverse))",3,2,3,1,False
"and(or(const_mask,not(shl)),rol)",3,1,3,2,False
"and(or(const_mask,ror),shl)",3,1,3,2,False
"and(or(not(rol),not(shl)),rol)",3,1,3,2,False
"and(or(not(shl),rol),shr)",3,1,3,2,False
"and(or(not(shl),shl),ror)",3,1,3,2,False
"and(or(not(shr),ror),shr)",3,1,3,2,False
"and(or(rol,ror),shr)",3,1,3,2,False
"and(or(const_not_mask,rol),rol)",3,0,3,3,False
"and(or(const_not_mask,ror),shr)",3,0,3,3,False
"and(or(nibble_swap,ror),shr)",3,0,3,3,False
"or(and(const_mask,rol),rol)",3,0,3,3,False
"xor(not(shr),or(not(shr),rol))",3,0,3,3,False
"and(or(not(nibble_swap),not(shl)),shl)",3,3,2,0,False
"and(or(not(reverse),not(shr)),shl)",3,3,2,0,False
"and(or(not(shl),not(x)),shl)",3,3,2,0,False
"and(or(not(shr),reverse),shl)",3,3,2,0,False
"and(ror,shl)",3,3,2,0,False
"or(and(not(x),shr),shr)",3,3,2,0,False
"or(and(shl,x),shl)",3,3,2,0,False
"and(or(not(shr),not(x)),shr)",3,2,2,1,False
"and(or(not(shl),x),shl)",3,1,2,2,False
"or(and(const_mask,not(x)),shl)",3,1,2,2,False
"xor(not(shr),or(not(shl),not(x)))",3,1,2,2,False
"xor(not(shl),shl)",3,2,1,1,False
"and(and(not(ror),shr),nibble_swap)",2,2,2,0,False
"and(and(ror,shr),not(rol))",2,2,2,0,False
"and(and(shr,x),not(rol))",2,2,2,0,False
"and(not(rol),shr)",2,2,2,0,False
"and(not(shl),or(not(shl),ror))",2,2,2,0,False
"and(or(const_not_mask,not(nibble_swap)),rol)",2,2,2,0,False
"and(or(const_not_mask,not(nibble_swap)),shl)",2,2,2,0,False
"and(or(const_not_mask,not(rol)),rol)",2,2,2,0,False
"and(or(const_not_mask,not(ror)),shl)",2,2,2,0,False
"and(or(const_not_mask,not(x)),shl)",2,2,2,0,False
"and(or(const_not_mask,reverse),shr)",2,2,2,0,False
"and(or(const_not_mask,rol),shr)",2,2,2,0,False
"and(or(const_not_mask,x),shl)",2,2,2,0,False
"and(or(not(nibble_swap),rol),shr)",2,2,2,0,False
"and(or(not(rol),not(rol)),shr)",2,2,2,0,False
"and(or(not(rol),not(x)),shr)",2,2,2,0,False
"and(or(not(ror),not(shr)),rol)",2,2,2,0,False
"and(or(not(shl),reverse),shr)",2,2,2,0,False
"and(or(not(shl),shr),rol)",2,2,2,0,False
"and(or(not(shr),not(x)),rol)",2,2,2,0,False
"and(or(shr,shr),rol)",2,2,2,0,False
"and(shr,xor(not(rol),not(ror)))",2,2,2,0,False
"and(shr,xor(not(rol),not(x)))",2,2,2,0,False
"or(and(const_mask,not(reverse)),shl)",2,2,2,0,False
"or(and(const_mask,not(ror)),not(shr))",2,2,2,0,False
"or(and(const_mask,reverse),shr)",2,2,2,0,False
"or(and(const_not_mask,not(shr)),ror)",2,2,2,0,False
"or(and(nibble_swap,shr),shr)",2,2,2,0,False
"or(and(not(nibble_swap),shl),rol)",2,2,2,0,False
"or(and(not(ror),shl),rol)",2,2,2,0,False
"or(and(not(shl),shr),nibble_swap)",2,2,2,0,False
"or(and(shr,x),shr)",2,2,2,0,False
"or(const_mask,xor(not(ror),shl))",2,2,2,0,False
"or(nibble_swap,or(not(shr),rol))",2,2,2,0,False
"or(not(ror),or(not(shr),ror))",2,2,2,0,False
"or(rol,shl)",2,2,2,0,False
"or(ror,xor(const_mask,not(shr)))",2,2,2,0,False
"xor(not(shl),or(not(ror),not(shl)))",2,2,2,0,False
"and(and(not(shl),ror),not(shl))",2,1,2,1,False
"and(and(not(shl),shr),not(shl))",2,1,2,1,False
"and(and(rol,shl),not(shr))",2,1,2,1,False
"and(and(ror,shl),nibble_swap)",2,1,2,1,False
"and(and(shl,x),rol)",2,1,2,1,False
"and(nibble_swap,shl)",2,1,2,1,False
"and(nibble_swap,shr)",2,1,2,1,False
"and(nibble_swap,xor(not(shl),not(shr)))",2,1,2,1,False
"and(not(shl),rol)",2,1,2,1,False
"and(not(shl),shr)",2,1,2,1,False
"and(or(const_not_mask,not(ror)),shr)",2,1,2,1,False
"and(or(const_not_mask,x),rol)",2,1,2,1,False
"and(or(nibble_swap,not(ror)),shr)",2,1,2,1,False
"and(or(nibble_swap,not(shl)),rol)",2,1,2,1,False
"and(or(not(rol),not(shl)),ror)",2,1,2,1,False
"and(or(not(shl),not(shr)),shr)",2,1,2,1,False
"and(or(not(shl),shl),rol)",2,1,2,1,False
"and(or(not(shl),shr),shr)",2,1,2,1,False
"and(or(ror,ror),shl)",2,1,2,1,False
"or(and(const_mask,nibble_swap),rol)",2,1,2,1,False
"or(and(const_mask,not(rol)),shr)",2,1,2,1,False
"or(and(not(nibble_swap),shl),shl)",2,1,2,1,False
"or(and(not(rol),shl),not(shl))",2,1,2,1,False
"or(and(not(rol),x),not(shl))",2,1,2,1,False
"or(and(not(shl),ror),const_mask)",2,1,2,1,False
"or(and(not(shl),shr),not(shr))",2,1,2,1,False
"or(and(not(shr),not(shr)),shr)",2,1,2,1,False
"or(not(rol),xor(not(shl),not(shr)))",2,1,2,1,False
"or(not(ror),or(not(shl),x))",2,1,2,1,False
"or(not(shr),or(ror,shl))",2,1,2,1,False
"or(not(shr),ror)",2,1,2,1,False
"xor(not(rol),not(shl))",2,1,2,1,False
"xor(not(rol),or(nibble_swap,not(shl)))",2,1,2,1,False
"xor(not(rol),or(not(rol),not(shl)))",2,1,2,1,False
"xor(not(rol),or(not(shl),rol))",2,1,2,1,False
"xor(not(ror),or(not(rol),not(shl)))",2,1,2,1,False
"xor(not(shl),or(not(rol),not(shl)))",2,1,2,1,False
"xor(not(shl),or(not(shl),ror))",2,1,2,1,False
"and(and(rol,ror),const_mask)",2,0,2,2,False
"and(and(rol,shl),not(nibble_swap))",2,0,2,2,False
"and(or(const_mask,not(shl)),ror)",2,0,2,2,False
"and(or(const_mask,shl),ror)",2,0,2,2,False
"and(or(const_not_mask,nibble_swap),rol)",2,0,2,2,False
"and(or(const_not_mask,rol),ror)",2,0,2,2,False
"and(or(nibble_swap,not(ror)),shl)",2,0,2,2,False
"and(or(nibble_swap,shr),rol)",2,0,2,2,False
"and(or(rol,x),shl)",2,0,2,2,False
"and(or(ror,shr),shr)",2,0,2,2,False
"and(shr,xor(nibble_swap,ror))",2,0,2,2,False
"or(and(const_mask,nibble_swap),shr)",2,0,2,2,False
"or(and(const_mask,not(reverse)),rol)",2,0,2,2,False
"or(and(const_mask,x),rol)",2,0,2,2,False
"or(and(const_not_mask,rol),rol)",2,0,2,2,False
"or(and(nibble_swap,not(rol)),not(shl))",2,0,2,2,False
"or(and(not(rol),not(ror)),not(shl))",2,0,2,2,False
"or(and(not(rol),reverse),not(shl))",2,0,2,2,False
"or(and(not(rol),rol),not(shl))",2,0,2,2,False
"or(and(not(rol),ror),not(shl))",2,0,2,2,False
"or(and(not(shl),not(shl)),rol)",2,0,2,2,False
"or(and(not(shl),rol),rol)",2,0,2,2,False
"or(and(not(shl),ror),not(shr))",2,0,2,2,False
"or(nibble_swap,or(not(ror),not(shl)))",2,0,2,2,False
"or(nibble_swap,or(not(shl),rol))",2,0,2,2,False
"or(nibble_swap,or(not(shl),x))",2,0,2,2,False
"or(not(ror),or(not(shl),rol))",2,0,2,2,False
"or(not(shl),xor(not(reverse),not(rol)))",2,0,2,2,False
"or(not(shl),xor(not(rol),not(ror)))",2,0,2,2,False
"or(rol,xor(not(shl),shl))",2,0,2,2,False
"xor(and(not(ror),shr),not(shr))",2,0,2,2,False
"xor(and(not(shl),not(shl)),not(ror))",2,0,2,2,False
"xor(not(rol),or(const_not_mask,not(rol)))",2,0,2,2,False
"xor(not(rol),or(not(shl),ror))",2,0,2,2,False
"and(not(shr),or(shl,shl))",2,2,1,0,False
"and(not(shr),shl)",2,2,1,0,False
"and(or(not(shl),not(x)),shr)",2,2,1,0,False
"and(or(not(shr),not(x)),shl)",2,2,1,0,False
"or(and(not(nibble_swap),shr),shr)",2,2,1,0,False
"or(shl,shl)",2,2,1,0,False
"xor(and(not(shl),shr),nibble_swap)",2,2,1,0,False
"xor(not(ror),or(shl,shr))",2,2,1,0,False
"xor(not(shl),or(not(shl),not(x)))",2,2,1,0,False
"xor(not(shl),or(not(shr),not(x)))",2,2,1,0,False
"and(not(shr),xor(not(shl),not(shr)))",2,1,1,1,False
"and(or(not(reverse),not(shl)),shr)",2,1,1,1,False
"and(or(ror,shl),shl)",2,1,1,1,False
"and(or(shl,shl),ror)",2,1,1,1,False
"or(and(const_mask,x),shl)",2,1,1,1,False
"xor(and(not(x),shl),not(shl))",2,1,1,1,False
"xor(and(rol,shl),not(shl))",2,1,1,1,False
"xor(not(ror),not(shl))",2,1,1,1,False
"xor(not(ror),or(not(shl),shl))",2,1,1,1,False
"xor(not(rol),or(not(shl),shl))",2,0,1,2,False
"and(and(nibble_swap,rol),const_not_mask)",1,1,1,0,False
"and(and(not(rol),ror),const_mask)",1,1,1,0,False
"and(and(not(rol),shr),not(rol))",1,1,1,0,False
"and(and(not(ror),shl),nibble_swap)",1,1,1,0,False
"and(and(not(shl),ror),const_not_mask)",1,1,1,0,False
"and(and(reverse,shl),nibble_swap)",1,1,1,0,False
"and(and(reverse,shl),not(ror))",1,1,1,0,False
"and(and(reverse,shr),not(rol))",1,1,1,0,False
"and(and(rol,ror),const_not_mask)",1,1,1,0,False
"and(and(rol,shl),nibble_swap)",1,1,1,0,False
"and(and(rol,shl),not(ror))",1,1,1,0,False
"and(and(ror,shl),const_not_mask)",1,1,1,0,False
"and(and(ror,shl),not(shl))",1,1,1,0,False
"and(and(ror,shr),const_not_mask)",1,1,1,0,False
"and(and(ror,shr),nibble_swap)",1,1,1,0,False
"and(and(shr,x),nibble_swap)",1,1,1,0,False
"and(const_not_mask,xor(not(shl),not(shr)))",1,1,1,0,False
"and(nibble_swap,or(rol,shr))",1,1,1,0,False
"and(nibble_swap,rol)",1,1,1,0,False
"and(not(ror),shl)",1,1,1,0,False
"and(not(ror),xor(not(shl),not(shr)))",1,1,1,0,False
"and(not(shl),not(shl))",1,1,1,0,False
"and(not(shl),or(nibble_swap,not(shl)))",1,1,1,0,False
"and(not(shl),or(not(rol),not(shl)))",1,1,1,0,False
"and(not(shl),or(not(shl),x))",1,1,1,0,False
"and(or(const_mask,nibble_swap),shl)",1,1,1,0,False
"and(or(const_mask,reverse),shr)",1,1,1,0,False
"and(or(const_mask,rol),shr)",1,1,1,0,False
"and(or(const_not_mask,nibble_swap),shl)",1,1,1,0,False
"and(or(const_not_mask,reverse),rol)",1,1,1,0,False
"and(or(nibble_swap,not(shl)),shr)",1,1,1,0,False
"and(or(nibble_swap,not(shr)),shl)",1,1,1,0,False
"and(or(nibble_swap,not(x)),shr)",1,1,1,0,False
"and(or(nibble_swap,reverse),shl)",1,1,1,0,False
"and(or(nibble_swap,shl),rol)",1,1,1,0,False
"and(or(nibble_swap,shl),shl)",1,1,1,0,False
"and(or(nibble_swap,shr),shl)",1,1,1,0,False
"and(or(not(nibble_swap),not(ror)),shl)",1,1,1,0,False
"and(or(not(nibble_swap),not(shr)),shl)",1,1,1,0,False
"and(or(not(nibble_swap),reverse),shr)",1,1,1,0,False
"and(or(not(nibble_swap),rol),shl)",1,1,1,0,False
"and(or(not(nibble_swap),ror),shl)",1,1,1,0,False
"and(or(not(nibble_swap),x),shr)",1,1,1,0,False
"and(or(not(reverse),not(shl)),rol)",1,1,1,0,False
"and(or(not(reverse),not(shl)),shl)",1,1,1,0,False
"and(or(not(reverse),rol),shl)",1,1,1,0,False
"and(or(not(rol),not(rol)),shl)",1,1,1,0,False
"and(or(not(rol),not(x)),shl)",1,1,1,0,False
"and(or(not(ror),not(ror)),shr)",1,1,1,0,False
"and(or(not(ror),not(x)),shl)",1,1,1,0,False
"and(or(not(ror),reverse),shl)",1,1,1,0,False
"and(or(not(ror),rol),shr)",1,1,1,0,False
"and(or(not(ror),ror),shl)",1,1,1,0,False
"and(or(not(shl),reverse),shl)",1,1,1,0,False
"and(or(not(shl),shl),shr)",1,1,1,0,False
"and(or(not(shl),x),ror)",1,1,1,0,False
"and(or(not(x),rol),shl)",1,1,1,0,False
"and(or(not(x),ror),shl)",1,1,1,0,False
"and(or(reverse,rol),shl)",1,1,1,0,False
"and(or(reverse,rol),shr)",1,1,1,0,False
"and(or(reverse,ror),shl)",1,1,1,0,False
"and(or(rol,rol),shr)",1,1,1,0,False
"and(or(rol,shl),shl)",1,1,1,0,False
"and(or(rol,shl),shr)",1,1,1,0,False
"and(or(ror,ror),shr)",1,1,1,0,False
"and(or(shr,shr),ror)",1,1,1,0,False
"and(rol,shr)",1,1,1,0,False
"and(rol,xor(not(shl),not(shr)))",1,1,1,0,False
"and(ror,shr)",1,1,1,0,False
"and(ror,xor(const_mask,shl))",1,1,1,0,False
"and(ror,xor(not(shl),not(shl)))",1,1,1,0,False
"and(ror,xor(not(shl),shl))",1,1,1,0,False
"and(shl,xor(nibble_swap,not(rol)))",1,1,1,0,False
"and(shl,xor(nibble_swap,not(ror)))",1,1,1,0,False
"and(shl,xor(nibble_swap,ror))",1,1,1,0,False
"and(shl,xor(not(rol),not(x)))",1,1,1,0,False
"and(shr,xor(nibble_swap,not(ror)))",1,1,1,0,False
"and(shr,xor(nibble_swap,not(x)))",1,1,1,0,False
"and(shr,xor(not(shl),shl))",1,1,1,0,False
"or(and(const_mask,nibble_swap),not(shr))",1,1,1,0,False
"or(and(const_mask,x),not(shl))",1,1,1,0,False
"or(and(const_mask,x),ror)",1,1,1,0,False
"or(and(const_not_mask,nibble_swap),shr)",1,1,1,0,False
"or(and(const_not_mask,ror),shr)",1,1,1,0,False
"or(and(const_not_mask,shl),rol)",1,1,1,0,False
"or(and(const_not_mask,shr),nibble_swap)",1,1,1,0,False
"or(and(nibble_swap,not(shl)),not(shr))",1,1,1,0,False
"or(and(nibble_swap,shl),rol)",1,1,1,0,False
"or(and(nibble_swap,shr),not(shr))",1,1,1,0,False
"or(and(not(nibble_swap),shl),ror)",1,1,1,0,False
"or(and(not(rol),shl),ror)",1,1,1,0,False
"or(and(not(rol),shr),not(shr))",1,1,1,0,False
"or(and(not(shl),not(shl)),ror)",1,1,1,0,False
"or(and(not(shl),not(shl)),x)",1,1,1,0,False
"or(and(not(shl),rol),shl)",1,1,1,0,False
"or(and(not(shl),ror),nibble_swap)",1,1,1,0,False
"or(and(not(shl),shl),rol)",1,1,1,0,False
"or(and(not(shr),not(shr)),nibble_swap)",1,1,1,0,False
"or(and(not(shr),not(shr)),ror)",1,1,1,0,False
"or(and(not(shr),reverse),not(shl))",1,1,1,0,False
"or(and(not(shr),shl),rol)",1,1,1,0,False
"or(and(not(shr),x),not(shl))",1,1,1,0,False
"or(and(not(x),shr),not(shr))",1,1,1,0,False
"or(and(reverse,shl),rol)",1,1,1,0,False
"or(and(reverse,x),not(shl))",1,1,1,0,False
"or(and(rol,shr),not(shr))",1,1,1,0,False
"or(and(rol,shr),rol)",1,1,1,0,False
"or(and(ror,shr),rol)",1,1,1,0,False
"or(and(ror,x),not(shl))",1,1,1,0,False
"or(and(shl,x),not(shl))",1,1,1,0,False
"or(and(shl,x),rol)",1,1,1,0,False
"or(and(shl,x),ror)",1,1,1,0,False
"or(and(shr,x),rol)",1,1,1,0,False
"or(const_mask,or(not(shr),shr))",1,1,1,0,False
"or(const_mask,or(ror,shr))",1,1,1,0,False
"or(const_mask,xor(not(ror),not(shl)))",1,1,1,0,False
"or(nibble_swap,not(shr))",1,1,1,0,False
"or(nibble_swap,or(not(ror),not(shr)))",1,1,1,0,False
"or(nibble_swap,or(not(shr),reverse))",1,1,1,0,False
"or(nibble_swap,or(not(shr),ror))",1,1,1,0,False
"or(nibble_swap,or(not(shr),shl))",1,1,1,0,False
"or(nibble_swap,or(not(shr),shr))",1,1,1,0,False
"or(nibble_swap,or(not(shr),x))",1,1,1,0,False
"or(nibble_swap,or(shr,shr))",1,1,1,0,False
"or(nibble_swap,shr)",1,1,1,0,False
"or(nibble_swap,xor(not(shr),shr))",1,1,1,0,False
"or(not(reverse),or(not(shr),ror))",1,1,1,0,False
"or(not(ror),or(not(shl),shl))",1,1,1,0,False
"or(not(ror),or(not(shr),reverse))",1,1,1,0,False
"or(not(ror),or(not(shr),rol))",1,1,1,0,False
"or(not(ror),xor(not(shl),shl))",1,1,1,0,False
"or(not(shl),or(shl,x))",1,1,1,0,False
"or(not(shl),shl)",1,1,1,0,False
"or(not(shl),x)",1,1,1,0,False
"or(not(shl),xor(const_mask,reverse))",1,1,1,0,False
"or(not(shl),xor(const_mask,ror))",1,1,1,0,False
"or(not(shl),xor(not(reverse),not(shr)))",1,1,1,0,False
"or(not(shr),or(reverse,x))",1,1,1,0,False
"or(not(shr),or(rol,ror))",1,1,1,0,False
"or(not(shr),or(rol,x))",1,1,1,0,False
"or(not(shr),or(shr,shr))",1,1,1,0,False
"or(not(shr),xor(nibble_swap,shl))",1,1,1,0,False
"or(not(shr),xor(not(reverse),not(x)))",1,1,1,0,False
"or(not(shr),xor(not(shl),not(shr)))",1,1,1,0,False
"or(or(shl,shl),rol)",1,1,1,0,False
"or(or(shr,shr),ror)",1,1,1,0,False
"or(ror,shl)",1,1,1,0,False
"or(ror,shr)",1,1,1,0,False
"or(ror,xor(const_mask,const_not_mask))",1,1,1,0,False
"or(ror,xor(not(shl),shl))",1,1,1,0,False
"or(shl,xor(const_mask,shl))",1,1,1,0,False
"or(shr,shr)",1,1,1,0,False
"or(shr,xor(not(rol),ror))",1,1,1,0,False
"or(shr,xor(not(shl),shl))",1,1,1,0,False
"or(shr,xor(not(shr),shr))",1,1,1,0,False
"or(x,xor(not(shl),shl))",1,1,1,0,False
rol,1,1,1,0,False
"xor(and(not(nibble_swap),shl),not(shl))",1,1,1,0,False
"xor(and(not(reverse),shl),not(shl))",1,1,1,0,False
"xor(and(not(ror),not(shr)),not(shl))",1,1,1,0,False
"xor(and(not(shl),shl),nibble_swap)",1,1,1,0,False
"xor(and(not(shr),not(shr)),not(shl))",1,1,1,0,False
"xor(and(not(shr),shr),nibble_swap)",1,1,1,0,False
"xor(and(ror,shr),not(shr))",1,1,1,0,False
"xor(and(shl,x),not(shl))",1,1,1,0,False
"xor(nibble_swap,shl)",1,1,1,0,False
"xor(not(rol),or(not(reverse),not(shl)))",1,1,1,0,False
"xor(not(rol),or(not(shl),not(x)))",1,1,1,0,False
"xor(not(rol),or(not(shl),shr))",1,1,1,0,False
"xor(not(rol),or(not(shr),not(x)))",1,1,1,0,False
"xor(not(rol),or(not(shr),shr))",1,1,1,0,False
"xor(not(ror),or(not(ror),not(shl)))",1,1,1,0,False
"xor(not(ror),xor(not(shl),not(shr)))",1,1,1,0,False
"xor(not(shl),or(not(reverse),not(shl)))",1,1,1,0,False
"xor(not(shl),or(not(reverse),not(shr)))",1,1,1,0,False
"xor(not(shr),or(not(nibble_swap),not(shl)))",1,1,1,0,False
"xor(not(shr),or(not(reverse),not(shl)))",1,1,1,0,False
"and(and(not(shl),rol),const_not_mask)",1,0,1,1,False
"and(and(not(shl),shr),nibble_swap)",1,0,1,1,False
"and(and(not(shr),rol),const_not_mask)",1,0,1,1,False
"and(and(not(shr),shr),nibble_swap)",1,0,1,1,False
"and(and(reverse,ror),nibble_swap)",1,0,1,1,False
"and(and(reverse,ror),not(rol))",1,0,1,1,False
"and(and(reverse,shr),nibble_swap)",1,0,1,1,False
"and(and(rol,shl),const_not_mask)",1,0,1,1,False
"and(and(rol,shl),not(shl))",1,0,1,1,False
"and(and(rol,shl),rol)",1,0,1,1,False
"and(and(ror,shl),not(ror))",1,0,1,1,False
"and(and(ror,shr),reverse)",1,0,1,1,False
"and(const_not_mask,or(rol,shl))",1,0,1,1,False
"and(const_not_mask,rol)",1,0,1,1,False
"and(const_not_mask,xor(not(rol),not(shl)))",1,0,1,1,False
"and(not(shl),or(ror,shr))",1,0,1,1,False
"and(not(shl),shl)",1,0,1,1,False
"and(or(const_mask,nibble_swap),rol)",1,0,1,1,False
"and(or(const_mask,nibble_swap),shr)",1,0,1,1,False
"and(or(const_mask,not(ror)),shr)",1,0,1,1,False
"and(or(const_mask,not(shl)),shr)",1,0,1,1,False
"and(or(const_mask,not(shr)),shl)",1,0,1,1,False
"and(or(const_mask,not(shr)),shr)",1,0,1,1,False
"and(or(const_mask,rol),shl)",1,0,1,1,False
"and(or(const_mask,ror),shr)",1,0,1,1,False
"and(or(const_mask,x),shr)",1,0,1,1,False
"and(or(const_not_mask,not(reverse)),rol)",1,0,1,1,False
"and(or(const_not_mask,not(reverse)),shl)",1,0,1,1,False
"and(or(const_not_mask,not(x)),shr)",1,0,1,1,False
"and(or(nibble_swap,not(shl)),shl)",1,0,1,1,False
"and(or(nibble_swap,not(x)),shl)",1,0,1,1,False
"and(or(nibble_swap,shl),shr)",1,0,1,1,False
"and(or(nibble_swap,x),shl)",1,0,1,1,False
"and(or(nibble_swap,x),shr)",1,0,1,1,False
"and(or(not(nibble_swap),not(shl)),rol)",1,0,1,1,False
"and(or(not(nibble_swap),not(shl)),ror)",1,0,1,1,False
"and(or(not(rol),x),shl)",1,0,1,1,False
"and(or(not(rol),x),shr)",1,0,1,1,False
"and(or(not(ror),ror),shr)",1,0,1,1,False
"and(or(not(ror),shr),shr)",1,0,1,1,False
