id,selection_tier,answer,query_raw,safe_prediction,safe_prediction_count,safe_formula_count,safe_support_max,safe_formulas,all_predictions
8a057351,manual_audit_priority,01110111,11111000,01110111,1,1,10,"xor(not(shl7),and(nibble_swap,not(shr5)))",01110111
d01aeeda,manual_audit_priority,01101111,00001101,01101111,1,1,10,"xor(not(shl6),and(nibble_swap,not(shr5)))",01101111
d623e937,manual_audit_priority,01010111,10000011,01010111,1,1,10,"xor(not(shl7),and(nibble_swap,not(shr3)))",01010111
d8e070fa,manual_audit_priority,11111011,11011111,11111011,1,1,10,"xor(not(shl3),and(nibble_swap,not(shr6)))",11111011
e89851b9,manual_audit_priority,01001101,00111001,01001101,1,1,10,"xor(not(shl5),and(nibble_swap,not(shr5)))",01001101
f2a167e5,manual_audit_priority,10101110,00010011,10101110,1,1,10,"xor(not(shl5),and(nibble_swap,not(shr7)))",10101110
55fbd1ad,manual_audit_priority,00100100,01001001,00100100,1,7,9,"and(shl2,or(const_not_00001000,ror3))|and(shl2,or(const_not_00100000,ror1))|and(shl2,or(const_not_10000000,ror2))|or(shl2,and(not(rol1),shl7))|or(shl2,and(reverse,shl6))|or(shl2,and(ror2,shl7))|xor(not(shl2),or(not(shl7),rol1))",00000100|00100000|00100100|00101100|00110100|01100100|10100100
b43d9cd5,manual_audit_priority,11100100,00111001,11100100,1,20,7,"and(rol2,or(not(shl1),not(shr4)))|and(rol2,or(not(shl1),not(shr5)))|and(rol2,or(not(shl3),not(shr3)))|and(rol2,or(not(shl3),not(shr4)))|and(rol2,or(not(shl4),not(shr3)))|and(rol2,or(not(shl5),not(shr2)))|and(rol2,or(not(shl6),not(shr1)))|or(rol2,and(not(x),shl4))|or(rol2,and(not(x),shl5))|or(rol2,and(not(x),shl6))|or(rol2,and(not(x),shl7))|xor(not(rol2),or(not(ror1),not(shl6)))|xor(not(rol2),or(not(ror2),not(shl7)))|xor(not(rol2),or(not(ror3),not(shl7)))|xor(not(rol2),or(not(shl1),not(shr6)))|xor(not(rol2),or(not(shl2),not(shr5)))|xor(not(rol2),or(not(shl3),not(shr4)))|xor(not(rol2),or(not(shl4),not(shr3)))|xor(not(rol2),or(not(shl5),not(shr2)))|xor(not(rol2),or(not(shl6),not(shr1)))",01100000|01100100|10100100|11000100|11100000|11100100|11100101|11100110|11101100|11110100
d6844056,manual_audit_priority,00001011,10110001,00001011,1,7,7,"and(shr4,or(not(shr6),rol1))|or(shr4,and(rol1,shr6))|or(shr4,and(rol2,shr7))|or(shr4,and(rol3,shr7))|or(shr4,and(ror1,shr7))|or(shr4,and(ror3,shr7))|shr4",00000011|00001001|00001010|00001011|00001111|00011011|00101011|01001011|10001011
813f2402,manual_audit_priority,00000011,01110001,00000011,1,4,7,"or(shr5,and(const_00000001,not(ror2)))|or(shr5,and(const_00000010,not(ror1)))|or(shr5,and(ror3,shr7))|shr5",00000001|00000011|00000111|10000011
2d790c98,manual_audit_priority,01111011,01000000,01111011,1,1,6,"or(shr3,xor(nibble_swap,not(shl1)))",01111011
493b0817,manual_audit_priority,10101111,10000101,10101111,1,1,6,"or(shr6,xor(nibble_swap,not(shl1)))",10101111
a6704625,manual_audit_priority,00001101,01000111,00001101,1,1,6,"or(shr3,xor(nibble_swap,not(shl1)))",00001101
b72f6f48,manual_audit_priority,11010111,10001110,11010111,1,1,6,"or(shr1,xor(nibble_swap,not(shl6)))",11010111
bfca784f,manual_audit_priority,11011111,11111101,11011111,1,1,6,"or(shr3,xor(nibble_swap,not(shl3)))",11011111
d7cd3375,manual_audit_priority,01101111,10101001,01101111,1,1,6,"or(shr2,xor(nibble_swap,not(shl5)))",01101111
d87caad1,manual_audit_priority,10101111,10100001,10101111,1,5,5,"or(not(shr1),and(ror2,shr3))|or(not(shr1),and(ror2,shr6))|or(not(shr1),and(ror3,shr2))|or(not(shr1),and(ror3,shr6))|or(not(shr1),shr6)",10101110|10101111
daf04fee,manual_audit_priority,11110101,10100001,11110101,1,2,5,"or(not(shr4),and(ror3,shr7))|or(not(shr4),shr7)",11110100|11110101|11110111
7abab429,manual_audit_priority,00000000,11101111,00000000,1,4,4,"and(not(rol2),and(not(ror1),shr7))|and(not(rol2),and(not(ror3),shr7))|and(not(rol3),and(not(ror1),shr7))|and(not(rol3),and(not(ror3),shr7))",00000000|00000001|00000010|00110010|10000000|11110010
132ec6ae,manual_audit_priority,11101100,00100111,11101100,1,1,4,"or(not(shr1),shr7)",01101100|11101100
50a0c4b6,manual_audit_priority,10111101,11000110,10111101,1,1,4,"or(not(shr1),shr2)",10011101|10111100|10111101|11111101
0290f51a,manual_audit_priority,10101111,11010001,10101111,1,1,3,"xor(not(shl5),and(not(shr5),ror2))",10101111
1fd84ab1,manual_audit_priority,11001110,01001111,11001110,1,1,3,"xor(not(shl5),and(not(shr5),ror2))",11001110
39d3d49f,manual_audit_priority,11011101,10001000,11011101,1,1,3,"xor(not(shl5),and(not(shr4),ror2))",11011101
4145ec70,manual_audit_priority,11000111,11101000,11000111,1,1,3,"xor(not(shl5),and(not(shr5),ror2))",11000111
4732c53f,manual_audit_priority,01001010,10101011,01001010,1,1,3,"xor(not(shl5),and(not(shr6),ror1))",01001010
a60c36ec,manual_audit_priority,11101110,11000111,11101110,1,1,3,"xor(not(shl5),and(not(shr4),ror2))",11101110
b20b39bf,manual_audit_priority,01110010,00000011,01110010,1,1,3,"xor(not(shl2),and(not(shr7),ror1))",01110010
ca8d32e6,manual_audit_priority,10001100,11001110,10001100,1,1,3,"xor(not(shl5),and(not(shr4),ror2))",10001100
cf9bebe9,manual_audit_priority,10111001,10100101,10111001,1,1,3,"xor(not(shl2),and(not(shr7),ror1))",10111001
e11c9f89,manual_audit_priority,00111011,10001100,00111011,1,1,3,"xor(not(shl5),and(not(shr6),ror1))",00111011
e24c8980,manual_audit_priority,01111011,11001011,01111011,1,1,3,"xor(not(shl5),and(not(shr6),ror1))",01111011
e80d8872,manual_audit_priority,00000111,11100010,00000111,1,1,3,"xor(not(shl2),and(not(shr7),ror1))",00000111
