candidate_id,parent_candidate_id,candidate_kind,manifest_path,adapter_path,runtime_lane,stage,recipe_type,pair_kind,train_pack_path,overall_acc,hard_shadow_acc,format_fail_rate,extraction_fail_rate,submit_value,cuda_repro_pass,packaging_pass,selected_for_submit,status,failure_reason,notes,recorded_at
v4_rft_stage_c_cleanaccept_answerbias_halfepoch_run7,v3_stage_a_baseline,adapter,versions/v4/outputs/train/rft_stage_c_cleanaccept_answerbias_halfepoch_run7/v4_rft_stage_c_cleanaccept_answerbias_halfepoch_run7_manifest.json,versions/v4/outputs/train/rft_stage_c_cleanaccept_answerbias_halfepoch_run7/adapter_v4_rft_stage_c_cleanaccept_answerbias_halfepoch_run7,mac_mlx,c,stage_c_rft,,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/data/train_packs/stage_c_rft_mix_v4.parquet,0.4765625,,1.0,0.0,False,False,False,False,scored,,quick_shadow_128 only,2026-03-24T15:14:06+00:00
v4_rft_stage_c_cleanaccept_answerbias_ultralowlr_run8,v3_stage_a_baseline,adapter,versions/v4/outputs/train/rft_stage_c_cleanaccept_answerbias_ultralowlr_run8/v4_rft_stage_c_cleanaccept_answerbias_ultralowlr_run8_manifest.json,versions/v4/outputs/train/rft_stage_c_cleanaccept_answerbias_ultralowlr_run8/adapter_v4_rft_stage_c_cleanaccept_answerbias_ultralowlr_run8,mac_mlx,c,stage_c_rft,,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/data/train_packs/stage_c_rft_mix_v4.parquet,0.515625,,0.9921875,0.0,False,False,False,False,scored,,quick_shadow_128 only,2026-03-24T14:42:56+00:00
v5_merge_run3_run6_85_15,v4_rft_stage_c_cleanaccept_lowlr_run3,adapter,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/outputs/train/merge_run3_run6_85_15/v5_merge_run3_run6_85_15_manifest.json,versions/v4/outputs/train/merge_run3_run6_85_15/adapter_v5_merge_run3_run6_85_15,mac_mlx,,linear_adapter_average,,,0.5625,0.55859375,0.9921875,0.0,True,False,False,False,scored,,,2026-03-24T18:47:47+00:00
v5_merge_run3_run6_75_25,v4_rft_stage_c_cleanaccept_lowlr_run3,adapter,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/outputs/train/merge_run3_run6_75_25/v5_merge_run3_run6_75_25_manifest.json,versions/v4/outputs/train/merge_run3_run6_75_25/adapter_v5_merge_run3_run6_75_25,mac_mlx,,linear_adapter_average,,,0.5390625,0.5625,0.9765625,0.0,True,False,False,False,scored,,,2026-03-24T21:04:47+00:00
v4_rft_stage_c_cleanaccept_hardrobust_run9,v3_stage_a_baseline,adapter,versions/v4/outputs/train/rft_stage_c_cleanaccept_hardrobust_run9/v4_rft_stage_c_cleanaccept_hardrobust_run9_manifest.json,versions/v4/outputs/train/rft_stage_c_cleanaccept_hardrobust_run9/adapter_v4_rft_stage_c_cleanaccept_hardrobust_run9,mac_mlx,c,stage_c_rft,,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/data/train_packs/stage_c_rft_mix_v4.parquet,,,,,False,False,False,False,completed,,,2026-03-24T21:32:06+00:00
v4_rft_rft_stage_c_cleanaccept_balancedrobust_run11,v3_stage_a_baseline,adapter,versions/v4/outputs/train/rft_stage_c_cleanaccept_balancedrobust_run11/v4_rft_rft_stage_c_cleanaccept_balancedrobust_run11_manifest.json,versions/v4/outputs/train/rft_stage_c_cleanaccept_balancedrobust_run11/adapter_v4_rft_rft_stage_c_cleanaccept_balancedrobust_run11,mac_mlx,c,stage_c_rft,,versions/v4/data/train_packs/stage_c_rft_mix_v4.parquet,,,,,False,False,False,False,rendered_only,,,2026-03-24T22:53:49+00:00
v5_merge_run3_run6_80_20,v4_rft_stage_c_cleanaccept_lowlr_run3,adapter,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/outputs/train/merge_run3_run6_80_20/v5_merge_run3_run6_80_20_manifest.json,versions/v4/outputs/train/merge_run3_run6_80_20/adapter_v5_merge_run3_run6_80_20,mac_mlx,,linear_adapter_average,,,0.5390625,0.5859375,0.98046875,0.0,True,False,False,False,scored,,,2026-03-24T23:58:31+00:00
v4_rft_stage_c_cleanaccept_symbolboost_run10,v3_stage_a_baseline,adapter,versions/v4/outputs/train/rft_stage_c_cleanaccept_symbolboost_run10/v4_rft_stage_c_cleanaccept_symbolboost_run10_manifest.json,versions/v4/outputs/train/rft_stage_c_cleanaccept_symbolboost_run10/adapter_v4_rft_stage_c_cleanaccept_symbolboost_run10,mac_mlx,c,stage_c_rft,,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/data/train_packs/stage_c_rft_mix_v4.parquet,,,,,False,False,False,False,completed,,,2026-03-25T00:46:07+00:00
v4_rft_stage_c_cleanaccept_balancedrobust_run11,v3_stage_a_baseline,adapter,versions/v4/outputs/train/rft_stage_c_cleanaccept_balancedrobust_run11/v4_rft_stage_c_cleanaccept_balancedrobust_run11_manifest.json,versions/v4/outputs/train/rft_stage_c_cleanaccept_balancedrobust_run11/adapter_v4_rft_stage_c_cleanaccept_balancedrobust_run11,mac_mlx,c,stage_c_rft,,versions/v4/data/train_packs/stage_c_rft_mix_v4.parquet,0.51953125,0.52734375,0.921875,0.0,True,False,False,False,scored,,,2026-03-25T05:29:51+00:00
v5_merge_run3_run6_82_18,v4_rft_stage_c_cleanaccept_lowlr_run3,adapter,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/outputs/train/merge_run3_run6_82_18/v5_merge_run3_run6_82_18_manifest.json,versions/v4/outputs/train/merge_run3_run6_82_18/adapter_v5_merge_run3_run6_82_18,mac_mlx,,linear_adapter_average,,,0.4921875,,0.9765625,0.0,False,False,False,False,scored,,"quick-only, not promoted",2026-03-25T00:40:47+00:00
v4_rft_stage_c_cleanaccept_lowlr_run3_bf16,v3_stage_a_baseline,adapter,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/outputs/train/rft_stage_c_cleanaccept_lowlr_run3_bf16/v4_rft_stage_c_cleanaccept_lowlr_run3_bf16_manifest.json,versions/v4/outputs/train/rft_stage_c_cleanaccept_lowlr_run3_bf16/adapter_v4_rft_stage_c_cleanaccept_lowlr_run3_bf16,mac_mlx,,rft_stage_c_mlx_lowlr,,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/data/train_packs/stage_c_rft_mix_v4.parquet,0.50390625,0.51953125,0.95703125,0.0,True,False,False,False,scored,,,2026-03-25T13:34:03+00:00
v4_rft_stage_c_cleanaccept_answerbias_run6_bf16,v3_stage_a_baseline,adapter,versions/v4/outputs/train/rft_stage_c_cleanaccept_answerbias_run6_bf16/v4_rft_stage_c_cleanaccept_answerbias_run6_bf16_manifest.json,versions/v4/outputs/train/rft_stage_c_cleanaccept_answerbias_run6_bf16/adapter_v4_rft_stage_c_cleanaccept_answerbias_run6_bf16,mac_mlx,c,stage_c_rft,,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/data/train_packs/stage_c_rft_mix_v4.parquet,,,,,False,False,False,False,completed,,,2026-03-25T09:14:10+00:00
v5_merge_run3_run6_80_20_bf16,v4_rft_stage_c_cleanaccept_lowlr_run3_bf16,adapter,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/outputs/train/merge_run3_run6_80_20_bf16/v5_merge_run3_run6_80_20_bf16_manifest.json,versions/v4/outputs/train/merge_run3_run6_80_20_bf16/adapter_v5_merge_run3_run6_80_20_bf16,mac_mlx,,linear_adapter_average,,,0.5390625,0.5703125,0.96875,0.0,True,False,False,False,scored,,,2026-03-25T17:43:02+00:00
v4_baseline_notebook_sft_bf16_600,,adapter,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/outputs/train/baseline_notebook_sft_bf16_600/v4_baseline_notebook_sft_bf16_600_manifest.json,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/outputs/train/baseline_notebook_sft_bf16_600/adapter_v4_baseline_notebook_sft_bf16_600,mac_mlx,baseline,notebook_baseline_bf16_600,,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/data/train_packs/baseline_notebook_sft_600.parquet,0.0,0.0,1.0,1.0,False,False,False,False,scored,,,2026-03-25T17:59:47+00:00
v4_stage_a_bf16_pilot_run1,,adapter,versions/v4/outputs/train/stage_a_bf16_pilot_run1/v4_stage_a_bf16_pilot_run1_manifest.json,versions/v4/outputs/train/stage_a_bf16_pilot_run1/adapter_v4_stage_a_bf16_pilot_run1,mac_mlx,a,sft,,versions/v3/data/train_packs/stage_a_strong_v3.parquet,,,,,False,False,False,False,completed,,,2026-03-26T00:13:47+00:00
v4_baseline_notebook_sft_bf16_600_schedfix_clip_run1,,adapter,versions/v4/outputs/train/baseline_notebook_sft_bf16_600_schedfix_clip_run1/v4_baseline_notebook_sft_bf16_600_schedfix_clip_run1_manifest.json,versions/v4/outputs/train/baseline_notebook_sft_bf16_600_schedfix_clip_run1/adapter_v4_baseline_notebook_sft_bf16_600_schedfix_clip_run1,mac_mlx,baseline,sft,,versions/v4/data/train_packs/baseline_notebook_sft_600.parquet,,,,,False,False,False,False,completed,,faithful notebook-style BF16 SFT on 600-sample subsample with boxed-only targets,2026-03-26T00:34:44+00:00
v4_baseline_notebook_sft_bf16_600_text_lowlr_clip_run1,,adapter,versions/v4/outputs/train/baseline_notebook_sft_bf16_600_text_lowlr_clip_run1/v4_baseline_notebook_sft_bf16_600_text_lowlr_clip_run1_manifest.json,versions/v4/outputs/train/baseline_notebook_sft_bf16_600_text_lowlr_clip_run1/adapter_v4_baseline_notebook_sft_bf16_600_text_lowlr_clip_run1,mac_mlx,baseline,sft,,versions/v4/data/train_packs/baseline_notebook_sft_600.parquet,,,,,False,False,False,False,completed,,"notebook-style BF16 SFT on 600-sample subsample with chat-template text field, lower LR",2026-03-26T00:44:04+00:00
v4_baseline_notebook_sft_bf16_600_text_ultralowlr_clip_run2,,adapter,versions/v4/outputs/train/baseline_notebook_sft_bf16_600_text_ultralowlr_clip_run2/v4_baseline_notebook_sft_bf16_600_text_ultralowlr_clip_run2_manifest.json,versions/v4/outputs/train/baseline_notebook_sft_bf16_600_text_ultralowlr_clip_run2/adapter_v4_baseline_notebook_sft_bf16_600_text_ultralowlr_clip_run2,mac_mlx,baseline,sft,,versions/v4/data/train_packs/baseline_notebook_sft_600.parquet,,,,,False,False,False,False,completed,,"notebook-style BF16 SFT on 600-sample subsample with chat-template text field, ultra-low LR",2026-03-26T01:30:24+00:00
v4_stage_a_bf16_full_run2,,adapter,versions/v4/outputs/train/stage_a_bf16_full_run2/v4_stage_a_bf16_full_run2_manifest.json,versions/v4/outputs/train/stage_a_bf16_full_run2/adapter_v4_stage_a_bf16_full_run2,mac_mlx,baseline,sft,,versions/v3/data/train_packs/stage_a_strong_v3.parquet,,,,,False,False,False,False,completed,,,2026-03-26T08:17:02+00:00
v4_stage_a_bf16_full_lowlr_run1,,adapter,versions/v4/outputs/train/stage_a_bf16_full_lowlr_run1/v4_stage_a_bf16_full_lowlr_run1_manifest.json,versions/v4/outputs/train/stage_a_bf16_full_lowlr_run1/adapter_v4_stage_a_bf16_full_lowlr_run1,mac_mlx,baseline,sft,,versions/v3/data/train_packs/stage_a_strong_v3.parquet,,,,,False,False,False,False,completed,,BF16-native Stage-A full run with lower learning rate,2026-03-26T08:43:43+00:00
v4_stage_a_bf16_full_lowlr_clip_run1,,adapter,versions/v4/outputs/train/stage_a_bf16_full_lowlr_clip_run1/v4_stage_a_bf16_full_lowlr_clip_run1_manifest.json,versions/v4/outputs/train/stage_a_bf16_full_lowlr_clip_run1/adapter_v4_stage_a_bf16_full_lowlr_clip_run1,mac_mlx,baseline,sft,,versions/v3/data/train_packs/stage_a_strong_v3.parquet,,,,,False,False,False,False,completed,,BF16-native Stage-A full run with lower learning rate and clipping,2026-03-26T08:48:13+00:00
v4_stage_a_bf16_full_ultralowlr_clip_run1,,adapter,versions/v4/outputs/train/stage_a_bf16_full_ultralowlr_clip_run1/v4_stage_a_bf16_full_ultralowlr_clip_run1_manifest.json,versions/v4/outputs/train/stage_a_bf16_full_ultralowlr_clip_run1/adapter_v4_stage_a_bf16_full_ultralowlr_clip_run1,mac_mlx,baseline,sft,,versions/v3/data/train_packs/stage_a_strong_v3.parquet,,,,,False,False,False,False,completed,,BF16-native Stage-A full run with ultra-low learning rate and clipping,2026-03-26T09:09:54+00:00
v4_rft_rft_stage_c_mlx_lowlr,v3_stage_a_baseline,adapter,versions/v4/outputs/train/rft_stage_c_parentfix_lowlr_run1/v4_rft_rft_stage_c_mlx_lowlr_manifest.json,versions/v4/outputs/train/rft_stage_c_parentfix_lowlr_run1/adapter_v4_rft_rft_stage_c_mlx_lowlr,mac_mlx,c,stage_c_rft,,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/data/train_packs/stage_c_rft_mix_v4.parquet,,,,,False,False,False,False,completed,,,2026-03-26T09:41:01+00:00
v4_rft_stage_c_parentfix_lowlr_clipparent_run1,v3_stage_a_baseline,adapter,versions/v4/outputs/train/rft_stage_c_parentfix_lowlr_clipparent_run1/v4_rft_stage_c_parentfix_lowlr_clipparent_run1_manifest.json,versions/v4/outputs/train/rft_stage_c_parentfix_lowlr_clipparent_run1/adapter_v4_rft_stage_c_parentfix_lowlr_clipparent_run1,mac_mlx,c,stage_c_rft,,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/data/train_packs/stage_c_rft_mix_v4.parquet,,,,,False,False,False,False,completed,,,2026-03-26T10:02:33+00:00
v4_rft_stage_c_parentfix_answerbias_clipparent_run1,v3_stage_a_baseline,adapter,versions/v4/outputs/train/rft_stage_c_parentfix_answerbias_clipparent_run1/v4_rft_stage_c_parentfix_answerbias_clipparent_run1_manifest.json,versions/v4/outputs/train/rft_stage_c_parentfix_answerbias_clipparent_run1/adapter_v4_rft_stage_c_parentfix_answerbias_clipparent_run1,mac_mlx,c,stage_c_rft,,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/data/train_packs/stage_c_rft_mix_v4.parquet,,,,,False,False,False,False,completed,,,2026-03-26T10:02:38+00:00
v4_rft_stage_c_parentfix_lowlr_lowlrparent_run1,v3_stage_a_baseline,adapter,versions/v4/outputs/train/rft_stage_c_parentfix_lowlr_lowlrparent_run1/v4_rft_stage_c_parentfix_lowlr_lowlrparent_run1_manifest.json,versions/v4/outputs/train/rft_stage_c_parentfix_lowlr_lowlrparent_run1/adapter_v4_rft_stage_c_parentfix_lowlr_lowlrparent_run1,mac_mlx,c,stage_c_rft,,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/data/train_packs/stage_c_rft_mix_v4.parquet,,,,,False,False,False,False,completed,,,2026-03-26T10:17:46+00:00
v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_run1,,adapter,versions/v4/outputs/train/baseline_notebook_sft_bf16_full_text_lowlr_clip_run1/v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_run1_manifest.json,versions/v4/outputs/train/baseline_notebook_sft_bf16_full_text_lowlr_clip_run1/adapter_v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_run1,mac_mlx,baseline,sft,,versions/v4/data/train_packs/baseline_notebook_sft_full.parquet,,,,,False,False,False,False,completed,,"notebook-style BF16 SFT on 600-sample subsample with chat-template text field, lower LR",2026-03-27T04:05:06+00:00
v4_baseline_notebook_sft_bf16_full_text_ultralowlr_clip_run1,,adapter,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/outputs/train/baseline_notebook_sft_bf16_full_text_ultralowlr_clip_run1/v4_baseline_notebook_sft_bf16_full_text_ultralowlr_clip_run1_manifest.json,versions/v4/outputs/train/baseline_notebook_sft_bf16_full_text_ultralowlr_clip_run1/adapter_v4_baseline_notebook_sft_bf16_full_text_ultralowlr_clip_run1,mac_mlx,baseline,notebook_baseline_bf16_600_text_ultralowlr_clip,,versions/v4/data/train_packs/baseline_notebook_sft_full.parquet,0.76171875,0.71875,0.00390625,0.0,False,False,False,False,scored,,,2026-03-27T05:18:02+00:00
v4_baseline_notebook_sft_bf16_full_text_ultralowlr_clip_official_run1,,adapter,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/outputs/train/baseline_notebook_sft_bf16_full_text_ultralowlr_clip_official_run1/v4_baseline_notebook_sft_bf16_full_text_ultralowlr_clip_official_run1_manifest.json,versions/v4/outputs/train/baseline_notebook_sft_bf16_full_text_ultralowlr_clip_official_run1/adapter_v4_baseline_notebook_sft_bf16_full_text_ultralowlr_clip_official_run1,mac_mlx,baseline,notebook_baseline_bf16_600_text_ultralowlr_clip_official,,versions/v4/data/train_packs/baseline_notebook_sft_full_official.parquet,0.76171875,0.78515625,0.0,0.0,False,False,False,False,scored,,,2026-03-27T05:18:02+00:00
v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,,adapter,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/outputs/train/baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1/v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1_manifest.json,versions/v4/outputs/train/baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1/adapter_v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,mac_mlx,baseline,notebook_baseline_bf16_600_text_lowlr_clip_official,,versions/v4/data/train_packs/baseline_notebook_sft_full_official.parquet,0.64453125,0.63671875,0.0078125,0.0,False,False,False,False,scored,,,2026-03-27T08:22:43+00:00
v5_merge_fullsft_officialultra_shortultra_85_15_bf16,v4_baseline_notebook_sft_bf16_full_text_ultralowlr_clip_official_run1,adapter,versions/v4/outputs/train/merge_fullsft_officialultra_shortultra_85_15/v5_merge_fullsft_officialultra_shortultra_85_15_bf16_manifest.json,versions/v4/outputs/train/merge_fullsft_officialultra_shortultra_85_15/adapter_v5_merge_fullsft_officialultra_shortultra_85_15_bf16,mac_mlx,,linear_adapter_average,,,0.76171875,0.75390625,0.0,0.0,True,False,False,False,scored,,,2026-03-27T05:25:06+00:00
v4_best_notebook_sft_bf16_official_ultralowlr_singlefile_smoke,,adapter,/Users/mac-studio/.copilot/session-state/670e997c-8d42-4720-ba6a-3c5a90ac160c/tmp/best_singlefile_smoke/v4_best_notebook_sft_bf16_official_ultralowlr_singlefile_smoke_manifest.json,/Users/mac-studio/.copilot/session-state/670e997c-8d42-4720-ba6a-3c5a90ac160c/tmp/best_singlefile_smoke/adapter_v4_best_notebook_sft_bf16_official_ultralowlr_singlefile_smoke,mac_mlx,baseline,sft,,/Users/mac-studio/.copilot/session-state/670e997c-8d42-4720-ba6a-3c5a90ac160c/tmp/best_singlefile_smoke/v4_best_notebook_sft_bf16_official_ultralowlr_singlefile_smoke_train_pack.parquet,,,,,False,False,False,False,rendered_only,,Single-file reproduction of the current best verified BF16 notebook SFT recipe aligned to README boxed-answer evaluation.,2026-03-27T05:27:16+00:00
v4_best_notebook_sft_bf16_official_ultralowlr_singlefile_repro_run1,,adapter,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/outputs/train/best_notebook_sft_singlefile_repro_run1/v4_best_notebook_sft_bf16_official_ultralowlr_singlefile_repro_run1_manifest.json,versions/v4/outputs/train/best_notebook_sft_singlefile_repro_run1/adapter_v4_best_notebook_sft_bf16_official_ultralowlr_singlefile_repro_run1,mac_mlx,baseline,best_notebook_bf16_official_ultralowlr_singlefile,,versions/v4/outputs/train/best_notebook_sft_singlefile_repro_run1/v4_best_notebook_sft_bf16_official_ultralowlr_singlefile_repro_run1_train_pack.parquet,0.79296875,0.76171875,0.00390625,0.0,False,False,False,False,scored,,,2026-03-27T07:22:33+00:00
v4_best_notebook_sft_bf16_official_ultralowlr_minimal_repro_run1,,adapter,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/outputs/train/best_notebook_sft_minimal_repro_run1/v4_best_notebook_sft_bf16_official_ultralowlr_minimal_repro_run1_manifest.json,versions/v4/outputs/train/best_notebook_sft_minimal_repro_run1/adapter_v4_best_notebook_sft_bf16_official_ultralowlr_minimal_repro_run1,mac_mlx,baseline,best_notebook_bf16_official_ultralowlr_minimal,,versions/v4/outputs/train/best_notebook_sft_minimal_repro_run1/v4_best_notebook_sft_bf16_official_ultralowlr_minimal_repro_run1_train_pack.parquet,0.7421875,0.75390625,0.0,0.0,False,False,False,False,scored,,,2026-03-27T08:05:17+00:00
v4_rft_stage_c_fullsftparent_gentle_run1,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,adapter,versions/v4/outputs/train/rft_stage_c_fullsftparent_gentle_run1/v4_rft_stage_c_fullsftparent_gentle_run1_manifest.json,versions/v4/outputs/train/rft_stage_c_fullsftparent_gentle_run1/adapter_v4_rft_stage_c_fullsftparent_gentle_run1,mac_mlx,c,stage_c_rft,,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/data/train_packs/stage_c_rft_mix_v4.parquet,,,,,False,False,False,False,completed,,,2026-03-27T08:52:03+00:00
v4_rft_stage_c_fullsftparent_answerbias_gentle_run1,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,adapter,versions/v4/outputs/train/rft_stage_c_fullsftparent_answerbias_gentle_run1/v4_rft_stage_c_fullsftparent_answerbias_gentle_run1_manifest.json,versions/v4/outputs/train/rft_stage_c_fullsftparent_answerbias_gentle_run1/adapter_v4_rft_stage_c_fullsftparent_answerbias_gentle_run1,mac_mlx,c,stage_c_rft,,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/data/train_packs/stage_c_rft_mix_v4.parquet,,,,,False,False,False,False,completed,,,2026-03-27T08:52:05+00:00
