merge_id,generalist_candidate_id,specialist_candidate_id,merge_weights,manifest_path,adapter_path,compression_method,rank_after_compression,quick_score,serious_score,status,notes,recorded_at
v5_merge_officiallowlr_officialultra_97_03_bf16,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,v4_baseline_notebook_sft_bf16_full_text_ultralowlr_clip_official_run1,"{""generalist"": 0.97, ""specialist"": 0.03}",versions/v4/outputs/train/merge_officiallowlr_officialultra_97_03/v5_merge_officiallowlr_officialultra_97_03_bf16_manifest.json,versions/v4/outputs/train/merge_officiallowlr_officialultra_97_03/adapter_v5_merge_officiallowlr_officialultra_97_03_bf16,not_yet_compressed,32,,,merged,,2026-03-27T09:20:12+00:00
v5_merge_officiallowlr_officialultra_98_02_bf16,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,v4_baseline_notebook_sft_bf16_full_text_ultralowlr_clip_official_run1,"{""generalist"": 0.98, ""specialist"": 0.02}",versions/v4/outputs/train/merge_officiallowlr_officialultra_98_02/v5_merge_officiallowlr_officialultra_98_02_bf16_manifest.json,versions/v4/outputs/train/merge_officiallowlr_officialultra_98_02/adapter_v5_merge_officiallowlr_officialultra_98_02_bf16,not_yet_compressed,32,,,merged,,2026-03-27T09:26:07+00:00
v5_merge_officiallowlr_symbolishultra_98_02_bf16,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,v4_official_symbolish_sft_ultralowlr_clip_run1,"{""generalist"": 0.98, ""specialist"": 0.02}",versions/v4/outputs/train/merge_officiallowlr_symbolishultra_98_02/v5_merge_officiallowlr_symbolishultra_98_02_bf16_manifest.json,versions/v4/outputs/train/merge_officiallowlr_symbolishultra_98_02/adapter_v5_merge_officiallowlr_symbolishultra_98_02_bf16,not_yet_compressed,32,,,merged,,2026-03-27T13:04:17+00:00
v5_merge_officiallowlr_symbolishlow_98_02_bf16,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,v4_official_symbolish_sft_lowlr_clip_run1,"{""generalist"": 0.98, ""specialist"": 0.02}",versions/v4/outputs/train/merge_officiallowlr_symbolishlow_98_02/v5_merge_officiallowlr_symbolishlow_98_02_bf16_manifest.json,versions/v4/outputs/train/merge_officiallowlr_symbolishlow_98_02/adapter_v5_merge_officiallowlr_symbolishlow_98_02_bf16,not_yet_compressed,32,,,merged,,2026-03-27T13:04:24+00:00
v5_merge_officiallowlr_symbolishultra_95_05_bf16,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,v4_official_symbolish_sft_ultralowlr_clip_run1,"{""generalist"": 0.95, ""specialist"": 0.05}",versions/v4/outputs/train/merge_officiallowlr_symbolishultra_95_05/v5_merge_officiallowlr_symbolishultra_95_05_bf16_manifest.json,versions/v4/outputs/train/merge_officiallowlr_symbolishultra_95_05/adapter_v5_merge_officiallowlr_symbolishultra_95_05_bf16,not_yet_compressed,32,,,merged,,2026-03-27T13:08:18+00:00
v5_merge_officiallowlr_symbolishultra_97_03_bf16,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,v4_official_symbolish_sft_ultralowlr_clip_run1,"{""generalist"": 0.97, ""specialist"": 0.03}",versions/v4/outputs/train/merge_officiallowlr_symbolishultra_97_03/v5_merge_officiallowlr_symbolishultra_97_03_bf16_manifest.json,versions/v4/outputs/train/merge_officiallowlr_symbolishultra_97_03/adapter_v5_merge_officiallowlr_symbolishultra_97_03_bf16,not_yet_compressed,32,,,merged,,2026-03-27T13:08:18+00:00
v5_merge_officiallowlr_constrainttriad_98_02_bf16,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,v4_official_constraint_triad_sft_ultralowlr_clip_run1,"{""generalist"": 0.75, ""specialist"": 0.25}",versions/v4/outputs/train/merge_officiallowlr_constrainttriad_98_02/v5_merge_officiallowlr_constrainttriad_98_02_bf16_manifest.json,versions/v4/outputs/train/merge_officiallowlr_constrainttriad_98_02/adapter_v5_merge_officiallowlr_constrainttriad_98_02_bf16,not_yet_compressed,32,,,merged,"mislaunch: config-path typo; actual weights 0.75/0.25, not 0.98/0.02",2026-03-27T15:42:01+00:00
v5_merge_officiallowlr_constrainttriad_97_03_bf16,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,v4_official_constraint_triad_sft_ultralowlr_clip_run1,"{""generalist"": 0.97, ""specialist"": 0.03}",versions/v4/outputs/train/merge_officiallowlr_constrainttriad_97_03/v5_merge_officiallowlr_constrainttriad_97_03_bf16_manifest.json,versions/v4/outputs/train/merge_officiallowlr_constrainttriad_97_03/adapter_v5_merge_officiallowlr_constrainttriad_97_03_bf16,not_yet_compressed,32,,,merged,,2026-03-27T15:42:30+00:00
v5_merge_officiallowlr_constrainttriad_true98_02_bf16,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,v4_official_constraint_triad_sft_ultralowlr_clip_run1,"{""generalist"": 0.98, ""specialist"": 0.02}",versions/v4/outputs/train/merge_officiallowlr_constrainttriad_true98_02/v5_merge_officiallowlr_constrainttriad_true98_02_bf16_manifest.json,versions/v4/outputs/train/merge_officiallowlr_constrainttriad_true98_02/adapter_v5_merge_officiallowlr_constrainttriad_true98_02_bf16,not_yet_compressed,32,,,merged,true 98/2 rerun after mislaunch; official_micro=0.6666666667,2026-03-27T15:45:12+00:00
v5_merge_officiallowlr_gravity_98_02_bf16,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,v4_official_gravity_sft_ultralowlr_clip_run1,"{""generalist"": 0.98, ""specialist"": 0.02}",versions/v4/outputs/train/merge_officiallowlr_gravity_98_02/v5_merge_officiallowlr_gravity_98_02_bf16_manifest.json,versions/v4/outputs/train/merge_officiallowlr_gravity_98_02/adapter_v5_merge_officiallowlr_gravity_98_02_bf16,not_yet_compressed,32,,,merged,,2026-03-27T18:27:40+00:00
v5_merge_officiallowlr_gravity_97_03_bf16,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,v4_official_gravity_sft_ultralowlr_clip_run1,"{""generalist"": 0.97, ""specialist"": 0.03}",versions/v4/outputs/train/merge_officiallowlr_gravity_97_03/v5_merge_officiallowlr_gravity_97_03_bf16_manifest.json,versions/v4/outputs/train/merge_officiallowlr_gravity_97_03/adapter_v5_merge_officiallowlr_gravity_97_03_bf16,not_yet_compressed,32,,,merged,,2026-03-27T18:28:25+00:00
v5_merge_officiallowlr_bit_98_02_bf16,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,v4_official_bit_sft_ultralowlr_clip_run1,"{""generalist"": 0.98, ""specialist"": 0.02}",versions/v4/outputs/train/merge_officiallowlr_bit_98_02/v5_merge_officiallowlr_bit_98_02_bf16_manifest.json,versions/v4/outputs/train/merge_officiallowlr_bit_98_02/adapter_v5_merge_officiallowlr_bit_98_02_bf16,not_yet_compressed,32,,,merged,,2026-03-27T18:40:59+00:00
v5_merge_officiallowlr_bit_97_03_bf16,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,v4_official_bit_sft_ultralowlr_clip_run1,"{""generalist"": 0.97, ""specialist"": 0.03}",versions/v4/outputs/train/merge_officiallowlr_bit_97_03/v5_merge_officiallowlr_bit_97_03_bf16_manifest.json,versions/v4/outputs/train/merge_officiallowlr_bit_97_03/adapter_v5_merge_officiallowlr_bit_97_03_bf16,not_yet_compressed,32,,,merged,,2026-03-27T18:41:43+00:00
v5_merge_officiallowlr_bitgravity_98_02_bf16,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,v4_official_bitgravity_sft_ultralowlr_clip_run1,"{""generalist"": 0.98, ""specialist"": 0.02}",versions/v4/outputs/train/merge_officiallowlr_bitgravity_98_02/v5_merge_officiallowlr_bitgravity_98_02_bf16_manifest.json,versions/v4/outputs/train/merge_officiallowlr_bitgravity_98_02/adapter_v5_merge_officiallowlr_bitgravity_98_02_bf16,not_yet_compressed,32,,,merged,,2026-03-27T19:15:46+00:00
v5_merge_officiallowlr_bitgravity_97_03_bf16,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,v4_official_bitgravity_sft_ultralowlr_clip_run1,"{""generalist"": 0.97, ""specialist"": 0.03}",versions/v4/outputs/train/merge_officiallowlr_bitgravity_97_03/v5_merge_officiallowlr_bitgravity_97_03_bf16_manifest.json,versions/v4/outputs/train/merge_officiallowlr_bitgravity_97_03/adapter_v5_merge_officiallowlr_bitgravity_97_03_bf16,not_yet_compressed,32,,,merged,,2026-03-27T19:16:10+00:00
v5_merge_officiallowlr_nontext_98_02_bf16,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,v4_official_nontext_sft_ultralowlr_clip_run2,"{""generalist"": 0.98, ""specialist"": 0.02}",versions/v4/outputs/train/merge_officiallowlr_nontext_98_02/v5_merge_officiallowlr_nontext_98_02_bf16_manifest.json,versions/v4/outputs/train/merge_officiallowlr_nontext_98_02/adapter_v5_merge_officiallowlr_nontext_98_02_bf16,not_yet_compressed,32,,,merged,,2026-03-27T21:22:55+00:00
v5_merge_officiallowlr_nontext_97_03_bf16,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,v4_official_nontext_sft_ultralowlr_clip_run2,"{""generalist"": 0.97, ""specialist"": 0.03}",versions/v4/outputs/train/merge_officiallowlr_nontext_97_03/v5_merge_officiallowlr_nontext_97_03_bf16_manifest.json,versions/v4/outputs/train/merge_officiallowlr_nontext_97_03/adapter_v5_merge_officiallowlr_nontext_97_03_bf16,not_yet_compressed,32,,,merged,,2026-03-27T21:23:26+00:00
v5_merge_officiallowlr_nontextnonsymbol_98_02_bf16,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,v4_official_nontext_nonsymbol_sft_ultralowlr_clip_run1,"{""generalist"": 0.98, ""specialist"": 0.02}",versions/v4/outputs/train/merge_officiallowlr_nontextnonsymbol_98_02/v5_merge_officiallowlr_nontextnonsymbol_98_02_bf16_manifest.json,versions/v4/outputs/train/merge_officiallowlr_nontextnonsymbol_98_02/adapter_v5_merge_officiallowlr_nontextnonsymbol_98_02_bf16,not_yet_compressed,32,,,merged,,2026-03-27T21:26:40+00:00
v5_merge_officiallowlr_nontextnonsymbol_97_03_bf16,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,v4_official_nontext_nonsymbol_sft_ultralowlr_clip_run1,"{""generalist"": 0.97, ""specialist"": 0.03}",versions/v4/outputs/train/merge_officiallowlr_nontextnonsymbol_97_03/v5_merge_officiallowlr_nontextnonsymbol_97_03_bf16_manifest.json,versions/v4/outputs/train/merge_officiallowlr_nontextnonsymbol_97_03/adapter_v5_merge_officiallowlr_nontextnonsymbol_97_03_bf16,not_yet_compressed,32,,,merged,,2026-03-27T21:27:07+00:00
v5_merge_officiallowlr_officialultra_epoch075_97_03_bf16,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,v4_baseline_notebook_sft_bf16_full_text_ultralowlr_clip_official_epoch075_run1,"{""generalist"": 0.97, ""specialist"": 0.03}",versions/v4/outputs/train/merge_officiallowlr_officialultra_epoch075_97_03/v5_merge_officiallowlr_officialultra_epoch075_97_03_bf16_manifest.json,versions/v4/outputs/train/merge_officiallowlr_officialultra_epoch075_97_03/adapter_v5_merge_officiallowlr_officialultra_epoch075_97_03_bf16,not_yet_compressed,32,,,merged,,2026-03-27T22:24:47+00:00
v5_merge_officiallowlr_officialultra_dropout0_97_03_bf16,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,v4_baseline_notebook_sft_bf16_full_text_ultralowlr_clip_official_dropout0_run1,"{""generalist"": 0.97, ""specialist"": 0.03}",versions/v4/outputs/train/merge_officiallowlr_officialultra_dropout0_97_03/v5_merge_officiallowlr_officialultra_dropout0_97_03_bf16_manifest.json,versions/v4/outputs/train/merge_officiallowlr_officialultra_dropout0_97_03/adapter_v5_merge_officiallowlr_officialultra_dropout0_97_03_bf16,not_yet_compressed,32,,,merged,,2026-03-27T23:09:47+00:00
v5_merge_officiallowlr_officialultra_warmup05_run2_97_03_bf16,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,v4_baseline_notebook_sft_bf16_full_text_ultralowlr_clip_official_warmup05_run2,"{""generalist"": 0.97, ""specialist"": 0.03}",versions/v4/outputs/train/merge_officiallowlr_officialultra_warmup05_run2_97_03/v5_merge_officiallowlr_officialultra_warmup05_run2_97_03_bf16_manifest.json,versions/v4/outputs/train/merge_officiallowlr_officialultra_warmup05_run2_97_03/adapter_v5_merge_officiallowlr_officialultra_warmup05_run2_97_03_bf16,not_yet_compressed,32,,,merged,,2026-03-28T00:40:46+00:00
v5_merge_officiallowlr_officialultra_dropout0_98_02_bf16,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,v4_baseline_notebook_sft_bf16_full_text_ultralowlr_clip_official_dropout0_run1,"{""generalist"": 0.98, ""specialist"": 0.02}",versions/v4/outputs/train/merge_officiallowlr_officialultra_dropout0_98_02/v5_merge_officiallowlr_officialultra_dropout0_98_02_bf16_manifest.json,versions/v4/outputs/train/merge_officiallowlr_officialultra_dropout0_98_02/adapter_v5_merge_officiallowlr_officialultra_dropout0_98_02_bf16,not_yet_compressed,32,,,merged,,2026-03-28T00:46:07+00:00
v5_merge_officiallowlr_officialultra_epoch090_97_03_bf16,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,v4_baseline_notebook_sft_bf16_full_text_ultralowlr_clip_official_epoch090_run1,"{""generalist"": 0.97, ""specialist"": 0.03}",versions/v4/outputs/train/merge_officiallowlr_officialultra_epoch090_97_03/v5_merge_officiallowlr_officialultra_epoch090_97_03_bf16_manifest.json,versions/v4/outputs/train/merge_officiallowlr_officialultra_epoch090_97_03/adapter_v5_merge_officiallowlr_officialultra_epoch090_97_03_bf16,not_yet_compressed,32,,,merged,,2026-03-28T01:08:58+00:00
